feature,mean_importance,mean_importance_normalized,fold_count,source,rank
atr_48,1035.7,0.09539217535940227,10,feature_importances_,1
vol_rolling_192,1030.0,0.09481912299057317,10,feature_importances_,2
bollinger_bandwidth,910.9,0.08385957072111762,10,feature_importances_,3
vol_rolling_96,744.8,0.06856435734727925,10,feature_importances_,4
ema_trend_48_192,743.8,0.06850145324550885,10,feature_importances_,5
vol_regime_ratio_48_384,664.6,0.06117921904956177,10,feature_importances_,6
bollinger_bandwidth_rank_192,565.8,0.05210228859312044,10,feature_importances_,7
atr_over_price_48,547.7,0.05042629097013453,10,feature_importances_,8
vol_rolling_48,473.1,0.04355825478900148,10,feature_importances_,9
atr_pct_rank_192,418.0,0.03849646116846517,10,feature_importances_,10
mama_minus_fama_over_atr,385.5,0.03549753566513077,10,feature_importances_,11
vol_rolling_24,379.2,0.03493678857520165,10,feature_importances_,12
close_over_bb_upper_192,292.0,0.026895126358918248,10,feature_importances_,13
close_over_bb_mid_192,284.5,0.026187507656503232,10,feature_importances_,14
ret_48,281.3,0.02588981343994659,10,feature_importances_,15
bollinger_percent_b,245.1,0.022552391243709256,10,feature_importances_,16
ret_24,175.7,0.016173622887834662,10,feature_importances_,17
distance_from_ema96_atr,170.1,0.015671765082767176,10,feature_importances_,18
roofing_filter_over_atr,159.5,0.014692420714924687,10,feature_importances_,19
atr_pct,145.8,0.013424144646789166,10,feature_importances_,20
