fold,train_rows_raw,train_rows,train_rows_dropped_missing,train_rows_not_labeled,train_rows_without_fit,test_rows,test_pred_rows,test_rows_missing_features,test_rows_not_candidates,test_rows_without_prediction,classification_eval_rows,regression_eval_rows,classification_accuracy,regression_rmse
0,35016,35016,,0,0,4380,4380,0,0,0,4380,4380,0.5084474885844749,2.6969894959573057
1,39396,39396,,0,0,4380,4380,0,0,0,4380,4380,0.5397260273972603,2.659059732560657
2,43752,43752,,0,0,4380,4380,0,0,0,4380,4380,0.5210045662100456,2.695633570961539
3,48108,48108,,0,0,4380,4380,0,0,0,4380,4380,0.5342465753424658,2.5826083301777416
4,52464,52464,,0,0,4380,4380,0,0,0,4380,4380,0.5143835616438356,2.6619343027405753
5,56820,56820,,0,0,4380,4380,0,0,0,4380,4380,0.5157534246575343,2.615705046734288
6,61176,61176,,0,0,4380,4380,0,0,0,4380,4380,0.5162100456621005,2.631493844112608
7,65532,65532,,0,0,4380,4380,0,0,0,4380,4380,0.5200913242009132,2.648213088434403
8,69888,69888,,0,0,4380,4380,0,0,0,4380,4380,0.5424657534246575,2.517263648851638
9,74244,74244,,0,0,4380,4380,0,0,0,4380,4380,0.49931506849315066,2.6543174831344585
