metric,value
counterfactual.baseline.avg_r,0.678006276946484
counterfactual.baseline.median_r,0.5068722717531943
counterfactual.baseline.profit_factor,1.5829203079087182
counterfactual.baseline.trade_count,297
counterfactual.baseline.win_rate,0.5589225589225589
counterfactual.best_policy_by_avg_r,baseline
counterfactual.best_policy_by_profit_factor,exit_at_first_0_5r
counterfactual.breakeven_after_0_5r.avg_r,-0.03401275596472125
counterfactual.breakeven_after_0_5r.median_r,0.0
counterfactual.breakeven_after_0_5r.profit_factor,0.6931407972216643
counterfactual.breakeven_after_0_5r.trade_count,297
counterfactual.breakeven_after_0_5r.win_rate,0.006734006734006734
counterfactual.breakeven_after_1_0r.avg_r,0.058479228039836455
counterfactual.breakeven_after_1_0r.median_r,0.0
counterfactual.breakeven_after_1_0r.profit_factor,1.1202187616724675
counterfactual.breakeven_after_1_0r.trade_count,297
counterfactual.breakeven_after_1_0r.win_rate,0.13804713804713806
counterfactual.exit_at_first_0_5r.avg_r,0.3706399109606493
counterfactual.exit_at_first_0_5r.median_r,0.5
counterfactual.exit_at_first_0_5r.profit_factor,4.343870979263951
counterfactual.exit_at_first_0_5r.trade_count,297
counterfactual.exit_at_first_0_5r.win_rate,0.9629629629629629
counterfactual.exit_at_first_1_0r.avg_r,0.3690082961686221
counterfactual.exit_at_first_1_0r.median_r,1.0
counterfactual.exit_at_first_1_0r.profit_factor,1.7585893641078743
counterfactual.exit_at_first_1_0r.trade_count,297
counterfactual.exit_at_first_1_0r.win_rate,0.8619528619528619
counterfactual.partial_50pct_at_1r.avg_r,0.523507286557553
counterfactual.partial_50pct_at_1r.median_r,0.7462705886172167
counterfactual.partial_50pct_at_1r.profit_factor,1.7411244250322602
counterfactual.partial_50pct_at_1r.trade_count,297
counterfactual.partial_50pct_at_1r.win_rate,0.6734006734006734
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.avg_r,0.6294419917113285
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.median_r,0.33041287362806315
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.profit_factor,1.5340464874346738
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.trade_count,297
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.win_rate,0.5420875420875421
counterfactual.trail_0_5r_after_1_0r.avg_r,0.5335047385501114
counterfactual.trail_0_5r_after_1_0r.median_r,0.8227168337238817
counterfactual.trail_0_5r_after_1_0r.profit_factor,2.0967531748400856
counterfactual.trail_0_5r_after_1_0r.trade_count,297
counterfactual.trail_0_5r_after_1_0r.win_rate,0.8619528619528619
