trade_id,policy,counterfactual_r
0,baseline,-2.759866432337856
0,breakeven_after_0_5r,0.0
0,breakeven_after_1_0r,0.0
0,exit_at_first_0_5r,0.5
0,exit_at_first_1_0r,1.0
0,trail_0_5r_after_1_0r,0.5400258550261248
0,time_exit_after_4_bars_if_mfe_lt_0_3r,-2.759866432337856
0,partial_50pct_at_1r,-0.879933216168928
1,baseline,-0.3021536549755927
1,breakeven_after_0_5r,-0.3021536549755927
1,breakeven_after_1_0r,-0.3021536549755927
1,exit_at_first_0_5r,-0.3021536549755927
1,exit_at_first_1_0r,-0.3021536549755927
1,trail_0_5r_after_1_0r,-0.3021536549755927
1,time_exit_after_4_bars_if_mfe_lt_0_3r,-0.3021536549755927
1,partial_50pct_at_1r,-0.3021536549755927
2,baseline,-2.5205992372830193
2,breakeven_after_0_5r,0.0
2,breakeven_after_1_0r,0.0
2,exit_at_first_0_5r,0.5
2,exit_at_first_1_0r,1.0
2,trail_0_5r_after_1_0r,0.9681921352293958
2,time_exit_after_4_bars_if_mfe_lt_0_3r,-2.5205992372830193
2,partial_50pct_at_1r,-0.7602996186415096
3,baseline,0.21152568091455873
3,breakeven_after_0_5r,0.0
3,breakeven_after_1_0r,0.0
3,exit_at_first_0_5r,0.5
3,exit_at_first_1_0r,1.0
3,trail_0_5r_after_1_0r,0.6414876981898416
3,time_exit_after_4_bars_if_mfe_lt_0_3r,0.21152568091455873
3,partial_50pct_at_1r,0.6057628404572794
4,baseline,0.5954139873923537
4,breakeven_after_0_5r,0.0
4,breakeven_after_1_0r,0.0
4,exit_at_first_0_5r,0.5
4,exit_at_first_1_0r,1.0
4,trail_0_5r_after_1_0r,0.549247147605368
4,time_exit_after_4_bars_if_mfe_lt_0_3r,0.5954139873923537
4,partial_50pct_at_1r,0.7977069936961769
5,baseline,0.9883816260852935
5,breakeven_after_0_5r,0.0
5,breakeven_after_1_0r,0.0
5,exit_at_first_0_5r,0.5
5,exit_at_first_1_0r,1.0
5,trail_0_5r_after_1_0r,0.7798266803617286
5,time_exit_after_4_bars_if_mfe_lt_0_3r,0.9883816260852935
5,partial_50pct_at_1r,0.9941908130426467
6,baseline,4.47123470231323
6,breakeven_after_0_5r,0.0
6,breakeven_after_1_0r,4.47123470231323
6,exit_at_first_0_5r,0.5
6,exit_at_first_1_0r,1.0
6,trail_0_5r_after_1_0r,0.6654948069749107
6,time_exit_after_4_bars_if_mfe_lt_0_3r,4.47123470231323
6,partial_50pct_at_1r,2.735617351156615
7,baseline,0.11943887454474966
7,breakeven_after_0_5r,0.0
7,breakeven_after_1_0r,0.0
7,exit_at_first_0_5r,0.5
7,exit_at_first_1_0r,1.0
7,trail_0_5r_after_1_0r,0.7715737299047185
7,time_exit_after_4_bars_if_mfe_lt_0_3r,0.11943887454474966
7,partial_50pct_at_1r,0.5597194372723748
8,baseline,0.8913175503576118
8,breakeven_after_0_5r,0.0
8,breakeven_after_1_0r,0.0
8,exit_at_first_0_5r,0.5
8,exit_at_first_1_0r,1.0
8,trail_0_5r_after_1_0r,1.3593923927778782
8,time_exit_after_4_bars_if_mfe_lt_0_3r,0.8913175503576118
8,partial_50pct_at_1r,0.9456587751788059
9,baseline,1.2715962299358503
9,breakeven_after_0_5r,0.0
9,breakeven_after_1_0r,0.0
9,exit_at_first_0_5r,0.5
9,exit_at_first_1_0r,1.0
9,trail_0_5r_after_1_0r,0.6150270415303414
9,time_exit_after_4_bars_if_mfe_lt_0_3r,1.2715962299358503
9,partial_50pct_at_1r,1.1357981149679253
10,baseline,3.6051773123944533
10,breakeven_after_0_5r,0.0
10,breakeven_after_1_0r,0.0
10,exit_at_first_0_5r,0.5
10,exit_at_first_1_0r,1.0
10,trail_0_5r_after_1_0r,0.6819030487203603
10,time_exit_after_4_bars_if_mfe_lt_0_3r,3.6051773123944533
10,partial_50pct_at_1r,2.3025886561972264
11,baseline,2.0434484266243564
11,breakeven_after_0_5r,0.0
11,breakeven_after_1_0r,0.0
11,exit_at_first_0_5r,0.5
11,exit_at_first_1_0r,1.0
11,trail_0_5r_after_1_0r,0.7415347730822295
11,time_exit_after_4_bars_if_mfe_lt_0_3r,2.0434484266243564
11,partial_50pct_at_1r,1.5217242133121782
12,baseline,4.730865209002453
12,breakeven_after_0_5r,0.0
12,breakeven_after_1_0r,4.730865209002453
12,exit_at_first_0_5r,0.5
12,exit_at_first_1_0r,1.0
12,trail_0_5r_after_1_0r,0.8199279261763472
12,time_exit_after_4_bars_if_mfe_lt_0_3r,4.730865209002453
12,partial_50pct_at_1r,2.8654326045012266
13,baseline,-7.519994210615994
13,breakeven_after_0_5r,0.0
13,breakeven_after_1_0r,0.0
13,exit_at_first_0_5r,0.5
13,exit_at_first_1_0r,1.0
13,trail_0_5r_after_1_0r,1.1822070089415933
13,time_exit_after_4_bars_if_mfe_lt_0_3r,-7.519994210615994
13,partial_50pct_at_1r,-3.259997105307997
14,baseline,-2.274596826944233
14,breakeven_after_0_5r,0.0
14,breakeven_after_1_0r,-2.274596826944233
14,exit_at_first_0_5r,0.5
14,exit_at_first_1_0r,-2.274596826944233
14,trail_0_5r_after_1_0r,-2.274596826944233
14,time_exit_after_4_bars_if_mfe_lt_0_3r,-2.274596826944233
14,partial_50pct_at_1r,-2.274596826944233
15,baseline,-0.355720476359642
15,breakeven_after_0_5r,0.0
15,breakeven_after_1_0r,0.0
15,exit_at_first_0_5r,0.5
15,exit_at_first_1_0r,1.0
15,trail_0_5r_after_1_0r,0.7953301306495049
15,time_exit_after_4_bars_if_mfe_lt_0_3r,-0.355720476359642
15,partial_50pct_at_1r,0.322139761820179
16,baseline,-1.4243171002564199
16,breakeven_after_0_5r,0.0
16,breakeven_after_1_0r,0.0
16,exit_at_first_0_5r,0.5
16,exit_at_first_1_0r,1.0
16,trail_0_5r_after_1_0r,2.6459904855644956
16,time_exit_after_4_bars_if_mfe_lt_0_3r,-1.4243171002564199
16,partial_50pct_at_1r,-0.21215855012820994
17,baseline,-1.526967569453402
17,breakeven_after_0_5r,0.0
17,breakeven_after_1_0r,0.0
17,exit_at_first_0_5r,0.5
17,exit_at_first_1_0r,1.0
17,trail_0_5r_after_1_0r,0.5647780019006121
17,time_exit_after_4_bars_if_mfe_lt_0_3r,-1.526967569453402
17,partial_50pct_at_1r,-0.263483784726701
