probability_bucket,decile,trade_count,avg_pred_prob,actual_win_rate,avg_realized_r,avg_trade_r,median_trade_r,avg_mfe_r,avg_mae_r,avg_giveback_r,profit_factor,expected_r_after_cost,avg_bars_held
"(0.0745, 0.187]","(0.0745, 0.187]",30,0.13521158074339232,0.6333333333333333,0.8410963345106369,0.8410963345106369,1.0890494764132204,3.9946534509296097,-2.6329571069969364,3.153557116418972,1.7698584940029836,0.807217587414127,24.1
"(0.187, 0.226]","(0.187, 0.226]",30,0.20754392047723133,0.6666666666666666,1.9325019213747932,1.9325019213747932,1.263427963585332,4.69478169358372,-2.0815394051857807,2.762279772208927,3.7083728181883657,1.8962509291141003,24.033333333333335
"(0.226, 0.261]","(0.226, 0.261]",29,0.2396049607416679,0.6551724137931034,0.4104883985030289,0.4104883985030289,0.5068722717531943,3.915853191699975,-2.997186596910691,3.5053647931969456,1.2880365398498796,0.36987973295591703,24.137931034482758
"(0.261, 0.313]","(0.261, 0.313]",30,0.2782667070627213,0.5666666666666667,-0.11572562409731706,-0.11572562409731706,0.24190760662043165,3.025569330877396,-3.608279350251576,3.1412949549747133,0.937526740080895,-0.1582120327727142,24.233333333333334
"(0.313, 0.69]","(0.313, 0.69]",30,0.6635704507430394,0.5333333333333333,0.7109463750103431,0.7109463750103431,0.5366786923678828,3.7563854508600247,-2.7926401958726386,3.0454390758496817,1.5222095031654304,0.6719796094399086,24.1
"(0.69, 0.718]","(0.69, 0.718]",29,0.7048436156634627,0.6206896551724138,0.6070219856135816,0.6070219856135816,1.071554720003356,2.9881953408977067,-2.2701463772845254,2.381173355284125,1.6832904460920672,0.5716240036749459,24.06896551724138
"(0.718, 0.741]","(0.718, 0.741]",30,0.73054052790006,0.43333333333333335,0.14537965288011298,0.14537965288011298,-0.28102520285423327,3.266019637161794,-3.1777688494901732,3.120639984281681,1.0913167075889607,0.10979749797673884,24.033333333333335
"(0.741, 0.778]","(0.741, 0.778]",29,0.7544814183794218,0.4482758620689655,0.21547324090292114,0.21547324090292114,-0.355720476359642,2.8913214726381606,-3.2534976354510596,2.6758482317352392,1.1797866622606419,0.17308936673145708,24.03448275862069
"(0.778, 0.823]","(0.778, 0.823]",30,0.7975018580754598,0.5666666666666667,1.2802281175825443,1.2802281175825443,0.5475815348765715,3.113180232436634,-2.346833807199984,1.8329521148540893,3.1437520874000606,1.240459527676539,24.066666666666666
"(0.823, 0.984]","(0.823, 0.984]",30,0.8691075007120769,0.4666666666666667,0.7259511936568636,0.7259511936568636,-0.22225171695564636,3.4517576477548366,-2.7307596126513993,2.7258064540979743,1.7970119344088025,0.6793568705892375,24.333333333333332
