timestamp,asset,event_type,side,position_before,position_after,price,signal,target,target_hit_type,target_hit_step,target_exit_timestamp,take_profit,stop_loss,upper_barrier,lower_barrier,trade_r,target_entry_price,target_exit_price,target_lookup_timestamp
2022-03-16 01:00:00,ETHUSD,entry,short,0.0,-1.0,2626.2,-1.0,2.7304182824674768,,,,,,,,,,,2022-03-16 01:00:00
2022-03-16 13:00:00,ETHUSD,exit,short,-1.0,0.0,2674.9,0.0,4.0,,,,,,,,,,,2022-03-16 13:00:00
2022-03-18 00:00:00,ETHUSD,entry,long,0.0,1.0,2809.1,1.0,-0.2716319972379662,,,,,,,,,,,2022-03-18 00:00:00
2022-03-18 12:00:00,ETHUSD,exit,long,1.0,0.0,2804.1,0.0,4.0,,,,,,,,,,,2022-03-18 12:00:00
2022-03-24 05:30:00,ETHUSD,entry,short,0.0,-1.0,3049.5,-1.0,2.4901934517727278,,,,,,,,,,,2022-03-24 05:30:00
2022-03-24 17:30:00,ETHUSD,exit,short,-1.0,0.0,3099.45,0.0,1.3147825234719814,,,,,,,,,,,2022-03-24 17:30:00
2022-03-25 18:00:00,ETHUSD,entry,short,0.0,-1.0,3125.0,-1.0,-0.24281646211489002,,,,,,,,,,,2022-03-25 18:00:00
2022-03-26 07:00:00,ETHUSD,exit,short,-1.0,0.0,3120.15,0.0,0.9349998704888897,,,,,,,,,,,2022-03-26 07:00:00
2022-03-28 13:30:00,ETHUSD,entry,long,0.0,1.0,3380.3,1.0,0.6361814601860467,,,,,,,,,,,2022-03-28 13:30:00
2022-03-29 01:30:00,ETHUSD,exit,long,1.0,0.0,3390.8500000000004,0.0,2.7030864083070765,,,,,,,,,,,2022-03-29 01:30:00
2022-03-30 11:00:00,ETHUSD,entry,short,0.0,-1.0,3413.3,-1.0,-1.0205616069920147,,,,,,,,,,,2022-03-30 11:00:00
2022-03-30 23:00:00,ETHUSD,exit,short,-1.0,0.0,3391.65,0.0,0.6426629739421885,,,,,,,,,,,2022-03-30 23:00:00
2022-04-02 13:00:00,ETHUSD,entry,short,0.0,-1.0,3521.25,-1.0,-4.0,,,,,,,,,,,2022-04-02 13:00:00
2022-04-03 01:00:00,ETHUSD,exit,short,-1.0,0.0,3419.65,0.0,3.7000239347064148,,,,,,,,,,,2022-04-03 01:00:00
2022-04-04 00:00:00,ETHUSD,entry,short,0.0,-1.0,3490.7,-1.0,-0.15148712305717407,,,,,,,,,,,2022-04-04 00:00:00
2022-04-04 12:00:00,ETHUSD,exit,short,-1.0,0.0,3487.4,0.0,1.2508463700599806,,,,,,,,,,,2022-04-04 12:00:00
2022-04-07 11:30:00,ETHUSD,entry,short,0.0,-1.0,3251.3,-1.0,-0.9169067249042494,,,,,,,,,,,2022-04-07 11:30:00
2022-04-07 23:30:00,ETHUSD,exit,short,-1.0,0.0,3228.0,0.0,1.234853937169155,,,,,,,,,,,2022-04-07 23:30:00
2022-04-08 12:30:00,ETHUSD,entry,short,0.0,-1.0,3237.2,-1.0,-1.3001303448674244,,,,,,,,,,,2022-04-08 12:30:00
2022-04-09 01:00:00,ETHUSD,exit,short,-1.0,0.0,3207.7,0.0,0.8815173902000881,,,,,,,,,,,2022-04-09 01:00:00
2022-04-11 14:00:00,ETHUSD,entry,short,0.0,-1.0,3026.6,-1.0,-3.636624765293399,,,,,,,,,,,2022-04-11 14:00:00
2022-04-12 02:00:00,ETHUSD,exit,short,-1.0,0.0,2956.6,0.0,2.6954016380282138,,,,,,,,,,,2022-04-12 02:00:00
2022-04-12 18:00:00,ETHUSD,entry,long,0.0,1.0,3011.0,1.0,2.0707350047392215,,,,,,,,,,,2022-04-12 18:00:00
2022-04-13 06:00:00,ETHUSD,exit,long,1.0,0.0,3056.7,0.0,1.8211263960032382,,,,,,,,,,,2022-04-13 06:00:00
2022-04-14 01:30:00,ETHUSD,entry,short,0.0,-1.0,3140.2,-1.0,-4.0,,,,,,,,,,,2022-04-14 01:30:00
2022-04-14 13:30:00,ETHUSD,exit,short,-1.0,0.0,3047.1,0.0,-1.2937261165515521,,,,,,,,,,,2022-04-14 13:30:00
2022-04-18 14:00:00,ETHUSD,entry,short,0.0,-1.0,2935.4,-1.0,4.0,,,,,,,,,,,2022-04-18 14:00:00
2022-04-19 02:00:00,ETHUSD,exit,short,-1.0,0.0,3049.7,0.0,3.606998818817677,,,,,,,,,,,2022-04-19 02:00:00
2022-04-19 15:00:00,ETHUSD,entry,long,0.0,1.0,3119.7,1.0,-2.2375648322118162,,,,,,,,,,,2022-04-19 15:00:00
2022-04-20 03:00:00,ETHUSD,exit,long,1.0,0.0,3082.0,0.0,-1.291496041719168,,,,,,,,,,,2022-04-20 03:00:00
2022-04-21 04:30:00,ETHUSD,entry,long,0.0,1.0,3084.8500000000004,1.0,-0.3176642939451442,,,,,,,,,,,2022-04-21 04:30:00
2022-04-21 16:30:00,ETHUSD,exit,long,1.0,0.0,3079.7,0.0,-3.6456946414979625,,,,,,,,,,,2022-04-21 16:30:00
2022-04-25 00:00:00,ETHUSD,entry,long,0.0,1.0,2880.3,1.0,-0.8206931701473098,,,,,,,,,,,2022-04-25 00:00:00
2022-04-25 12:30:00,ETHUSD,exit,long,1.0,0.0,2860.05,0.0,4.0,,,,,,,,,,,2022-04-25 12:30:00
2022-04-28 14:30:00,ETHUSD,entry,short,0.0,-1.0,2879.7,-1.0,1.4985764471193908,,,,,,,,,,,2022-04-28 14:30:00
2022-04-29 02:30:00,ETHUSD,exit,short,-1.0,0.0,2910.1,0.0,-2.4360512827176195,,,,,,,,,,,2022-04-29 02:30:00
2022-05-01 22:30:00,ETHUSD,entry,short,0.0,-1.0,2807.55,-1.0,-0.08643332348085617,,,,,,,,,,,2022-05-01 22:30:00
2022-05-02 10:30:00,ETHUSD,exit,short,-1.0,0.0,2806.0,0.0,3.309264045983201,,,,,,,,,,,2022-05-02 10:30:00
2022-05-06 07:30:00,ETHUSD,entry,long,0.0,1.0,2730.0,1.0,-2.279057268808396,,,,,,,,,,,2022-05-06 07:30:00
2022-05-06 19:30:00,ETHUSD,exit,long,1.0,0.0,2688.5,0.0,-0.7691063119586378,,,,,,,,,,,2022-05-06 19:30:00
2022-05-07 22:00:00,ETHUSD,entry,long,0.0,1.0,2622.75,1.0,-3.879105575171616,,,,,,,,,,,2022-05-07 22:00:00
2022-05-08 10:00:00,ETHUSD,exit,long,1.0,0.0,2557.5,0.0,-1.3684757395276355,,,,,,,,,,,2022-05-08 10:00:00
2022-05-09 01:30:00,ETHUSD,entry,short,0.0,-1.0,2505.1,-1.0,-4.0,,,,,,,,,,,2022-05-09 01:30:00
2022-05-09 13:30:00,ETHUSD,exit,short,-1.0,0.0,2413.3,0.0,-4.0,,,,,,,,,,,2022-05-09 13:30:00
2022-05-12 21:30:00,ETHUSD,entry,long,0.0,1.0,1908.9,1.0,2.918940686811821,,,,,,,,,,,2022-05-12 21:30:00
2022-05-13 09:30:00,ETHUSD,exit,long,1.0,0.0,2073.9,0.0,-0.010571353711897852,,,,,,,,,,,2022-05-13 09:30:00
2022-05-13 23:30:00,ETHUSD,entry,short,0.0,-1.0,2005.65,-1.0,-0.6047199551675693,,,,,,,,,,,2022-05-13 23:30:00
2022-05-14 11:30:00,ETHUSD,exit,short,-1.0,0.0,1981.8,0.0,2.2573979877292847,,,,,,,,,,,2022-05-14 11:30:00
2022-05-18 20:00:00,ETHUSD,entry,long,0.0,1.0,1953.3,1.0,-0.18554382389871438,,,,,,,,,,,2022-05-18 20:00:00
2022-05-19 08:00:00,ETHUSD,exit,long,1.0,0.0,1949.7,0.0,2.6884533445733942,,,,,,,,,,,2022-05-19 08:00:00
2022-05-20 15:00:00,ETHUSD,entry,long,0.0,1.0,1965.5,1.0,-0.8898605899413228,,,,,,,,,,,2022-05-20 15:00:00
2022-05-21 03:00:00,ETHUSD,exit,long,1.0,0.0,1949.1,0.0,0.9959656757049735,,,,,,,,,,,2022-05-21 03:00:00
2022-05-23 16:30:00,ETHUSD,entry,short,0.0,-1.0,2056.2,-1.0,-4.0,,,,,,,,,,,2022-05-23 16:30:00
2022-05-24 04:30:00,ETHUSD,exit,short,-1.0,0.0,1985.5,0.0,-2.1416970780337428,,,,,,,,,,,2022-05-24 04:30:00
2022-05-24 18:00:00,ETHUSD,entry,long,0.0,1.0,1959.6,1.0,1.098810791224715,,,,,,,,,,,2022-05-24 18:00:00
2022-05-25 06:00:00,ETHUSD,exit,long,1.0,0.0,1975.4,0.0,-0.05794051074761053,,,,,,,,,,,2022-05-25 06:00:00
2022-05-25 23:00:00,ETHUSD,entry,long,0.0,1.0,1950.9,1.0,-4.0,,,,,,,,,,,2022-05-25 23:00:00
2022-05-26 11:00:00,ETHUSD,exit,long,1.0,0.0,1816.1,0.0,-0.2939933637400272,,,,,,,,,,,2022-05-26 11:00:00
2022-05-28 05:30:00,ETHUSD,entry,short,0.0,-1.0,1769.4,-1.0,0.24783001948440367,,,,,,,,,,,2022-05-28 05:30:00
2022-05-28 17:30:00,ETHUSD,exit,short,-1.0,0.0,1774.65,0.0,0.44436854361531375,,,,,,,,,,,2022-05-28 17:30:00
2022-05-31 06:00:00,ETHUSD,entry,long,0.0,1.0,1968.8,1.0,-0.5801685525360415,,,,,,,,,,,2022-05-31 06:00:00
2022-05-31 18:00:00,ETHUSD,exit,long,1.0,0.0,1960.0,0.0,-1.331145852376398,,,,,,,,,,,2022-05-31 18:00:00
2022-06-01 14:00:00,ETHUSD,entry,short,0.0,-1.0,1921.0,-1.0,-4.0,,,,,,,,,,,2022-06-01 14:00:00
2022-06-02 02:00:00,ETHUSD,exit,short,-1.0,0.0,1827.6,0.0,-2.1775186610243957,,,,,,,,,,,2022-06-02 02:00:00
2022-06-07 00:30:00,ETHUSD,entry,long,0.0,1.0,1757.4,1.0,-0.5541631818318237,,,,,,,,,,,2022-06-07 00:30:00
2022-06-07 13:00:00,ETHUSD,exit,long,1.0,0.0,1753.6999999999998,0.0,4.0,,,,,,,,,,,2022-06-07 13:00:00
2022-06-14 21:00:00,ETHUSD,entry,long,0.0,1.0,1165.8000000000002,1.0,-4.0,,,,,,,,,,,2022-06-14 21:00:00
2022-06-15 09:00:00,ETHUSD,exit,long,1.0,0.0,1021.75,0.0,4.0,,,,,,,,,,,2022-06-15 09:00:00
2022-06-18 20:00:00,ETHUSD,entry,long,0.0,1.0,900.1500000000001,1.0,3.4917261623025184,,,,,,,,,,,2022-06-18 20:00:00
2022-06-19 08:00:00,ETHUSD,exit,long,1.0,0.0,960.45,0.0,4.0,,,,,,,,,,,2022-06-19 08:00:00
2022-06-19 20:00:00,ETHUSD,entry,long,0.0,1.0,1124.1,1.0,-0.44939713475337484,,,,,,,,,,,2022-06-19 20:00:00
2022-06-20 08:00:00,ETHUSD,exit,long,1.0,0.0,1114.45,0.0,0.11358686157044157,,,,,,,,,,,2022-06-20 08:00:00
2022-06-20 20:00:00,ETHUSD,entry,long,0.0,1.0,1116.85,1.0,1.879123750061816,,,,,,,,,,,2022-06-20 20:00:00
2022-06-21 08:00:00,ETHUSD,exit,long,1.0,0.0,1156.05,0.0,-2.086293372892145,,,,,,,,,,,2022-06-21 08:00:00
2022-06-25 15:30:00,ETHUSD,entry,long,0.0,1.0,1183.05,1.0,3.742251267238425,,,,,,,,,,,2022-06-25 15:30:00
2022-06-26 03:30:00,ETHUSD,exit,long,1.0,0.0,1232.6,0.0,-0.8006650618881602,,,,,,,,,,,2022-06-26 03:30:00
2022-06-26 23:30:00,ETHUSD,entry,long,0.0,1.0,1197.15,1.0,1.8169662879401995,,,,,,,,,,,2022-06-26 23:30:00
2022-06-27 11:30:00,ETHUSD,exit,long,1.0,0.0,1219.25,0.0,-2.590170044030847,,,,,,,,,,,2022-06-27 11:30:00
2022-07-01 23:30:00,ETHUSD,entry,long,0.0,1.0,1057.8,1.0,-1.1009723932472568,,,,,,,,,,,2022-07-01 23:30:00
2022-07-02 11:30:00,ETHUSD,exit,long,1.0,0.0,1042.4499999999998,0.0,1.980362000939346,,,,,,,,,,,2022-07-02 11:30:00
