rank,feature,mean_abs_shap,asset,fold
1,bollinger_bandwidth,0.35018310914287,asset,0
2,ema_trend_48_192,0.2372727505844053,asset,0
3,atr_over_price_48,0.23118846145012573,asset,0
4,vol_rolling_192,0.23071333591650395,asset,0
5,vol_rolling_96,0.19563847607434273,asset,0
6,atr_48,0.19122236139858725,asset,0
7,bollinger_bandwidth_rank_192,0.13726193617581614,asset,0
8,vol_rolling_48,0.1112716925304934,asset,0
9,ret_48,0.1055868358068247,asset,0
10,atr_pct_rank_192,0.10375553492666136,asset,0
11,bollinger_percent_b,0.10269870477205043,asset,0
12,close_over_bb_mid_192,0.1001382362688478,asset,0
13,atr_pct,0.09909686959992065,asset,0
14,mama_minus_fama_over_atr,0.09099672398486469,asset,0
15,vol_rolling_24,0.08717537754815151,asset,0
16,close_over_bb_upper_192,0.08573139200164225,asset,0
17,frama_slope_over_atr,0.07507223984073462,asset,0
18,ret_16,0.0553737510613452,asset,0
19,close_over_vwap_48,0.04378027148682011,asset,0
20,distance_from_ema96_atr,0.04289022172125975,asset,0
21,close_minus_decycler_over_atr,0.040339521728461086,asset,0
22,ret_24,0.03958557907296718,asset,0
23,rolling_return_48,0.03861482836738933,asset,0
24,roofing_filter_over_atr,0.038001511733561984,asset,0
25,instantaneous_trendline_slope_over_atr,0.023444888418033816,asset,0
26,ema_alignment_score,0.02023679052466107,asset,0
27,lag_close_ret_1,0.018003470759067865,asset,0
28,close_location,0.017240289348633895,asset,0
29,range_to_atr,0.01645451511195795,asset,0
30,close_ret,0.016358365205652536,asset,0
31,ret_4,0.01581128024124599,asset,0
32,rolling_return_24,0.01444046556839968,asset,0
33,lag_close_ret_4,0.014011091411662227,asset,0
34,lag_close_ret_2,0.013558580035643152,asset,0
35,upper_wick_ratio,0.012404220312963267,asset,0
36,distance_from_ema24_atr,0.01168582503455232,asset,0
37,lower_wick_ratio,0.010902238047412093,asset,0
38,supersmoother_slope_over_atr,0.010475551156308473,asset,0
39,decycler_slope_over_atr,0.008777566255364829,asset,0
40,lag_close_ret_16,0.00796340304361149,asset,0
41,lag_close_ret_24,0.007788110986170748,asset,0
42,lag_close_ret_8,0.005501850907436375,asset,0
43,lag_close_ret_48,0.005426644468189965,asset,0
44,ret_8,0.00465132235627105,asset,0
45,ret_1,0.0039904727820348936,asset,0
46,dominant_cycle_phase_normalized,0.0039123991298040785,asset,0
47,body_ratio,0.003729490246554247,asset,0
1,bollinger_bandwidth,0.30716264268601706,asset,1
2,ema_trend_48_192,0.2214210769308317,asset,1
3,atr_48,0.1954879132926851,asset,1
4,vol_rolling_192,0.19546720081713584,asset,1
5,atr_over_price_48,0.15592879567921122,asset,1
6,vol_rolling_96,0.13732030515172738,asset,1
7,bollinger_bandwidth_rank_192,0.12236935285016555,asset,1
8,ret_48,0.11233875801021162,asset,1
9,atr_pct_rank_192,0.11148232304981981,asset,1
10,close_over_bb_mid_192,0.10637544046013189,asset,1
11,vol_rolling_48,0.09980318377344416,asset,1
12,mama_minus_fama_over_atr,0.09100768771573309,asset,1
13,close_over_bb_upper_192,0.08160800831031785,asset,1
14,bollinger_percent_b,0.06623316255538236,asset,1
15,vol_rolling_24,0.06505744450337762,asset,1
16,frama_slope_over_atr,0.06486030907042464,asset,1
17,ret_24,0.05670532214551996,asset,1
18,atr_pct,0.05256260921742883,asset,1
19,ema_alignment_score,0.04150211613201443,asset,1
20,close_over_vwap_48,0.040946063439897665,asset,1
21,close_minus_decycler_over_atr,0.03929003808704894,asset,1
22,distance_from_ema96_atr,0.039218506117085015,asset,1
23,rolling_return_48,0.03792574675164054,asset,1
24,roofing_filter_over_atr,0.03317296845589915,asset,1
25,ret_16,0.031094693006202014,asset,1
26,ret_4,0.020424466746804603,asset,1
27,rolling_return_24,0.01597028401805051,asset,1
28,distance_from_ema24_atr,0.015253405732026461,asset,1
29,instantaneous_trendline_slope_over_atr,0.014281715250340032,asset,1
30,close_location,0.010905739110610845,asset,1
31,decycler_slope_over_atr,0.010832617190206627,asset,1
32,lag_close_ret_1,0.010024255371147102,asset,1
33,close_ret,0.009437805964317082,asset,1
34,lag_close_ret_2,0.009194096211031719,asset,1
35,lag_close_ret_24,0.007738320454692678,asset,1
36,lag_close_ret_8,0.007406158687809429,asset,1
37,upper_wick_ratio,0.006373726557281361,asset,1
38,lag_close_ret_16,0.006300903645280041,asset,1
39,lag_close_ret_4,0.005742619615249381,asset,1
40,lag_close_ret_48,0.00572067618070995,asset,1
41,range_to_atr,0.005668295477010934,asset,1
42,ret_8,0.005642545743783092,asset,1
43,supersmoother_slope_over_atr,0.0054060779323409185,asset,1
44,ret_1,0.004287479859609632,asset,1
45,lower_wick_ratio,0.0027806355689997913,asset,1
46,body_ratio,0.002537148586001928,asset,1
47,dominant_cycle_phase_normalized,0.0025241177105194334,asset,1
1,vol_rolling_192,0.41459798657734853,asset,2
2,bollinger_bandwidth,0.3440650734614325,asset,2
3,ema_trend_48_192,0.23769811444012592,asset,2
4,vol_rolling_96,0.22152616127756988,asset,2
5,atr_over_price_48,0.18278071725637665,asset,2
6,atr_48,0.15855208069532523,asset,2
7,bollinger_bandwidth_rank_192,0.1492047240246104,asset,2
8,vol_rolling_24,0.1338357078582047,asset,2
9,vol_rolling_48,0.12930594169699056,asset,2
10,close_over_bb_mid_192,0.10523769768053363,asset,2
11,ret_48,0.10465827071710565,asset,2
12,bollinger_percent_b,0.09873089576285636,asset,2
13,atr_pct_rank_192,0.09026239343185281,asset,2
14,mama_minus_fama_over_atr,0.08780596988456565,asset,2
15,close_over_bb_upper_192,0.07422351181588893,asset,2
16,frama_slope_over_atr,0.06475380243293984,asset,2
17,ret_24,0.05965347328342432,asset,2
18,ret_16,0.049745389456382974,asset,2
19,atr_pct,0.04345577841012683,asset,2
