feature,mean_importance,mean_importance_normalized,fold_count,source,rank
atr_48,1105.3,0.1021129655188066,10,feature_importances_,1
vol_rolling_192,1073.9,0.09914735804853021,10,feature_importances_,2
bollinger_bandwidth,935.1,0.0863343675899628,10,feature_importances_,3
vol_rolling_96,793.5,0.07325500626537836,10,feature_importances_,4
ema_trend_48_192,743.8,0.06871423469042129,10,feature_importances_,5
bollinger_bandwidth_rank_192,592.6,0.05474019299864026,10,feature_importances_,6
atr_over_price_48,592.1,0.05468969053218449,10,feature_importances_,7
vol_rolling_48,532.2,0.04912905700235226,10,feature_importances_,8
atr_pct_rank_192,467.5,0.04318984053655269,10,feature_importances_,9
vol_rolling_24,412.6,0.038134458262391605,10,feature_importances_,10
mama_minus_fama_over_atr,386.4,0.03569945251982684,10,feature_importances_,11
close_over_bb_upper_192,302.6,0.027954483107241034,10,feature_importances_,12
close_over_bb_mid_192,290.1,0.026781189908643775,10,feature_importances_,13
ret_48,284.9,0.026315650749281848,10,feature_importances_,14
bollinger_percent_b,239.0,0.022056674345975923,10,feature_importances_,15
distance_from_ema96_atr,189.6,0.017514633738957834,10,feature_importances_,16
close_over_vwap_48,175.6,0.016207563698176407,10,feature_importances_,17
roofing_filter_over_atr,165.1,0.015249587112670096,10,feature_importances_,18
ret_24,164.1,0.015144887459387118,10,feature_importances_,19
atr_pct,156.4,0.01444776748952766,10,feature_importances_,20
