fold,train_rows_raw,train_rows,train_rows_dropped_missing,train_rows_not_labeled,train_rows_without_fit,test_rows,test_pred_rows,test_rows_missing_features,test_rows_not_candidates,test_rows_without_prediction,classification_eval_rows,regression_eval_rows,classification_accuracy,regression_rmse
0,35016,35016,,0,0,4380,4380,0,0,0,4380,4380,0.49155251141552514,2.712156179530466
1,39396,39396,,0,0,4380,4380,0,0,0,4380,4380,0.5534246575342465,2.6284687345427544
2,43752,43752,,0,0,4380,4380,0,0,0,4380,4380,0.5200913242009132,2.7635218043204373
3,48108,48108,,0,0,4380,4380,0,0,0,4380,4380,0.5340182648401827,2.5908497585688766
4,52464,52464,,0,0,4380,4380,0,0,0,4380,4380,0.5317351598173516,2.658865315231407
5,56820,56820,,0,0,4380,4380,0,0,0,4380,4380,0.5242009132420091,2.5851555350014386
6,61176,61176,,0,0,4380,4380,0,0,0,4380,4380,0.4940639269406393,2.6611263406112178
7,65532,65532,,0,0,4380,4380,0,0,0,4380,4380,0.5237442922374429,2.6541178219994412
8,69888,69888,,0,0,4380,4380,0,0,0,4380,4380,0.5363013698630137,2.5118970012694577
9,74244,74244,,0,0,4380,4380,0,0,0,4380,4380,0.49840182648401826,2.645991419918458
