probability_bucket,decile,trade_count,avg_pred_prob,actual_win_rate,avg_realized_r,avg_trade_r,median_trade_r,avg_mfe_r,avg_mae_r,avg_giveback_r,profit_factor,expected_r_after_cost,avg_bars_held
"(0.0548, 0.194]","(0.0548, 0.194]",30,0.12712088723977408,0.6333333333333333,1.473471715468853,1.473471715468853,0.8967775278324219,4.22599867991009,-2.3940147540729684,2.7525269644412367,2.6860172582290245,1.437324619614491,24.0
"(0.194, 0.227]","(0.194, 0.227]",30,0.21098981698354086,0.7666666666666667,1.7062376678594047,1.7062376678594047,1.4174676072162753,4.7818366318631975,-1.8620921147928096,3.0755989640037935,3.9450303915695266,1.667902318889368,24.133333333333333
"(0.227, 0.273]","(0.227, 0.273]",30,0.2488065168261528,0.5333333333333333,0.0399874321284819,0.0399874321284819,0.11904815256176562,3.050324107242786,-2.836888836650735,3.0103366751143033,1.0328087774871302,-9.865429678144373e-05,24.433333333333334
"(0.273, 0.318]","(0.273, 0.318]",30,0.2908444583415985,0.6333333333333333,0.003038690500527193,0.003038690500527193,1.2046233100679475,3.69983640021002,-4.106187457864831,3.6967977097094935,1.0013872544191267,-0.04195352848520389,24.133333333333333
"(0.318, 0.686]","(0.318, 0.686]",30,0.6487956474224726,0.6,1.1215539585813403,1.1215539585813403,0.6318533601003782,3.996330228104129,-2.781175087935962,2.8747762695227883,1.857372453801713,1.081220515042371,24.033333333333335
"(0.686, 0.712]","(0.686, 0.712]",29,0.7011427612140261,0.4482758620689655,0.051860091141744974,0.051860091141744974,-0.3159720469625415,2.9092557319592567,-3.6427912239752582,2.8573956408175114,1.0337622404965583,0.012724524216200751,24.06896551724138
"(0.712, 0.738]","(0.712, 0.738]",30,0.7235512912273407,0.5,-0.5858986652852817,-0.5858986652852817,-0.09782688518759317,2.5225490347084976,-3.2961987150504704,3.1084476999937793,0.6430289142406771,-0.626732818651253,24.033333333333335
"(0.738, 0.77]","(0.738, 0.77]",30,0.7535238524278005,0.7333333333333333,1.0955196881232427,1.0955196881232427,1.0405091635965547,3.093253028679518,-1.8590860378829261,1.9977333405562756,3.4844829918071087,1.0562205783340226,24.233333333333334
"(0.77, 0.813]","(0.77, 0.813]",30,0.789323357741038,0.6666666666666666,1.3074944961775892,1.3074944961775892,1.1513115497315947,3.5994331827026826,-2.418694603517534,2.2919386865250937,2.52800384691593,1.2700614689430958,24.1
"(0.813, 0.977]","(0.813, 0.977]",30,0.8596286753813426,0.43333333333333335,0.08188799713078937,0.08188799713078937,-0.4612832770428805,3.01473464303463,-2.8180361827856806,2.9328466459038416,1.0710900722765553,0.03541885938398621,24.333333333333332
