fold,cumulative_return,annualized_return,annualized_vol,sharpe,sortino,calmar,max_drawdown,profit_factor,hit_rate,avg_turnover,total_turnover,gross_pnl,net_pnl,total_cost,cost_drag,cost_to_gross_pnl,trade_count,trade_rate
0,0.7359558285477907,8.0814392350764,0.8617277565453764,9.378181419471142,14.110305208713651,26.21872102818222,-0.30823163442601753,1.0736043974779739,0.49668268130862503,0.00022831050228310502,1.0,0.6441211178177673,0.6440211178177673,0.0001,9.999999999998899e-05,0.00015525030500287322,1.0,0.00022831050228310502
1,-0.40329456508426464,-0.8732231449547084,1.0149094977782402,-0.8603950863267115,-1.183075485450669,-1.4035470130939347,-0.6221545390416263,0.965607038992233,0.4912963811268896,0.00022831050228310502,1.0,-0.3871433447340372,-0.3872433447340372,0.0001,9.999999999998899e-05,0.0002583022577043105,1.0,0.00022831050228310502
2,0.08866056592492444,0.40465596494729383,0.6522008219269909,0.6204468797688698,0.8843378460994468,1.6643981927470566,-0.24312449190984586,1.0264383578846525,0.49331635900700194,0.023972602739726026,105.0,0.14868697661103758,0.13818697661103757,0.0105,0.01050000000000001,0.07061815526364362,105.0,0.023972602739726026
3,-0.25315802145849176,-0.6888893463866077,0.5312233225625425,-1.296798007782316,-1.7984315145068301,-1.7841488202104332,-0.3861165271545879,0.9517510603097321,0.4937845303867403,0.00022831050228310502,1.0,-0.2564939005235062,-0.25659390052350617,0.0001,9.999999999998899e-05,0.0003898728187917887,1.0,0.00022831050228310502
4,-0.05711617534320246,-0.20962582481619585,0.470640822547772,-0.4454051046430805,-0.6358489058201848,-0.8704550360369631,-0.24082326615121596,0.9934092647729413,0.4917241379310345,0.00022831050228310502,1.0,-0.031038284859822518,-0.031138284859822507,0.0001,9.999999999998899e-05,0.0032218275092076665,1.0,0.00022831050228310502
5,-0.01903757156648178,-0.07400317920624666,0.3571233264619221,-0.20722023380384585,-0.2951825097323956,-0.3924229447597289,-0.1885801536185837,0.9990319650917052,0.4994243610407552,0.00022831050228310502,1.0,-0.0032035844649921374,-0.0033035844649921264,0.0001,9.999999999998899e-05,0.031215034625361574,1.0,0.00022831050228310502
6,-0.30106067899283273,-0.7613519473007763,0.43617516743377927,-1.7455187826949496,-2.4237850579356355,-1.9730920571080024,-0.38586742294057175,0.93242279286201,0.4802842732691426,0.00022831050228310502,1.0,-0.334298534095794,-0.334398534095794,0.0001,9.999999999998899e-05,0.00029913382740513235,1.0,0.00022831050228310502
7,-0.41193230753153964,-0.88040603012667,0.5918902446638341,-1.4874481173899043,-2.0966556773475573,-1.7095530864472714,-0.5149919222200326,0.9281043428744484,0.4874510706884642,0.0006849315068493151,3.0,-0.486850156275786,-0.487150156275786,0.00030000000000000003,0.00030000000000002247,0.0006162060258846031,3.0,0.0006849315068493151
8,-0.09021871732546638,-0.31490942848850645,0.6526656035227999,-0.48249735666896615,-0.6829137917708344,-1.0028638574901103,-0.31401014817368855,0.9940518950728475,0.4879669951867981,0.00022831050228310502,1.0,-0.04117072582418291,-0.04127072582418291,0.0001,0.00010000000000000286,0.0024289102996882775,1.0,0.00022831050228310502
9,0.3360804095373533,2.186620785165827,0.6648833126204932,3.2887286290097073,4.864480961217978,8.825543336569957,-0.24776047227656084,1.052782888587111,0.49885531135531136,0.00022831050228310502,1.0,0.3449690334001503,0.3448690334001503,0.0001,9.999999999998899e-05,0.0002898810916862906,1.0,0.00022831050228310502
