feature,mean_importance,mean_importance_normalized,fold_count,source,rank
bollinger_bandwidth,325.7,0.05151586322637203,10,feature_importances_,1
atr_48,309.0,0.04887786982698912,10,feature_importances_,2
vol_rolling_48,270.8,0.042846797743092316,10,feature_importances_,3
mama_minus_fama_over_atr,260.2,0.04121451128702246,10,feature_importances_,4
vol_rolling_192,248.6,0.03940121096840567,10,feature_importances_,5
vol_rolling_24,244.7,0.03871214543049959,10,feature_importances_,6
bollinger_bandwidth_rank_192,241.5,0.03825439459508678,10,feature_importances_,7
vol_rolling_96,234.1,0.03701300584168013,10,feature_importances_,8
ema_trend_48_192,230.5,0.03646508836013729,10,feature_importances_,9
distance_from_ema96_atr,213.2,0.03364254888748965,10,feature_importances_,10
close_over_bb_upper_192,192.1,0.03038397979171868,10,feature_importances_,11
ret_24,186.8,0.029556307032147122,10,feature_importances_,12
atr_pct_rank_192,186.4,0.029416737661943377,10,feature_importances_,13
ret_48,183.2,0.028911262845553905,10,feature_importances_,14
atr_over_price_48,180.6,0.028574863052258058,10,feature_importances_,15
close_over_bb_mid_192,170.4,0.0269446493527503,10,feature_importances_,16
bollinger_percent_b,167.9,0.026464584506349847,10,feature_importances_,17
roofing_filter_over_atr,163.6,0.025870127207209725,10,feature_importances_,18
dominant_cycle_phase_normalized,132.0,0.02091709031908242,10,feature_importances_,19
frama_slope_over_atr,127.8,0.02025239478592148,10,feature_importances_,20
