fold,train_rows_raw,train_rows,train_rows_dropped_missing,train_rows_not_labeled,train_rows_without_fit,test_rows,test_pred_rows,test_rows_missing_features,test_rows_not_candidates,test_rows_without_prediction,classification_eval_rows,regression_eval_rows,classification_accuracy,regression_rmse
0,35016,34617,382,17,399,4380,4380,0,0,0,4379,0,0.6037908198218771,
1,39396,38996,382,18,400,4380,4380,0,0,0,4379,0,0.5836949075131308,
2,43752,43351,382,19,401,4380,4380,0,0,0,4360,0,0.5905963302752294,
3,48108,47689,382,37,419,4380,4380,0,0,0,4349,0,0.5948493906645206,
4,52464,52014,382,68,450,4380,4380,0,0,0,4369,0,0.601052872510872,
5,56820,56359,382,79,461,4380,4380,0,0,0,4332,0,0.5967220683287165,
6,61176,60667,382,127,509,4380,4380,0,0,0,4377,0,0.5809915467214988,
7,65532,65020,382,130,512,4380,4380,0,0,0,4374,0,0.5681298582533151,
8,69888,69370,382,136,518,4380,4380,0,0,0,4376,0,0.5836380255941499,
9,74244,73722,382,140,522,4380,4380,0,0,0,4358,0,0.5890316659017898,
