trade_id,policy,counterfactual_r
0,baseline,63.60762807198425
0,breakeven_after_0_5r,0.0
0,breakeven_after_1_0r,0.0
0,exit_at_first_0_5r,0.5
0,exit_at_first_1_0r,1.0
0,trail_0_5r_after_1_0r,0.5060843345503976
0,time_exit_after_4_bars_if_mfe_lt_0_3r,63.60762807198425
0,partial_50pct_at_1r,32.303814035992126
1,baseline,6.677831563382684
1,breakeven_after_0_5r,0.0
1,breakeven_after_1_0r,0.0
1,exit_at_first_0_5r,0.5
1,exit_at_first_1_0r,1.0
1,trail_0_5r_after_1_0r,0.5545519463839923
1,time_exit_after_4_bars_if_mfe_lt_0_3r,6.677831563382684
1,partial_50pct_at_1r,3.838915781691342
2,baseline,3.463040463386725
2,breakeven_after_0_5r,0.0
2,breakeven_after_1_0r,3.463040463386725
2,exit_at_first_0_5r,0.5
2,exit_at_first_1_0r,1.0
2,trail_0_5r_after_1_0r,1.205541411985238
2,time_exit_after_4_bars_if_mfe_lt_0_3r,3.463040463386725
2,partial_50pct_at_1r,2.2315202316933624
3,baseline,9.836293167872114
3,breakeven_after_0_5r,0.0
3,breakeven_after_1_0r,0.0
3,exit_at_first_0_5r,0.5
3,exit_at_first_1_0r,1.0
3,trail_0_5r_after_1_0r,2.024841678824338
3,time_exit_after_4_bars_if_mfe_lt_0_3r,-0.3342995951056796
3,partial_50pct_at_1r,5.418146583936057
4,baseline,-1.9949135810616614
4,breakeven_after_0_5r,0.0
4,breakeven_after_1_0r,0.0
4,exit_at_first_0_5r,0.5
4,exit_at_first_1_0r,1.0
4,trail_0_5r_after_1_0r,1.168842635644751
4,time_exit_after_4_bars_if_mfe_lt_0_3r,-1.9949135810616614
4,partial_50pct_at_1r,-0.4974567905308307
5,baseline,-2.1173246067515716
5,breakeven_after_0_5r,-2.1173246067515716
5,breakeven_after_1_0r,-2.1173246067515716
5,exit_at_first_0_5r,-2.1173246067515716
5,exit_at_first_1_0r,-2.1173246067515716
5,trail_0_5r_after_1_0r,-2.1173246067515716
5,time_exit_after_4_bars_if_mfe_lt_0_3r,-1.3452069580287846
5,partial_50pct_at_1r,-2.1173246067515716
6,baseline,3.467372088597845
6,breakeven_after_0_5r,0.0
6,breakeven_after_1_0r,3.467372088597845
6,exit_at_first_0_5r,0.5
6,exit_at_first_1_0r,1.0
6,trail_0_5r_after_1_0r,1.0712500080331795
6,time_exit_after_4_bars_if_mfe_lt_0_3r,3.467372088597845
6,partial_50pct_at_1r,2.2336860442989224
7,baseline,2.091059136118407
7,breakeven_after_0_5r,0.0
7,breakeven_after_1_0r,0.0
7,exit_at_first_0_5r,0.5
7,exit_at_first_1_0r,1.0
7,trail_0_5r_after_1_0r,0.7734781555411523
7,time_exit_after_4_bars_if_mfe_lt_0_3r,2.091059136118407
7,partial_50pct_at_1r,1.5455295680592036
8,baseline,4.549809138754189
8,breakeven_after_0_5r,0.0
8,breakeven_after_1_0r,0.0
8,exit_at_first_0_5r,0.5
8,exit_at_first_1_0r,1.0
8,trail_0_5r_after_1_0r,0.6137583365054793
8,time_exit_after_4_bars_if_mfe_lt_0_3r,4.549809138754189
8,partial_50pct_at_1r,2.7749045693770946
9,baseline,0.39560296142646384
9,breakeven_after_0_5r,0.0
9,breakeven_after_1_0r,0.0
9,exit_at_first_0_5r,0.5
9,exit_at_first_1_0r,1.0
9,trail_0_5r_after_1_0r,0.5360144714702768
9,time_exit_after_4_bars_if_mfe_lt_0_3r,-2.3101451722704063
9,partial_50pct_at_1r,0.6978014807132319
10,baseline,0.6424627547407556
10,breakeven_after_0_5r,0.0
10,breakeven_after_1_0r,0.0
10,exit_at_first_0_5r,0.5
10,exit_at_first_1_0r,1.0
10,trail_0_5r_after_1_0r,0.7350589110379784
10,time_exit_after_4_bars_if_mfe_lt_0_3r,0.6424627547407556
10,partial_50pct_at_1r,0.8212313773703779
11,baseline,-2.1693503910180554
11,breakeven_after_0_5r,0.0
11,breakeven_after_1_0r,-2.1693503910180554
11,exit_at_first_0_5r,0.5
11,exit_at_first_1_0r,-2.1693503910180554
11,trail_0_5r_after_1_0r,-2.1693503910180554
11,time_exit_after_4_bars_if_mfe_lt_0_3r,-2.1693503910180554
11,partial_50pct_at_1r,-2.1693503910180554
12,baseline,2.5477360565340263
12,breakeven_after_0_5r,0.0
12,breakeven_after_1_0r,0.0
12,exit_at_first_0_5r,0.5
12,exit_at_first_1_0r,1.0
12,trail_0_5r_after_1_0r,0.5673131350368401
12,time_exit_after_4_bars_if_mfe_lt_0_3r,2.5477360565340263
12,partial_50pct_at_1r,1.7738680282670132
13,baseline,1.5722837468836333
13,breakeven_after_0_5r,0.0
13,breakeven_after_1_0r,0.0
13,exit_at_first_0_5r,0.5
13,exit_at_first_1_0r,1.0
13,trail_0_5r_after_1_0r,3.5479593442461264
13,time_exit_after_4_bars_if_mfe_lt_0_3r,1.5722837468836333
13,partial_50pct_at_1r,1.2861418734418166
14,baseline,0.13003195534949402
14,breakeven_after_0_5r,0.0
14,breakeven_after_1_0r,0.0
14,exit_at_first_0_5r,0.5
14,exit_at_first_1_0r,1.0
14,trail_0_5r_after_1_0r,1.1360946532122709
14,time_exit_after_4_bars_if_mfe_lt_0_3r,0.13003195534949402
14,partial_50pct_at_1r,0.565015977674747
15,baseline,5.458663315192436
15,breakeven_after_0_5r,0.0
15,breakeven_after_1_0r,5.458663315192436
15,exit_at_first_0_5r,0.5
15,exit_at_first_1_0r,1.0
15,trail_0_5r_after_1_0r,3.3685476165284802
15,time_exit_after_4_bars_if_mfe_lt_0_3r,5.458663315192436
15,partial_50pct_at_1r,3.229331657596218
16,baseline,-1.533725344535952
16,breakeven_after_0_5r,0.0
16,breakeven_after_1_0r,-1.533725344535952
16,exit_at_first_0_5r,0.5
16,exit_at_first_1_0r,-1.533725344535952
16,trail_0_5r_after_1_0r,-1.533725344535952
16,time_exit_after_4_bars_if_mfe_lt_0_3r,-1.533725344535952
16,partial_50pct_at_1r,-1.533725344535952
17,baseline,-8.640935927338882
17,breakeven_after_0_5r,0.0
17,breakeven_after_1_0r,0.0
17,exit_at_first_0_5r,0.5
17,exit_at_first_1_0r,1.0
17,trail_0_5r_after_1_0r,0.5326383744111558
17,time_exit_after_4_bars_if_mfe_lt_0_3r,-8.640935927338882
17,partial_50pct_at_1r,-3.820467963669441
18,baseline,5.622616480259262
18,breakeven_after_0_5r,5.622616480259262
18,breakeven_after_1_0r,5.622616480259262
18,exit_at_first_0_5r,0.5
18,exit_at_first_1_0r,1.0
18,trail_0_5r_after_1_0r,1.8807592401541444
