metric,value
counterfactual.baseline.avg_r,0.7085826220613243
counterfactual.baseline.median_r,0.29068293809774126
counterfactual.baseline.profit_factor,1.6640937477614486
counterfactual.baseline.trade_count,37
counterfactual.baseline.win_rate,0.5675675675675675
counterfactual.best_policy_by_avg_r,trail_0_5r_after_1_0r
counterfactual.best_policy_by_profit_factor,trail_0_5r_after_1_0r
counterfactual.breakeven_after_0_5r.avg_r,0.05597310456704265
counterfactual.breakeven_after_0_5r.median_r,0.0
counterfactual.breakeven_after_0_5r.profit_factor,1.3091213962737995
counterfactual.breakeven_after_0_5r.trade_count,37
counterfactual.breakeven_after_0_5r.win_rate,0.05405405405405406
counterfactual.breakeven_after_1_0r.avg_r,0.3828478069046819
counterfactual.breakeven_after_1_0r.median_r,0.0
counterfactual.breakeven_after_1_0r.profit_factor,2.234098356791567
counterfactual.breakeven_after_1_0r.trade_count,37
counterfactual.breakeven_after_1_0r.win_rate,0.24324324324324326
counterfactual.exit_at_first_0_5r.avg_r,0.2919013770182713
counterfactual.exit_at_first_0_5r.median_r,0.5
counterfactual.exit_at_first_0_5r.profit_factor,2.612077120540185
counterfactual.exit_at_first_0_5r.trade_count,37
counterfactual.exit_at_first_0_5r.win_rate,0.9459459459459459
counterfactual.exit_at_first_1_0r.avg_r,0.5450685556707122
counterfactual.exit_at_first_1_0r.median_r,1.0
counterfactual.exit_at_first_1_0r.profit_factor,2.7570120469815143
counterfactual.exit_at_first_1_0r.trade_count,37
counterfactual.exit_at_first_1_0r.win_rate,0.8918918918918919
counterfactual.partial_50pct_at_1r.avg_r,0.6268255888660181
counterfactual.partial_50pct_at_1r.median_r,0.6282907076753027
counterfactual.partial_50pct_at_1r.profit_factor,2.119154486408401
counterfactual.partial_50pct_at_1r.trade_count,37
counterfactual.partial_50pct_at_1r.win_rate,0.6486486486486487
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.avg_r,0.7097471409312166
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.median_r,0.29068293809774126
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.profit_factor,1.665911930218123
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.trade_count,37
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.win_rate,0.5675675675675675
counterfactual.trail_0_5r_after_1_0r.avg_r,0.8686741016435804
counterfactual.trail_0_5r_after_1_0r.median_r,0.8165155143257683
counterfactual.trail_0_5r_after_1_0r.profit_factor,3.800144762727183
counterfactual.trail_0_5r_after_1_0r.trade_count,37
counterfactual.trail_0_5r_after_1_0r.win_rate,0.8918918918918919
