probability_bucket,decile,trade_count,avg_pred_prob,actual_win_rate,avg_realized_r,avg_trade_r,median_trade_r,avg_mfe_r,avg_mae_r,avg_giveback_r,profit_factor,expected_r_after_cost,avg_bars_held
"(0.403, 0.408]","(0.403, 0.408]",4,0.4055602326989174,0.25,-2.488159719669707,-2.488159719669707,-2.6311901913530766,3.1019371012109973,-4.2230977118137085,5.590096820880705,0.06404517012823308,-2.512118026555667,24.0
"(0.408, 0.568]","(0.408, 0.568]",4,0.4897730201482773,0.25,-1.2620880633541698,-1.2620880633541698,-1.3412398766511406,2.0416478484115093,-3.060477866328753,3.303735911765679,0.3158945937957225,-1.2839853735657347,24.0
"(0.568, 0.569]","(0.568, 0.569]",3,0.5685547788937887,0.3333333333333333,3.2860704218640095,3.2860704218640095,-0.1724851551754083,5.220106591133352,-1.5319107081026984,1.9340361692693424,8.68980206429315,3.25608341276212,24.0
"(0.569, 0.571]","(0.569, 0.571]",4,0.5697413086891174,1.0,1.0198683811585147,1.0198683811585147,0.8772917715132662,2.45154556255891,-1.7263548627012382,1.4316771814003952,inf,0.9967263037632823,24.0
"(0.571, 0.573]","(0.571, 0.573]",4,0.5717188119888306,0.75,0.6184708527072034,0.6184708527072034,0.12434252191434572,4.075384990063881,-3.523867263569275,3.4569141373566783,1.4153251831814588,0.592244087682823,24.5
"(0.573, 0.576]","(0.573, 0.576]",3,0.5748413999875387,0.6666666666666666,2.7208789638040103,2.7208789638040103,3.6127600528272485,4.497260252320307,-1.0075078544263771,1.776381288516297,7.23773303354272,2.6923259308831153,24.0
"(0.576, 0.594]","(0.576, 0.594]",4,0.5854150950908661,0.5,-0.2162999470770191,-0.2162999470770191,0.07919224636364827,1.773073636408907,-2.5012059190507547,1.9893735834859263,0.7588058174572913,-0.23781699859931654,24.0
"(0.594, 0.621]","(0.594, 0.621]",3,0.6051346858342489,0.3333333333333333,-1.3103157983823335,-1.3103157983823335,-2.002634053793475,1.1178398226113264,-2.994241192388339,2.42815562099366,0.22559640458794897,-1.3329458003132884,24.666666666666668
"(0.621, 0.628]","(0.621, 0.628]",4,0.6246165931224823,0.75,1.7316921955103626,1.7316921955103626,3.1967440753666683,4.955944097091632,-1.9348236280628048,3.2242519015812694,2.710511123606598,1.716406071507321,24.5
"(0.628, 0.695]","(0.628, 0.695]",4,0.6531063169240952,0.75,3.628430364327799,3.628430364327799,2.703165650950009,4.835415924300153,-1.4941995045244563,1.2069855599723542,71.56511506371457,3.6085286338725684,24.25
