feature,mean_importance,mean_importance_normalized,fold_count,source,rank
atr_pct,0.04060510098934174,0.040605102507512356,10,feature_importances_,1
bollinger_bandwidth,0.040219861268997195,0.040219862892846014,10,feature_importances_,2
ema_trend_48_192,0.03972898609936237,0.03972898757991248,10,feature_importances_,3
vol_rolling_192,0.03921270743012428,0.03921270895296833,10,feature_importances_,4
vol_rolling_96,0.03821797408163548,0.03821797556055038,10,feature_importances_,5
atr_over_price_48,0.03774200864136219,0.03774201014149493,10,feature_importances_,6
atr_48,0.037580748274922374,0.03758074972394053,10,feature_importances_,7
ema_alignment_score,0.036631565541028976,0.03663156691420547,10,feature_importances_,8
vol_rolling_48,0.03529081977903843,0.03529082112475622,10,feature_importances_,9
bollinger_bandwidth_rank_192,0.0343750424683094,0.034375043813945946,10,feature_importances_,10
close_over_bb_upper_192,0.0342476949095726,0.03424769629758952,10,feature_importances_,11
atr_pct_rank_192,0.03402560018002987,0.03402560146665694,10,feature_importances_,12
ret_48,0.03314388282597065,0.03314388410449444,10,feature_importances_,13
vol_rolling_24,0.031971843726933,0.0319718450006007,10,feature_importances_,14
close_over_bb_mid_192,0.03143783621490002,0.031437837441090445,10,feature_importances_,15
distance_from_ema96_atr,0.031019292771816254,0.031019293878715826,10,feature_importances_,16
bollinger_percent_b,0.030132514238357545,0.03013251547666333,10,feature_importances_,17
mama_minus_fama_over_atr,0.03004657793790102,0.030046579075868086,10,feature_importances_,18
rolling_return_48,0.02991325855255127,0.029913259618378853,10,feature_importances_,19
ret_24,0.028440822660923005,0.028440823805608036,10,feature_importances_,20
