fold,train_rows_raw,train_rows,train_rows_dropped_missing,train_rows_not_labeled,train_rows_without_fit,test_rows,test_pred_rows,test_rows_missing_features,test_rows_not_candidates,test_rows_without_prediction,classification_eval_rows,regression_eval_rows,classification_accuracy,regression_rmse
0,35016,35016,,0,0,4380,4380,0,0,0,4380,4380,0.4828767123287671,2.6478798915313293
1,39396,39396,,0,0,4380,4380,0,0,0,4380,4380,0.545662100456621,2.585447311154625
2,43752,43752,,0,0,4380,4380,0,0,0,4380,4380,0.5184931506849315,2.7242276896980013
3,48108,48108,,0,0,4380,4380,0,0,0,4380,4380,0.536986301369863,2.5658409441862755
4,52464,52464,,0,0,4380,4380,0,0,0,4380,4380,0.5328767123287671,2.635484006526475
5,56820,56820,,0,0,4380,4380,0,0,0,4380,4380,0.4958904109589041,2.5830570357908837
6,61176,61176,,0,0,4380,4380,0,0,0,4380,4380,0.5132420091324201,2.567240714953537
7,65532,65532,,0,0,4380,4380,0,0,0,4380,4380,0.515296803652968,2.6222355111555538
8,69888,69888,,0,0,4380,4380,0,0,0,4380,4380,0.5438356164383562,2.4730111147990352
9,74244,74244,,0,0,4380,4380,0,0,0,4380,4380,0.5111872146118721,2.596010951527257
