metric,value
counterfactual.baseline.avg_r,0.48735960486587865
counterfactual.baseline.median_r,0.23179437137984243
counterfactual.baseline.profit_factor,1.399654718606279
counterfactual.baseline.trade_count,248
counterfactual.baseline.win_rate,0.532258064516129
counterfactual.best_policy_by_avg_r,trail_0_5r_after_1_0r
counterfactual.best_policy_by_profit_factor,exit_at_first_0_5r
counterfactual.breakeven_after_0_5r.avg_r,-0.10838484769471808
counterfactual.breakeven_after_0_5r.median_r,0.0
counterfactual.breakeven_after_0_5r.profit_factor,0.13787694376208587
counterfactual.breakeven_after_0_5r.trade_count,248
counterfactual.breakeven_after_0_5r.win_rate,0.008064516129032258
counterfactual.breakeven_after_1_0r.avg_r,-0.10023915486122613
counterfactual.breakeven_after_1_0r.median_r,0.0
counterfactual.breakeven_after_1_0r.profit_factor,0.7623317071174166
counterfactual.breakeven_after_1_0r.trade_count,248
counterfactual.breakeven_after_1_0r.win_rate,0.0967741935483871
counterfactual.exit_at_first_0_5r.avg_r,0.3541201745906975
counterfactual.exit_at_first_0_5r.median_r,0.5
counterfactual.exit_at_first_0_5r.profit_factor,3.8167698131896146
counterfactual.exit_at_first_0_5r.trade_count,248
counterfactual.exit_at_first_0_5r.win_rate,0.9596774193548387
counterfactual.exit_at_first_1_0r.avg_r,0.43144308854483804
counterfactual.exit_at_first_1_0r.median_r,1.0
counterfactual.exit_at_first_1_0r.profit_factor,2.0229569719776723
counterfactual.exit_at_first_1_0r.trade_count,248
counterfactual.exit_at_first_1_0r.win_rate,0.8548387096774194
counterfactual.partial_50pct_at_1r.avg_r,0.45940134670535826
counterfactual.partial_50pct_at_1r.median_r,0.6119036268872109
counterfactual.partial_50pct_at_1r.profit_factor,1.6619529558565715
counterfactual.partial_50pct_at_1r.trade_count,248
counterfactual.partial_50pct_at_1r.win_rate,0.657258064516129
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.avg_r,0.44578435400516464
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.median_r,0.11820190505065145
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.profit_factor,1.365866031670386
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.trade_count,248
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.win_rate,0.5080645161290323
counterfactual.trail_0_5r_after_1_0r.avg_r,0.6084866129430726
counterfactual.trail_0_5r_after_1_0r.median_r,0.8391426410510767
counterfactual.trail_0_5r_after_1_0r.profit_factor,2.442729387935268
counterfactual.trail_0_5r_after_1_0r.trade_count,248
counterfactual.trail_0_5r_after_1_0r.win_rate,0.8548387096774194
