probability_bucket,decile,trade_count,avg_pred_prob,actual_win_rate,avg_realized_r,avg_trade_r,median_trade_r,avg_mfe_r,avg_mae_r,avg_giveback_r,profit_factor,expected_r_after_cost,avg_bars_held
"(0.0516, 0.162]","(0.0516, 0.162]",25,0.12280142828822135,0.6,1.275428063069044,1.275428063069044,1.329487797807621,4.919300748848941,-2.814759227083341,3.6438726857798964,2.2605470577990685,1.2378462376390138,24.08
"(0.162, 0.219]","(0.162, 0.219]",25,0.19055262088775635,0.6,0.7589509177631933,0.7589509177631933,0.4511543361130199,3.562607412105699,-2.59790277938354,2.8036564943425053,1.7487752411471265,0.7172770092422005,24.32
"(0.219, 0.275]","(0.219, 0.275]",25,0.24058689296245575,0.36,-1.0548313349142635,-1.0548313349142635,-0.4138389049051702,2.4770380292406826,-3.6289550064030593,3.5318693641549466,0.49497423407261065,-1.0984854963942614,24.0
"(0.275, 0.67]","(0.275, 0.67]",24,0.480699988702933,0.7083333333333334,1.6329048525365957,1.6329048525365957,1.1229959277689354,3.756587173448681,-2.168930515670514,2.123682320912085,5.168757982500914,1.5951558101787804,24.0
"(0.67, 0.705]","(0.67, 0.705]",25,0.6892545819282532,0.56,1.1938082053069423,1.1938082053069423,1.452953416993389,4.4438198094676284,-3.6814289761252543,3.2500116041606866,1.7296256083436634,1.1462948849427343,24.0
"(0.705, 0.736]","(0.705, 0.736]",25,0.7218115782737732,0.56,0.17254351140056962,0.17254351140056962,0.4925411772344336,2.5304875726051326,-2.4236966650887593,2.3579440612045626,1.1873064369051352,0.13374656521444248,24.28
"(0.736, 0.761]","(0.736, 0.761]",24,0.7463317587971687,0.3333333333333333,-1.5653984346111844,-1.5653984346111844,-0.6781828885636854,2.081249182752053,-4.598985483385602,3.646647617363238,0.3397790434103404,-1.6123504032845482,24.125
"(0.761, 0.785]","(0.761, 0.785]",25,0.7737185072898864,0.48,0.8894515616343193,0.8894515616343193,-0.2056784211888053,3.2591868229587004,-2.9557675000455546,2.3697352613243807,2.0406754631715227,0.8519655115470472,24.0
"(0.785, 0.824]","(0.785, 0.824]",25,0.8038496875762939,0.48,0.2571807759782933,0.2571807759782933,-0.22567024634257682,2.852654357414836,-3.04593360177585,2.5954735814365426,1.2010856029565011,0.22257635721499228,24.08
"(0.824, 0.988]","(0.824, 0.988]",25,0.8797308421134948,0.64,1.2772694188230227,1.2772694188230227,0.5822485229903942,3.760231976189098,-2.4001307772508147,2.4829625573660756,2.9967973436202016,1.2309474770413473,24.4
