trade_id,asset,side,signal_timestamp,entry_timestamp,exit_timestamp,entry_price,exit_price,raw_entry_price,raw_exit_price,bars_held,position_size,gross_return,net_return,entry_cost,exit_cost,holding_cost,total_cost,entry_turnover,exit_turnover,holding_turnover,total_turnover,trade_r,gross_trade_r,total_cost_r,max_favorable_r,max_adverse_r,time_to_mfe,time_to_mae,exit_reason,risk_distance,risk_distance_source,was_ever_positive,was_ever_0_5r,lost_but_reached_0_5r,was_ever_1r,lost_but_reached_1r,was_ever_1_5r,lost_but_reached_1_5r,was_ever_2r,lost_but_reached_2r,lost_but_was_positive,giveback_r,capture_ratio,positive_mfe_capture_ratio,abs_mae_r,pred_prob,pred_is_oos
0,ETHUSD,short,2022-03-16 00:00:00,2022-03-16 00:00:00,2022-03-16 12:00:00,2617.8,2683.0,2617.8,2683.0,24,1.0,-0.02523569881487453,-0.025430392550388814,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,-3.6712511093312314,-3.64200558107924,0.0292455282519916,0.5669686602447043,-6.434954646324064,8,4,position_exit,17.902224076405457,atr_48,True,True,True,False,False,False,False,False,False,True,4.238219769575935,-6.47522758620682,-6.47522758620682,6.434954646324064,0.2284158170223236,True
1,ETHUSD,long,2022-03-18 00:00:00,2022-03-18 00:00:00,2022-03-18 12:00:00,2809.1,2804.1,2809.1,2804.1,24,1.0,-0.001779929514791334,-0.001979314381474806,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,-0.3021536549755927,-0.27163199723794795,0.030521657737644783,0.3123767968236401,-2.156758058069297,17,1,position_exit,18.407257064122792,atr_48,True,False,False,False,False,False,False,False,False,True,0.6145304517992328,-0.9672730434782609,-0.9672730434782609,2.156758058069297,0.7567649483680725,True
2,ETHUSD,short,2022-03-24 05:30:00,2022-03-24 05:30:00,2022-03-24 17:30:00,3049.5,3099.45,3049.5,3099.45,24,1.0,-0.01677584747175176,-0.016971814464463608,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,-2.5205992372830193,-2.4901934517727846,0.030405785510234772,2.2608663270850045,-4.00574662362252,16,20,position_exit,20.058682575219244,atr_48,True,True,True,True,True,True,True,True,True,True,4.781465564368023,-1.1148820286659298,-1.1148820286659298,4.00574662362252,0.17112061381340027,True
3,ETHUSD,long,2022-03-28 13:30:00,2022-03-28 13:30:00,2022-03-29 01:30:00,3380.3,3390.8500000000004,3380.3,3390.8500000000004,24,1.0,0.003121024761115976,0.0029208542905958534,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,0.5954139873923537,0.6361814601860376,0.04076747279368391,3.1477414428161588,-3.7899530590229387,12,20,reversal,16.58331884886281,atr_48,True,True,False,True,False,True,False,True,False,False,2.552327455423805,0.18915593869732217,0.18915593869732217,3.7899530590229387,0.7472099661827087,True
4,ETHUSD,short,2022-03-29 01:30:00,2022-03-29 01:30:00,2022-03-29 13:30:00,3390.8500000000004,3445.45,3390.8500000000004,3445.45,24,1.0,-0.016144767156005657,-0.016341152932975667,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,-2.7366606227671055,-2.703086408307003,0.03357421446010218,1.0817296340935822,-4.576929275604111,3,21,position_exit,20.19913230750049,atr_48,True,True,True,True,True,False,False,False,False,True,3.818390256860688,-2.5298933638443266,-2.5298933638443266,4.576929275604111,0.2149093896150589,True
5,ETHUSD,short,2022-03-30 11:00:00,2022-03-30 11:00:00,2022-03-30 23:00:00,3413.3,3391.65,3413.3,3391.65,24,1.0,0.005836750693178461,0.005635550367325326,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,0.9883816260852935,1.0205616069919503,0.0321799809066569,2.976834433327551,-1.6239421413797854,8,14,position_exit,21.213809976462162,atr_48,True,True,False,True,False,True,False,True,False,False,1.9884528072422576,0.33202438638163206,0.33202438638163206,1.6239421413797854,0.22776208817958832,True
6,ETHUSD,short,2022-04-03 07:00:00,2022-04-03 07:00:00,2022-04-03 19:00:00,3484.3,3500.15,3484.3,3500.15,24,1.0,-0.004698722798839761,-0.004897486169263665,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,-0.7460905590078114,-0.7146694515016025,0.03142110750620881,0.5568560079523723,-1.6638045905620835,4,23,position_exit,22.178085220653045,atr_48,True,True,True,False,False,False,False,False,False,True,1.3029465669601836,-1.3398267206477266,-1.3398267206477266,1.6638045905620835,0.24705089628696442,True
7,ETHUSD,long,2022-04-04 18:00:00,2022-04-04 18:00:00,2022-04-05 06:00:00,3433.25,3519.5,3433.25,3519.5,24,1.0,0.025121968979829656,0.024916916976042813,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,3.956594383723432,3.988346243995192,0.03175186027175998,5.259992872515398,-0.10866798461899523,9,1,position_exit,21.625504588488777,atr_48,True,True,False,True,False,True,False,True,False,False,1.303398488791966,0.7522052747252748,0.7522052747252748,0.10866798461899523,0.7236170768737793,True
8,ETHUSD,short,2022-04-07 12:30:00,2022-04-07 12:30:00,2022-04-08 00:30:00,3231.05,3219.0,3231.05,3219.0,24,1.0,0.003175146101996207,0.0029748400226268235,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,0.4511543361130199,0.47671955991489545,0.025565223801875515,2.8227336597450168,-1.1235548134093487,6,21,position_exit,25.27691543042908,atr_48,True,True,False,True,False,True,False,True,False,False,2.371579323631997,0.15982887175893654,0.15982887175893654,1.1235548134093487,0.18157958984375,True
9,ETHUSD,short,2022-04-08 14:00:00,2022-04-08 14:00:00,2022-04-09 02:30:00,3284.3,3189.4,3284.3,3189.4,24,1.0,0.029138897616381998,0.028933794405149982,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,3.9991301098739,4.02700342355988,0.027873313685980408,4.701706842259589,-0.9887163305473746,18,2,position_exit,23.565909938091952,atr_48,True,True,False,True,False,True,False,True,False,False,0.7025767323856891,0.8505698555956673,0.8505698555956673,0.9887163305473746,0.21414072811603546,True
10,ETHUSD,long,2022-04-11 16:30:00,2022-04-11 16:30:00,2022-04-12 04:30:00,3019.3,3001.7,3019.3,3001.7,24,1.0,-0.0058291657006595,-0.006027781289040246,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,-0.8987534762346535,-0.8689399490948575,0.029813527139796018,1.0269290307484333,-3.4017024143542343,5,10,position_exit,20.254564217393423,atr_48,True,True,True,True,True,False,False,False,False,True,1.9256825069830867,-0.8751855769231058,-0.8751855769231058,3.4017024143542343,0.7177107930183411,True
11,ETHUSD,long,2022-04-12 19:00:00,2022-04-12 19:00:00,2022-04-13 07:00:00,2976.4,3058.3,2976.4,3058.3,24,1.0,0.027516462841015388,0.027311275531514134,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,3.6717907479310306,3.698674102260624,0.026883354329593427,4.242862416451603,-0.3928994467602979,21,3,position_exit,22.143070120707023,atr_48,True,True,False,True,False,True,False,True,False,False,0.5710716685205721,0.8654041511442241,0.8654041511442241,0.3928994467602979,0.8182138204574585,True
12,ETHUSD,short,2022-04-14 09:00:00,2022-04-14 09:00:00,2022-04-14 21:00:00,3095.0,3017.3,3095.0,3017.3,24,1.0,0.025168459252810305,0.02496330297472582,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,4.430767574020085,4.46634891220094,0.03558133818085442,6.782872221875317,-0.5748196798199421,20,2,position_exit,17.39675997720263,atr_48,True,True,False,True,False,True,False,True,False,False,2.3521046478552314,0.6532288135593205,0.6532288135593205,0.5748196798199421,0.2352234572172165,True
13,ETHUSD,short,2022-04-18 12:00:00,2022-04-18 12:00:00,2022-04-19 00:00:00,2936.1,3073.75,2936.1,3073.75,24,1.0,-0.045411589433081545,-0.045603048845413774,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,-9.450741378690196,-9.410595429918986,0.04014594877120976,2.7551543467179975,-10.774499380713625,8,24,position_exit,14.627129709813174,atr_48,True,True,True,True,True,True,True,True,True,True,12.205895725408194,-3.43020397022335,-3.43020397022335,10.774499380713625,0.22745922207832336,True
14,ETHUSD,long,2022-04-19 15:00:00,2022-04-19 15:00:00,2022-04-20 03:00:00,3119.7,3082.0,3119.7,3082.0,24,1.0,-0.012084495304035325,-0.012282257627656112,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,-2.274596826944233,-2.2375648322118646,0.0370319947323681,0.40359259573053474,-3.080361135060889,2,18,position_exit,16.848673815959483,atr_48,True,False,False,False,False,False,False,False,False,True,2.678189422674768,-5.635873529411588,-5.635873529411588,3.080361135060889,0.7939924597740173,True
