rank,feature,importance,importance_normalized,importance_type,asset,fold
1,atr_48,153619.97393846512,0.12385520469273262,gain,asset,0
2,vol_rolling_192,129629.41046524048,0.10451295333380155,gain,asset,0
3,bollinger_bandwidth,127625.04963588715,0.10289694914871365,gain,asset,0
4,ema_trend_48_192,103646.62593793869,0.08356448541253246,gain,asset,0
5,vol_rolling_96,92508.28409099579,0.07458426250256543,gain,asset,0
6,bollinger_bandwidth_rank_192,80226.23262310028,0.06468193040600999,gain,asset,0
7,atr_over_price_48,76659.75663805008,0.06180648002130253,gain,asset,0
8,atr_pct_rank_192,60551.9035949707,0.04881961780109283,gain,asset,0
9,vol_rolling_48,57884.074120521545,0.04666869590485841,gain,asset,0
10,vol_rolling_24,42919.99050426483,0.034603991089369755,gain,asset,0
11,mama_minus_fama_over_atr,39887.57343673706,0.032159122580520554,gain,asset,0
12,ret_48,38600.13756942749,0.031121134949183858,gain,asset,0
13,close_over_bb_upper_192,36146.863490104675,0.029143197084257423,gain,asset,0
14,close_over_bb_mid_192,31380.068393707275,0.025299996442724276,gain,asset,0
15,bollinger_percent_b,24534.741715431213,0.01978099188107713,gain,asset,0
16,distance_from_ema96_atr,21039.396735668182,0.016962890452979783,gain,asset,0
17,atr_pct,18166.598133563995,0.014646713397467875,gain,asset,0
18,ret_16,13718.55027103424,0.011060500847286272,gain,asset,0
19,ret_24,13623.834218978882,0.010984136584786766,gain,asset,0
20,roofing_filter_over_atr,12018.272861003876,0.00968966213891561,gain,asset,0
21,close_minus_ema48_atr,10865.073812484741,0.00875990215690302,gain,asset,0
22,rolling_return_48,9188.274858474731,0.007407992816255304,gain,asset,0
23,ema_alignment_score,7386.1977252960205,0.005955078677034405,gain,asset,0
24,close_minus_decycler_over_atr,5254.86732673645,0.004236706020057007,gain,asset,0
25,distance_from_ema24_atr,4042.6784777641296,0.003259385856756797,gain,asset,0
26,rolling_return_24,3881.794009208679,0.0031296736958056526,gain,asset,0
27,frama_slope_over_atr,3565.1736545562744,0.0028744003883705957,gain,asset,0
28,instantaneous_trendline_slope_over_atr,2585.85303401947,0.00208482887103011,gain,asset,0
29,decycler_slope_over_atr,2098.3177967071533,0.0016917564399904807,gain,asset,0
30,supersmoother_slope_over_atr,1586.6439352035522,0.001279222384504736,gain,asset,0
31,ret_4,1569.3032760620117,0.0012652415795845195,gain,asset,0
32,lag_close_ret_16,1208.8687925338745,0.0009746433872324057,gain,asset,0
33,close_ret,1190.4055528640747,0.0009597575083328948,gain,asset,0
34,lag_close_ret_24,1162.8811988830566,0.0009375661590639529,gain,asset,0
35,ret_8,1154.9629893302917,0.0009311821489654322,gain,asset,0
36,range_to_atr,1101.2489380836487,0.0008878755095912206,gain,asset,0
37,upper_wick_ratio,990.6474690437317,0.0007987037226415429,gain,asset,0
38,lag_close_ret_2,926.7879300117493,0.0007472173431323396,gain,asset,0
39,lag_close_ret_8,909.8595757484436,0.000733568956606557,gain,asset,0
40,lag_close_ret_1,904.6568322181702,0.0007293742750922643,gain,asset,0
41,lag_close_ret_48,862.432014465332,0.0006953307629641737,gain,asset,0
42,close_location,796.6692595481873,0.0006423099267890315,gain,asset,0
43,lag_close_ret_4,754.5384426116943,0.0006083422022688361,gain,asset,0
