feature,mean_importance,mean_importance_normalized,fold_count,source,rank
atr_48,1092.7,0.1009591258982164,10,feature_importances_,1
vol_rolling_192,1069.5,0.09877929306508751,10,feature_importances_,2
bollinger_bandwidth,942.9,0.0870782210672397,10,feature_importances_,3
vol_rolling_96,814.9,0.07525687273336709,10,feature_importances_,4
ema_trend_48_192,744.4,0.06878445280960363,10,feature_importances_,5
bollinger_bandwidth_rank_192,601.0,0.05551698527596569,10,feature_importances_,6
atr_over_price_48,572.8,0.052913245164926105,10,feature_importances_,7
vol_rolling_48,528.6,0.04880765559561323,10,feature_importances_,8
atr_pct_rank_192,470.6,0.04346602926388413,10,feature_importances_,9
vol_rolling_24,407.3,0.03763962636534672,10,feature_importances_,10
mama_minus_fama_over_atr,398.8,0.0368423469396073,10,feature_importances_,11
close_over_bb_upper_192,299.8,0.0276984929513651,10,feature_importances_,12
ret_48,289.8,0.026776866607328087,10,feature_importances_,13
close_over_bb_mid_192,288.4,0.026629557313746027,10,feature_importances_,14
bollinger_percent_b,235.2,0.02172191479279627,10,feature_importances_,15
ret_24,182.0,0.016802022585471133,10,feature_importances_,16
distance_from_ema96_atr,178.3,0.016478775350915333,10,feature_importances_,17
roofing_filter_over_atr,165.2,0.015258449776645113,10,feature_importances_,18
atr_pct,156.5,0.014452533607258409,10,feature_importances_,19
ret_16,140.3,0.012965634340222004,10,feature_importances_,20
