fold,train_rows_raw,train_rows,train_rows_dropped_missing,train_rows_not_labeled,train_rows_without_fit,test_rows,test_pred_rows,test_rows_missing_features,test_rows_not_candidates,test_rows_without_prediction,classification_eval_rows,regression_eval_rows,classification_accuracy,regression_rmse
0,35016,35016,,0,0,4380,4380,0,0,0,4380,4380,0.48926940639269406,2.704607392091858
1,39396,39396,,0,0,4380,4380,0,0,0,4380,4380,0.5529680365296804,2.642946343802528
2,43752,43752,,0,0,4380,4380,0,0,0,4380,4380,0.5082191780821917,2.748340111200928
3,48108,48108,,0,0,4380,4380,0,0,0,4380,4380,0.5493150684931507,2.5489358143166494
4,52464,52464,,0,0,4380,4380,0,0,0,4380,4380,0.5182648401826484,2.6602086155972664
5,56820,56820,,0,0,4380,4380,0,0,0,4380,4380,0.5187214611872146,2.57861073353742
6,61176,61176,,0,0,4380,4380,0,0,0,4380,4380,0.49931506849315066,2.6747329937471096
7,65532,65532,,0,0,4380,4380,0,0,0,4380,4380,0.5041095890410959,2.677804908267567
8,69888,69888,,0,0,4380,4380,0,0,0,4380,4380,0.5468036529680366,2.5124427478447924
9,74244,74244,,0,0,4380,4380,0,0,0,4380,4380,0.49817351598173515,2.640062917931534
