metric,value
counterfactual.baseline.avg_r,0.54377299414232
counterfactual.baseline.median_r,0.42417425275418175
counterfactual.baseline.profit_factor,1.4652883767870142
counterfactual.baseline.trade_count,311
counterfactual.baseline.win_rate,0.5691318327974276
counterfactual.best_policy_by_avg_r,trail_0_5r_after_1_0r
counterfactual.best_policy_by_profit_factor,exit_at_first_0_5r
counterfactual.breakeven_after_0_5r.avg_r,-0.05370418490544737
counterfactual.breakeven_after_0_5r.median_r,0.0
counterfactual.breakeven_after_0_5r.profit_factor,0.5377818738843888
counterfactual.breakeven_after_0_5r.trade_count,311
counterfactual.breakeven_after_0_5r.win_rate,0.01607717041800643
counterfactual.breakeven_after_1_0r.avg_r,-0.019147556189267494
counterfactual.breakeven_after_1_0r.median_r,0.0
counterfactual.breakeven_after_1_0r.profit_factor,0.9619680389003595
counterfactual.breakeven_after_1_0r.trade_count,311
counterfactual.breakeven_after_1_0r.win_rate,0.13183279742765272
counterfactual.exit_at_first_0_5r.avg_r,0.3629117103282825
counterfactual.exit_at_first_0_5r.median_r,0.5
counterfactual.exit_at_first_0_5r.profit_factor,4.123487880668597
counterfactual.exit_at_first_0_5r.trade_count,311
counterfactual.exit_at_first_0_5r.win_rate,0.9581993569131833
counterfactual.exit_at_first_1_0r.avg_r,0.3518208926538525
counterfactual.exit_at_first_1_0r.median_r,1.0
counterfactual.exit_at_first_1_0r.profit_factor,1.6988065929244804
counterfactual.exit_at_first_1_0r.trade_count,311
counterfactual.exit_at_first_1_0r.win_rate,0.8617363344051447
counterfactual.partial_50pct_at_1r.avg_r,0.4477969433980863
counterfactual.partial_50pct_at_1r.median_r,0.709788091084284
counterfactual.partial_50pct_at_1r.profit_factor,1.6224958703899464
counterfactual.partial_50pct_at_1r.trade_count,311
counterfactual.partial_50pct_at_1r.win_rate,0.6784565916398714
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.avg_r,0.499179851372445
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.median_r,0.3171387366767737
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.profit_factor,1.4255160613499054
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.trade_count,311
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.win_rate,0.5498392282958199
counterfactual.trail_0_5r_after_1_0r.avg_r,0.5789810374414042
counterfactual.trail_0_5r_after_1_0r.median_r,0.8258599972856211
counterfactual.trail_0_5r_after_1_0r.profit_factor,2.150004944534036
counterfactual.trail_0_5r_after_1_0r.trade_count,311
counterfactual.trail_0_5r_after_1_0r.win_rate,0.8617363344051447
