timestamp,asset,event_type,side,position_before,position_after,price,signal,target,target_hit_type,target_hit_step,target_exit_timestamp,take_profit,stop_loss,upper_barrier,lower_barrier,trade_r,target_entry_price,target_exit_price,target_lookup_timestamp
2022-03-17 10:30:00,ETHUSD,entry,long,0.0,1.0,2773.0,1.0,2.4482202903293184,,,,,,,,,,,2022-03-17 10:30:00
2022-03-17 22:30:00,ETHUSD,exit,long,1.0,0.0,2821.3,0.0,-1.2697166732151142,,,,,,,,,,,2022-03-17 22:30:00
2022-03-18 15:00:00,ETHUSD,entry,short,0.0,-1.0,2875.2,-1.0,3.981784768597844,,,,,,,,,,,2022-03-18 15:00:00
2022-03-19 04:00:00,ETHUSD,exit,short,-1.0,0.0,2948.35,0.0,-0.4220508226791236,,,,,,,,,,,2022-03-19 04:00:00
2022-03-24 05:30:00,ETHUSD,entry,short,0.0,-1.0,3049.5,-1.0,2.4901934517727278,,,,,,,,,,,2022-03-24 05:30:00
2022-03-24 17:30:00,ETHUSD,exit,short,-1.0,0.0,3099.45,0.0,1.3147825234719814,,,,,,,,,,,2022-03-24 17:30:00
2022-03-25 18:00:00,ETHUSD,entry,short,0.0,-1.0,3125.0,-1.0,-0.24281646211489002,,,,,,,,,,,2022-03-25 18:00:00
2022-03-26 07:00:00,ETHUSD,exit,short,-1.0,0.0,3120.15,0.0,0.9349998704888897,,,,,,,,,,,2022-03-26 07:00:00
2022-03-28 13:30:00,ETHUSD,entry,long,0.0,1.0,3380.3,1.0,0.6361814601860467,,,,,,,,,,,2022-03-28 13:30:00
2022-03-29 01:30:00,ETHUSD,exit,long,1.0,0.0,3390.8500000000004,-1.0,2.7030864083070765,,,,,,,,,,,2022-03-29 01:30:00
2022-03-29 01:30:00,ETHUSD,entry,short,0.0,-1.0,3390.8500000000004,-1.0,2.7030864083070765,,,,,,,,,,,2022-03-29 01:30:00
2022-03-29 13:30:00,ETHUSD,exit,short,-1.0,0.0,3445.45,0.0,-4.0,,,,,,,,,,,2022-03-29 13:30:00
2022-03-30 11:00:00,ETHUSD,entry,short,0.0,-1.0,3413.3,-1.0,-1.0205616069920147,,,,,,,,,,,2022-03-30 11:00:00
2022-03-30 23:00:00,ETHUSD,exit,short,-1.0,0.0,3391.65,0.0,0.6426629739421885,,,,,,,,,,,2022-03-30 23:00:00
2022-04-02 12:30:00,ETHUSD,entry,short,0.0,-1.0,3508.8,-1.0,-1.8315819478747581,,,,,,,,,,,2022-04-02 12:30:00
2022-04-03 00:30:00,ETHUSD,exit,short,-1.0,0.0,3467.65,0.0,1.1541409382127041,,,,,,,,,,,2022-04-03 00:30:00
2022-04-04 01:00:00,ETHUSD,entry,short,0.0,-1.0,3487.8,-1.0,-1.1376866378466868,,,,,,,,,,,2022-04-04 01:00:00
2022-04-04 13:00:00,ETHUSD,exit,short,-1.0,0.0,3462.7,0.0,2.304403398062412,,,,,,,,,,,2022-04-04 13:00:00
2022-04-07 11:00:00,ETHUSD,entry,short,0.0,-1.0,3229.0,-1.0,0.41245349799609493,,,,,,,,,,,2022-04-07 11:00:00
2022-04-07 23:30:00,ETHUSD,exit,short,-1.0,0.0,3228.0,0.0,1.234853937169155,,,,,,,,,,,2022-04-07 23:30:00
2022-04-08 12:30:00,ETHUSD,entry,short,0.0,-1.0,3237.2,-1.0,-1.3001303448674244,,,,,,,,,,,2022-04-08 12:30:00
2022-04-09 01:00:00,ETHUSD,exit,short,-1.0,0.0,3207.7,0.0,0.8815173902000881,,,,,,,,,,,2022-04-09 01:00:00
2022-04-11 13:30:00,ETHUSD,entry,short,0.0,-1.0,3047.9,-1.0,-3.97227654643327,,,,,,,,,,,2022-04-11 13:30:00
2022-04-12 01:30:00,ETHUSD,exit,short,-1.0,0.0,2972.8,0.0,3.4611058530718775,,,,,,,,,,,2022-04-12 01:30:00
2022-04-12 18:00:00,ETHUSD,entry,long,0.0,1.0,3011.0,1.0,2.0707350047392215,,,,,,,,,,,2022-04-12 18:00:00
