rank,feature,mean_abs_shap,asset,fold
1,bollinger_bandwidth,0.333340787271003,asset,0
2,atr_over_price_48,0.24646437551496483,asset,0
3,ema_trend_48_192,0.23677416148929495,asset,0
4,vol_rolling_192,0.2285527997239851,asset,0
5,vol_rolling_96,0.21128597606890687,asset,0
6,atr_48,0.19619609273551855,asset,0
7,bollinger_bandwidth_rank_192,0.13459036580864284,asset,0
8,atr_pct_rank_192,0.13184600111880285,asset,0
9,ret_48,0.11927581461922702,asset,0
10,bollinger_percent_b,0.10978283907135879,asset,0
11,vol_rolling_48,0.10377671359352064,asset,0
12,mama_minus_fama_over_atr,0.09463700431265179,asset,0
13,vol_rolling_24,0.08267186920919702,asset,0
14,close_range_pos_96,0.0813972142064685,asset,0
15,close_over_bb_mid_192,0.07661462514899886,asset,0
16,close_over_bb_upper_192,0.07128970723672415,asset,0
17,frama_slope_over_atr,0.061651580083058447,asset,0
18,ret_16,0.05884000026483366,asset,0
19,atr_pct,0.05573939431209033,asset,0
20,close_minus_decycler_over_atr,0.049745718628923304,asset,0
21,distance_from_ema96_atr,0.04940874958717804,asset,0
22,ret_24,0.036930022068217036,asset,0
23,roofing_filter_over_atr,0.03354509471552793,asset,0
24,instantaneous_trendline_slope_over_atr,0.02825326310730964,asset,0
25,rolling_return_48,0.027431461298202186,asset,0
26,range_to_atr,0.018889087375026814,asset,0
27,decycler_slope_over_atr,0.01883457483987653,asset,0
28,ema_alignment_score,0.016959266098042634,asset,0
29,lag_close_ret_1,0.016563052766922506,asset,0
30,supersmoother_slope_over_atr,0.014619844875216335,asset,0
31,rolling_return_24,0.01389499277545886,asset,0
32,distance_from_ema24_atr,0.012466544313078929,asset,0
33,lag_close_ret_4,0.012402675341272039,asset,0
34,close_location,0.01194473447614946,asset,0
35,lag_close_ret_2,0.011557319343546582,asset,0
36,ret_4,0.011282831779062481,asset,0
37,close_ret,0.01126744093620067,asset,0
38,lower_wick_ratio,0.009995714385335345,asset,0
39,upper_wick_ratio,0.008354128271264067,asset,0
40,lag_close_ret_24,0.00788742557506613,asset,0
41,lag_close_ret_48,0.006601204175380704,asset,0
42,lag_close_ret_16,0.006126408117450284,asset,0
43,lag_close_ret_8,0.005490439280367192,asset,0
44,ret_1,0.003962339020217029,asset,0
45,dominant_cycle_phase_normalized,0.0032047232830412363,asset,0
46,ret_8,0.0028412314437696855,asset,0
47,body_ratio,0.0024168551147018113,asset,0
1,bollinger_bandwidth,0.32937755294419857,asset,1
2,ema_trend_48_192,0.2243285257180938,asset,1
3,atr_48,0.19913519327748744,asset,1
4,vol_rolling_192,0.1966200797885133,asset,1
5,atr_over_price_48,0.17744673304331487,asset,1
6,vol_rolling_96,0.157939471405094,asset,1
7,bollinger_bandwidth_rank_192,0.13762484202024616,asset,1
8,vol_rolling_48,0.12108624776920421,asset,1
9,atr_pct_rank_192,0.11286791293451941,asset,1
10,ret_48,0.10574387869186372,asset,1
11,close_over_bb_mid_192,0.10090320014106884,asset,1
12,mama_minus_fama_over_atr,0.09564193304732876,asset,1
13,close_over_bb_upper_192,0.08113828579695678,asset,1
14,vol_rolling_24,0.06739647168442386,asset,1
15,bollinger_percent_b,0.06515033729866071,asset,1
16,ret_24,0.06458872489459053,asset,1
17,close_range_pos_96,0.058099410040836845,asset,1
18,frama_slope_over_atr,0.05350808089012345,asset,1
19,close_minus_decycler_over_atr,0.04991636744776927,asset,1
20,atr_pct,0.04919234083540389,asset,1
21,distance_from_ema96_atr,0.045090246478628165,asset,1
22,roofing_filter_over_atr,0.03389416184267674,asset,1
23,ret_16,0.033779714128854346,asset,1
24,rolling_return_48,0.03141950285580414,asset,1
25,ema_alignment_score,0.02746906035771777,asset,1
26,distance_from_ema24_atr,0.01654755354935578,asset,1
27,rolling_return_24,0.015021194676749706,asset,1
28,instantaneous_trendline_slope_over_atr,0.014794125880158509,asset,1
29,ret_4,0.013487735601345132,asset,1
30,lag_close_ret_2,0.009858179088257476,asset,1
31,range_to_atr,0.009570174666614388,asset,1
32,lag_close_ret_1,0.009487003608324213,asset,1
33,decycler_slope_over_atr,0.009054663313818143,asset,1
34,close_ret,0.008984392417817108,asset,1
35,lag_close_ret_4,0.00797369487670397,asset,1
36,lag_close_ret_8,0.007899746178267933,asset,1
37,close_location,0.00740009601128822,asset,1
38,lag_close_ret_24,0.006913457866951872,asset,1
39,upper_wick_ratio,0.0066179469784432374,asset,1
40,supersmoother_slope_over_atr,0.005459195152306005,asset,1
41,lag_close_ret_16,0.005188508228461447,asset,1
42,ret_8,0.004820562519820127,asset,1
43,lag_close_ret_48,0.0038198777078611162,asset,1
44,body_ratio,0.0032343788664188655,asset,1
45,ret_1,0.003129556499792239,asset,1
46,dominant_cycle_phase_normalized,0.0028966565694248884,asset,1
47,lower_wick_ratio,0.002830818220213616,asset,1
1,vol_rolling_192,0.3479257855424873,asset,2
2,bollinger_bandwidth,0.32541023959911614,asset,2
3,vol_rolling_96,0.2565874002316262,asset,2
4,ema_trend_48_192,0.22228930710046924,asset,2
5,bollinger_bandwidth_rank_192,0.17457370521180451,asset,2
6,atr_over_price_48,0.17218586044690742,asset,2
7,vol_rolling_24,0.14945302755501308,asset,2
8,atr_48,0.1422413517608216,asset,2
9,vol_rolling_48,0.11375898788570772,asset,2
10,ret_48,0.11183034870166163,asset,2
11,bollinger_percent_b,0.10214174943977496,asset,2
12,mama_minus_fama_over_atr,0.09432941796545004,asset,2
13,close_over_bb_mid_192,0.09304433446714157,asset,2
14,atr_pct_rank_192,0.08410342752695149,asset,2
15,close_over_bb_upper_192,0.08312708673087937,asset,2
16,atr_pct,0.06260060665293843,asset,2
17,frama_slope_over_atr,0.057589384999882254,asset,2
18,ret_16,0.04628675840474051,asset,2
19,distance_from_ema96_atr,0.04482801624994029,asset,2
20,close_range_pos_96,0.04297316064252658,asset,2
21,roofing_filter_over_atr,0.04100551728858555,asset,2
22,ret_24,0.03680487102338288,asset,2
23,close_minus_decycler_over_atr,0.033895427392768636,asset,2
24,ema_alignment_score,0.028009243607853028,asset,2
25,rolling_return_24,0.02779706046307571,asset,2
26,rolling_return_48,0.025302386606803697,asset,2
27,ret_4,0.020690392249635346,asset,2
28,distance_from_ema24_atr,0.01754458825901825,asset,2
29,close_location,0.01090156823769428,asset,2
30,instantaneous_trendline_slope_over_atr,0.01087761185435398,asset,2
31,lag_close_ret_24,0.008019748042373799,asset,2
32,lag_close_ret_1,0.00740507515767683,asset,2
33,lag_close_ret_8,0.007305339221609155,asset,2
34,decycler_slope_over_atr,0.007111938549676871,asset,2
35,range_to_atr,0.006993986721756679,asset,2
