feature,mean_importance,mean_importance_normalized,fold_count,source,rank
atr_48,1115.8,0.10298257812408126,10,feature_importances_,1
vol_rolling_192,1054.8,0.0973339280770448,10,feature_importances_,2
bollinger_bandwidth,915.9,0.08449212058411766,10,feature_importances_,3
vol_rolling_96,784.8,0.07239885059105924,10,feature_importances_,4
ema_trend_48_192,739.7,0.06828977818830692,10,feature_importances_,5
bollinger_bandwidth_rank_192,597.3,0.05512731194856966,10,feature_importances_,6
atr_over_price_48,578.5,0.0533884792924111,10,feature_importances_,7
vol_rolling_48,536.0,0.049454806849723254,10,feature_importances_,8
atr_pct_rank_192,474.2,0.043777509786065906,10,feature_importances_,9
vol_rolling_24,399.2,0.03685351774341968,10,feature_importances_,10
mama_minus_fama_over_atr,388.8,0.03587776333910565,10,feature_importances_,11
close_over_bb_upper_192,302.6,0.02793452945214179,10,feature_importances_,12
ret_48,283.4,0.026156873727342538,10,feature_importances_,13
close_over_bb_mid_192,280.9,0.0259172158058457,10,feature_importances_,14
bollinger_percent_b,247.0,0.0227890725790029,10,feature_importances_,15
close_range_pos_96,238.9,0.022058696265149058,10,feature_importances_,16
distance_from_ema96_atr,190.8,0.017612575604887028,10,feature_importances_,17
ret_24,184.7,0.01703898277206391,10,feature_importances_,18
roofing_filter_over_atr,158.7,0.014644232673280097,10,feature_importances_,19
atr_pct,150.9,0.013919092447552992,10,feature_importances_,20
