fold,train_rows_raw,train_rows,train_rows_dropped_missing,train_rows_not_labeled,train_rows_without_fit,test_rows,test_pred_rows,test_rows_missing_features,test_rows_not_candidates,test_rows_without_prediction,classification_eval_rows,regression_eval_rows,classification_accuracy,regression_rmse
0,35016,35016,,0,0,4380,4380,0,0,0,4380,4380,0.4942922374429224,2.7245652522681216
1,39396,39396,,0,0,4380,4380,0,0,0,4380,4380,0.5513698630136986,2.6577246609335297
2,43752,43752,,0,0,4380,4380,0,0,0,4380,4380,0.5116438356164383,2.744887645509524
3,48108,48108,,0,0,4380,4380,0,0,0,4380,4380,0.5415525114155251,2.5916590180274435
4,52464,52464,,0,0,4380,4380,0,0,0,4380,4380,0.5378995433789955,2.6372974823619835
5,56820,56820,,0,0,4380,4380,0,0,0,4380,4380,0.5178082191780822,2.5690145760922047
6,61176,61176,,0,0,4380,4380,0,0,0,4380,4380,0.4942922374429224,2.656099997160201
7,65532,65532,,0,0,4380,4380,0,0,0,4380,4380,0.5182648401826484,2.669633359652352
8,69888,69888,,0,0,4380,4380,0,0,0,4380,4380,0.5525114155251142,2.4988477362916828
9,74244,74244,,0,0,4380,4380,0,0,0,4380,4380,0.5166666666666667,2.6254577776297907
