metric,value
counterfactual.baseline.avg_r,0.5395529204714672
counterfactual.baseline.median_r,0.4925411772344336
counterfactual.baseline.profit_factor,1.451436783593473
counterfactual.baseline.trade_count,313
counterfactual.baseline.win_rate,0.5718849840255591
counterfactual.best_policy_by_avg_r,trail_0_5r_after_1_0r
counterfactual.best_policy_by_profit_factor,exit_at_first_0_5r
counterfactual.breakeven_after_0_5r.avg_r,-0.029164582673320824
counterfactual.breakeven_after_0_5r.median_r,0.0
counterfactual.breakeven_after_0_5r.profit_factor,0.7770425182847049
counterfactual.breakeven_after_0_5r.trade_count,313
counterfactual.breakeven_after_0_5r.win_rate,0.01597444089456869
counterfactual.breakeven_after_1_0r.avg_r,0.08513465233314242
counterfactual.breakeven_after_1_0r.median_r,0.0
counterfactual.breakeven_after_1_0r.profit_factor,1.2138958594725022
counterfactual.breakeven_after_1_0r.trade_count,313
counterfactual.breakeven_after_1_0r.win_rate,0.12460063897763578
counterfactual.exit_at_first_0_5r.avg_r,0.3516202926054107
counterfactual.exit_at_first_0_5r.median_r,0.5
counterfactual.exit_at_first_0_5r.profit_factor,3.6880677785598137
counterfactual.exit_at_first_0_5r.trade_count,313
counterfactual.exit_at_first_0_5r.win_rate,0.9648562300319489
counterfactual.exit_at_first_1_0r.avg_r,0.4805502727273803
counterfactual.exit_at_first_1_0r.median_r,1.0
counterfactual.exit_at_first_1_0r.profit_factor,2.207354594020625
counterfactual.exit_at_first_1_0r.trade_count,313
counterfactual.exit_at_first_1_0r.win_rate,0.8849840255591054
counterfactual.partial_50pct_at_1r.avg_r,0.5100515965994238
counterfactual.partial_50pct_at_1r.median_r,0.743058900493513
counterfactual.partial_50pct_at_1r.profit_factor,1.7666092695294013
counterfactual.partial_50pct_at_1r.trade_count,313
counterfactual.partial_50pct_at_1r.win_rate,0.670926517571885
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.avg_r,0.4919283496313975
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.median_r,0.377164770897996
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.profit_factor,1.408822447786633
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.trade_count,313
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.win_rate,0.5527156549520766
counterfactual.trail_0_5r_after_1_0r.avg_r,0.6506222115155949
counterfactual.trail_0_5r_after_1_0r.median_r,0.8199279261763472
counterfactual.trail_0_5r_after_1_0r.profit_factor,2.6346504426829243
counterfactual.trail_0_5r_after_1_0r.trade_count,313
counterfactual.trail_0_5r_after_1_0r.win_rate,0.8849840255591054
