trade_id,policy,counterfactual_r
0,baseline,-2.759866432337856
0,breakeven_after_0_5r,0.0
0,breakeven_after_1_0r,0.0
0,exit_at_first_0_5r,0.5
0,exit_at_first_1_0r,1.0
0,trail_0_5r_after_1_0r,0.5400258550261248
0,time_exit_after_4_bars_if_mfe_lt_0_3r,-2.759866432337856
0,partial_50pct_at_1r,-0.879933216168928
1,baseline,2.420108841612632
1,breakeven_after_0_5r,2.420108841612632
1,breakeven_after_1_0r,2.420108841612632
1,exit_at_first_0_5r,0.5
1,exit_at_first_1_0r,1.0
1,trail_0_5r_after_1_0r,1.8417759298802134
1,time_exit_after_4_bars_if_mfe_lt_0_3r,2.420108841612632
1,partial_50pct_at_1r,1.710054420806316
2,baseline,-2.5205992372830193
2,breakeven_after_0_5r,0.0
2,breakeven_after_1_0r,0.0
2,exit_at_first_0_5r,0.5
2,exit_at_first_1_0r,1.0
2,trail_0_5r_after_1_0r,0.9681921352293958
2,time_exit_after_4_bars_if_mfe_lt_0_3r,-2.5205992372830193
2,partial_50pct_at_1r,-0.7602996186415096
3,baseline,-1.712027900041869
3,breakeven_after_0_5r,0.0
3,breakeven_after_1_0r,-1.712027900041869
3,exit_at_first_0_5r,0.5
3,exit_at_first_1_0r,-1.712027900041869
3,trail_0_5r_after_1_0r,-1.712027900041869
3,time_exit_after_4_bars_if_mfe_lt_0_3r,-1.712027900041869
3,partial_50pct_at_1r,-1.712027900041869
4,baseline,0.5954139873923537
4,breakeven_after_0_5r,0.0
4,breakeven_after_1_0r,0.0
4,exit_at_first_0_5r,0.5
4,exit_at_first_1_0r,1.0
4,trail_0_5r_after_1_0r,0.549247147605368
4,time_exit_after_4_bars_if_mfe_lt_0_3r,0.5954139873923537
4,partial_50pct_at_1r,0.7977069936961769
5,baseline,0.9883816260852935
5,breakeven_after_0_5r,0.0
5,breakeven_after_1_0r,0.0
5,exit_at_first_0_5r,0.5
5,exit_at_first_1_0r,1.0
5,trail_0_5r_after_1_0r,0.7798266803617286
5,time_exit_after_4_bars_if_mfe_lt_0_3r,0.9883816260852935
5,partial_50pct_at_1r,0.9941908130426467
6,baseline,2.810488407956623
6,breakeven_after_0_5r,2.810488407956623
6,breakeven_after_1_0r,2.810488407956623
6,exit_at_first_0_5r,0.5
6,exit_at_first_1_0r,1.0
6,trail_0_5r_after_1_0r,0.5159626043202712
6,time_exit_after_4_bars_if_mfe_lt_0_3r,2.810488407956623
6,partial_50pct_at_1r,1.9052442039783115
7,baseline,1.1060689210700168
7,breakeven_after_0_5r,0.0
7,breakeven_after_1_0r,0.0
7,exit_at_first_0_5r,0.5
7,exit_at_first_1_0r,1.0
7,trail_0_5r_after_1_0r,0.6240887895856402
7,time_exit_after_4_bars_if_mfe_lt_0_3r,1.1060689210700168
7,partial_50pct_at_1r,1.0530344605350084
8,baseline,-1.0408841995078988
8,breakeven_after_0_5r,0.0
8,breakeven_after_1_0r,0.0
8,exit_at_first_0_5r,0.5
8,exit_at_first_1_0r,1.0
8,trail_0_5r_after_1_0r,0.5098302587876604
8,time_exit_after_4_bars_if_mfe_lt_0_3r,-1.0408841995078988
8,partial_50pct_at_1r,-0.020442099753949394
9,baseline,0.4622165292963629
9,breakeven_after_0_5r,0.0
9,breakeven_after_1_0r,0.0
9,exit_at_first_0_5r,0.5
9,exit_at_first_1_0r,1.0
9,trail_0_5r_after_1_0r,0.9628615082072038
9,time_exit_after_4_bars_if_mfe_lt_0_3r,0.4622165292963629
9,partial_50pct_at_1r,0.7311082646481815
10,baseline,2.0434484266243564
10,breakeven_after_0_5r,0.0
10,breakeven_after_1_0r,0.0
10,exit_at_first_0_5r,0.5
10,exit_at_first_1_0r,1.0
10,trail_0_5r_after_1_0r,0.7415347730822295
10,time_exit_after_4_bars_if_mfe_lt_0_3r,2.0434484266243564
10,partial_50pct_at_1r,1.5217242133121782
11,baseline,4.730865209002453
11,breakeven_after_0_5r,0.0
11,breakeven_after_1_0r,4.730865209002453
11,exit_at_first_0_5r,0.5
11,exit_at_first_1_0r,1.0
11,trail_0_5r_after_1_0r,0.8199279261763472
11,time_exit_after_4_bars_if_mfe_lt_0_3r,4.730865209002453
11,partial_50pct_at_1r,2.8654326045012266
12,baseline,-8.45009594099719
12,breakeven_after_0_5r,0.0
12,breakeven_after_1_0r,0.0
12,exit_at_first_0_5r,0.5
12,exit_at_first_1_0r,1.0
12,trail_0_5r_after_1_0r,1.0833029057193007
12,time_exit_after_4_bars_if_mfe_lt_0_3r,-8.45009594099719
12,partial_50pct_at_1r,-3.7250479704985953
13,baseline,3.233003699690283
13,breakeven_after_0_5r,0.0
13,breakeven_after_1_0r,0.0
13,exit_at_first_0_5r,0.5
13,exit_at_first_1_0r,1.0
13,trail_0_5r_after_1_0r,0.7215239430489941
13,time_exit_after_4_bars_if_mfe_lt_0_3r,3.233003699690283
13,partial_50pct_at_1r,2.1165018498451413
14,baseline,-2.2057124535123065
14,breakeven_after_0_5r,0.0
14,breakeven_after_1_0r,0.0
14,exit_at_first_0_5r,0.5
14,exit_at_first_1_0r,1.0
14,trail_0_5r_after_1_0r,0.5069541736556631
14,time_exit_after_4_bars_if_mfe_lt_0_3r,-2.2057124535123065
14,partial_50pct_at_1r,-0.6028562267561532
15,baseline,-8.91845777201605
15,breakeven_after_0_5r,0.0
15,breakeven_after_1_0r,0.0
15,exit_at_first_0_5r,0.5
15,exit_at_first_1_0r,1.0
15,trail_0_5r_after_1_0r,1.3180340349112174
15,time_exit_after_4_bars_if_mfe_lt_0_3r,-8.91845777201605
15,partial_50pct_at_1r,-3.9592288860080247
16,baseline,11.140196313213433
16,breakeven_after_0_5r,0.0
16,breakeven_after_1_0r,0.0
16,exit_at_first_0_5r,0.5
16,exit_at_first_1_0r,1.0
16,trail_0_5r_after_1_0r,1.0736564244930702
16,time_exit_after_4_bars_if_mfe_lt_0_3r,11.140196313213433
16,partial_50pct_at_1r,6.070098156606717
17,baseline,-0.6491183300867377
17,breakeven_after_0_5r,0.0
17,breakeven_after_1_0r,0.0
17,exit_at_first_0_5r,0.5
17,exit_at_first_1_0r,1.0
17,trail_0_5r_after_1_0r,0.6382696425844105
17,time_exit_after_4_bars_if_mfe_lt_0_3r,-0.6491183300867377
17,partial_50pct_at_1r,0.17544083495663115
18,baseline,0.3037083186988812
