rank,feature,importance,importance_normalized,importance_type,asset,fold
1,atr_48,156333.7610411644,0.12769275705885047,gain,asset,0
2,bollinger_bandwidth,132841.9959859848,0.10850478238148838,gain,asset,0
3,vol_rolling_192,120558.90071344376,0.09847200193712674,gain,asset,0
4,ema_trend_48_192,102771.10212182999,0.08394300302452064,gain,asset,0
5,vol_rolling_96,86929.04285001755,0.0710032757868781,gain,asset,0
6,bollinger_bandwidth_rank_192,76603.78727865219,0.0625696505579825,gain,asset,0
7,atr_over_price_48,73745.02824449539,0.06023462822878607,gain,asset,0
8,vol_rolling_48,61913.09176778793,0.05057035238719013,gain,asset,0
9,atr_pct_rank_192,61412.27977657318,0.050161291263729375,gain,asset,0
10,vol_rolling_24,42605.28476810455,0.034799817013832376,gain,asset,0
11,mama_minus_fama_over_atr,42222.990673065186,0.03448756080840506,gain,asset,0
12,close_over_bb_upper_192,38476.12105560303,0.03142713349822346,gain,asset,0
13,ret_48,33330.01275253296,0.027223813927542674,gain,asset,0
14,close_over_bb_mid_192,31428.572827339172,0.025670725811368988,gain,asset,0
15,bollinger_percent_b,24424.385858535767,0.019949735418470563,gain,asset,0
16,distance_from_ema96_atr,21089.96976327896,0.01722619840670101,gain,asset,0
17,atr_pct,20018.12167263031,0.016350717404186445,gain,asset,0
18,ret_24,15403.10267829895,0.012581189342298621,gain,asset,0
19,ret_16,11266.20594406128,0.00920218952713094,gain,asset,0
20,roofing_filter_over_atr,11230.590665340424,0.009173099117593056,gain,asset,0
21,rolling_return_48,10438.372748374939,0.008526018862278878,gain,asset,0
22,ema_alignment_score,6196.561809539795,0.005061325567017923,gain,asset,0
23,close_minus_decycler_over_atr,6192.156800746918,0.0050577275744033735,gain,asset,0
24,distance_from_ema24_atr,5971.030547142029,0.004877112582524121,gain,asset,0
25,frama_slope_over_atr,3993.4952034950256,0.0032618700493062536,gain,asset,0
26,rolling_return_24,3717.3686094284058,0.0030363310111687874,gain,asset,0
27,decycler_slope_over_atr,3561.715811729431,0.002909194462097521,gain,asset,0
28,instantaneous_trendline_slope_over_atr,1898.61776304245,0.001550782986024117,gain,asset,0
29,range_to_atr,1522.6944088935852,0.0012437303749029687,gain,asset,0
30,lag_close_ret_16,1451.2061653137207,0.0011853390788757214,gain,asset,0
31,lag_close_ret_24,1328.8503980636597,0.001085399403925425,gain,asset,0
32,ret_8,1255.6476745605469,0.0010256077279235413,gain,asset,0
33,ret_4,1237.7473964691162,0.001010986856229595,gain,asset,0
34,upper_wick_ratio,1072.777328968048,0.0008762400004570324,gain,asset,0
35,lag_close_ret_2,1045.3494448661804,0.0008538370203333988,gain,asset,0
36,lag_close_ret_1,983.7179274559021,0.0008034966566945635,gain,asset,0
37,close_ret_over_vol_48,970.1019792556763,0.000792375207596953,gain,asset,0
38,supersmoother_slope_over_atr,966.6950960159302,0.0007895924797270195,gain,asset,0
39,close_location,950.663948059082,0.000776498305648464,gain,asset,0
40,lag_close_ret_8,927.9957165718079,0.0007579829897181059,gain,asset,0
41,lower_wick_ratio,800.5559225082397,0.000653890703096125,gain,asset,0
42,close_ret,746.6379523277283,0.0006098507323213317,gain,asset,0
43,lag_close_ret_48,670.4231519699097,0.0005475988046406745,gain,asset,0
44,lag_close_ret_4,667.9974436759949,0.0005456174963307635,gain,asset,0
45,body_ratio,460.53493785858154,0.00037616299605050844,gain,asset,0
46,dominant_cycle_phase_normalized,414.15185260772705,0.0003382774875261035,gain,asset,0
47,ret_1,248.81333208084106,0.00020322968087511245,gain,asset,0
1,atr_48,1152.0,0.11047180667433831,split,asset,0
2,vol_rolling_192,966.0,0.09263521288837745,split,asset,0
3,bollinger_bandwidth,871.0,0.08352512466436517,split,asset,0
4,ema_trend_48_192,737.0,0.07067510548523206,split,asset,0
5,vol_rolling_96,677.0,0.06492136555427695,split,asset,0
6,bollinger_bandwidth_rank_192,572.0,0.05485232067510549,split,asset,0
7,atr_over_price_48,546.0,0.0523590333716916,split,asset,0
8,vol_rolling_48,509.0,0.048810893747602606,split,asset,0
9,atr_pct_rank_192,448.0,0.04296125815113157,split,asset,0
10,vol_rolling_24,420.0,0.04027617951668585,split,asset,0
11,mama_minus_fama_over_atr,404.0,0.03874184886843115,split,asset,0
12,close_over_bb_upper_192,309.0,0.029631760644418872,split,asset,0
13,ret_48,278.0,0.026658995013425394,split,asset,0
14,close_over_bb_mid_192,275.0,0.026371308016877638,split,asset,0
15,bollinger_percent_b,205.0,0.01965861143076333,split,asset,0
16,distance_from_ema96_atr,197.0,0.01889144610663598,split,asset,0
17,atr_pct,166.0,0.015918680475642502,split,asset,0
18,ret_24,161.0,0.015439202148062908,split,asset,0
19,roofing_filter_over_atr,155.0,0.014863828154967396,split,asset,0
20,ret_16,151.0,0.01448024549290372,split,asset,0
21,rolling_return_48,93.0,0.008918296892980437,split,asset,0
22,frama_slope_over_atr,83.0,0.007959340237821251,split,asset,0
23,close_minus_decycler_over_atr,80.0,0.007671653241273495,split,asset,0
24,distance_from_ema24_atr,63.0,0.0060414269275028765,split,asset,0
25,ret_4,62.0,0.005945531261986959,split,asset,0
26,lag_close_ret_16,60.0,0.005753739930955121,split,asset,0
27,lag_close_ret_1,53.0,0.00508247027234369,split,asset,0
28,lag_close_ret_2,52.0,0.004986574606827772,split,asset,0
29,range_to_atr,49.0,0.0046988876102800154,split,asset,0
30,upper_wick_ratio,46.0,0.004411200613732259,split,asset,0
31,lag_close_ret_4,45.0,0.00431530494821634,split,asset,0
32,close_ret_over_vol_48,45.0,0.00431530494821634,split,asset,0
33,close_location,44.0,0.004219409282700422,split,asset,0
34,decycler_slope_over_atr,43.0,0.004123513617184504,split,asset,0
35,lag_close_ret_24,43.0,0.004123513617184504,split,asset,0
36,rolling_return_24,41.0,0.003931722286152666,split,asset,0
37,supersmoother_slope_over_atr,38.0,0.00364403528960491,split,asset,0
38,ema_alignment_score,37.0,0.003548139624088991,split,asset,0
39,lag_close_ret_8,37.0,0.003548139624088991,split,asset,0
40,instantaneous_trendline_slope_over_atr,34.0,0.003260452627541235,split,asset,0
41,lower_wick_ratio,34.0,0.003260452627541235,split,asset,0
42,lag_close_ret_48,33.0,0.0031645569620253164,split,asset,0
43,close_ret,33.0,0.0031645569620253164,split,asset,0
44,ret_8,28.0,0.002685078634445723,split,asset,0
45,body_ratio,22.0,0.002109704641350211,split,asset,0
46,dominant_cycle_phase_normalized,19.0,0.001822017644802455,split,asset,0
47,ret_1,12.0,0.0011507479861910242,split,asset,0
1,atr_48,166030.33122587204,0.12478427995468157,gain,asset,1
2,vol_rolling_192,139995.9172077179,0.10521745994468089,gain,asset,1
3,bollinger_bandwidth,139628.22262191772,0.10494110981158448,gain,asset,1
4,ema_trend_48_192,104863.21164274216,0.07881258961516736,gain,asset,1
5,vol_rolling_96,101571.73680448532,0.07633879874425673,gain,asset,1
6,bollinger_bandwidth_rank_192,85943.24039268494,0.06459280837537802,gain,asset,1
7,atr_over_price_48,83904.33546590805,0.06306041799040804,gain,asset,1
8,atr_pct_rank_192,67435.15628194809,0.05068259129608393,gain,asset,1
9,vol_rolling_48,63591.59774875641,0.047793868009882,gain,asset,1
10,vol_rolling_24,48425.61190414429,0.03639548911459303,gain,asset,1
11,mama_minus_fama_over_atr,41588.405418395996,0.031256814259666095,gain,asset,1
12,close_over_bb_upper_192,39139.09870862961,0.029415976071187296,gain,asset,1
13,close_over_bb_mid_192,36435.36110782623,0.027383913934036816,gain,asset,1
14,ret_48,33117.16085767746,0.024890036906248674,gain,asset,1
15,bollinger_percent_b,28805.35893726349,0.02164939350107411,gain,asset,1
16,atr_pct,21784.153232097626,0.016372429395395696,gain,asset,1
17,distance_from_ema96_atr,19888.634824752808,0.014947804762926675,gain,asset,1
18,ret_24,17697.732162475586,0.01330117664898808,gain,asset,1
19,roofing_filter_over_atr,12201.417284965515,0.009170282677203824,gain,asset,1
20,rolling_return_48,11498.435480594635,0.008641938984626804,gain,asset,1
21,ret_16,9118.416946411133,0.006853176070802019,gain,asset,1
22,distance_from_ema24_atr,7547.658053398132,0.005672632636359379,gain,asset,1
23,close_minus_decycler_over_atr,7386.638798713684,0.005551614557275361,gain,asset,1
24,ema_alignment_score,6320.855469226837,0.004750598234680713,gain,asset,1
25,rolling_return_24,4343.7988958358765,0.003264691538484123,gain,asset,1
26,frama_slope_over_atr,4295.747657775879,0.0032285774194675764,gain,asset,1
27,decycler_slope_over_atr,3881.379186630249,0.002917148351501154,gain,asset,1
28,instantaneous_trendline_slope_over_atr,3847.076316833496,0.0028913671651578966,gain,asset,1
29,ret_8,1700.3059120178223,0.0012779077615956114,gain,asset,1
30,supersmoother_slope_over_atr,1544.7915992736816,0.0011610270603698537,gain,asset,1
31,lag_close_ret_16,1534.2672848701477,0.001153117246631814,gain,asset,1
32,lag_close_ret_24,1496.2737369537354,0.0011245622381302444,gain,asset,1
33,ret_4,1425.1409525871277,0.0010711006012544902,gain,asset,1
34,lag_close_ret_2,1342.3113837242126,0.001008847951192289,gain,asset,1
35,range_to_atr,1337.5521693229675,0.0010052710436608489,gain,asset,1
36,upper_wick_ratio,1171.922378540039,0.0008807877999710258,gain,asset,1
37,lag_close_ret_8,1097.5570912361145,0.0008248966940428023,gain,asset,1
38,lag_close_ret_4,1021.0348234176636,0.0007673844550457344,gain,asset,1
39,lag_close_ret_1,939.5416707992554,0.0007061362222942694,gain,asset,1
40,lag_close_ret_48,928.8713703155518,0.0006981166890383388,gain,asset,1
41,body_ratio,781.2774691581726,0.0005871887727615804,gain,asset,1
42,close_location,777.6160984039307,0.000584436977292392,gain,asset,1
43,dominant_cycle_phase_normalized,760.4989042282104,0.0005715721185988567,gain,asset,1
44,close_ret_over_vol_48,749.9224848747253,0.0005636231440724615,gain,asset,1
45,lower_wick_ratio,633.5269193649292,0.0004761431232544666,gain,asset,1
46,close_ret,628.3544626235962,0.00047225563302723874,gain,asset,1
