rank,feature,mean_abs_shap,asset,fold
1,bollinger_bandwidth,0.3567645570215924,asset,0
2,vol_rolling_192,0.250368627162629,asset,0
3,ema_trend_48_192,0.24059523652524262,asset,0
4,atr_over_price_48,0.22466377418676464,asset,0
5,vol_rolling_96,0.19184507087660635,asset,0
6,atr_48,0.18897737751641078,asset,0
7,bollinger_bandwidth_rank_192,0.1362926573630328,asset,0
8,ret_48,0.12142223082384804,asset,0
9,atr_pct_rank_192,0.11738107154445335,asset,0
10,vol_rolling_48,0.11387989822415491,asset,0
11,mama_minus_fama_over_atr,0.10947969257643632,asset,0
12,bollinger_percent_b,0.10442304739578562,asset,0
13,atr_pct,0.09614870258415717,asset,0
14,close_over_bb_mid_192,0.09157210498028297,asset,0
15,vol_rolling_24,0.09109223130055585,asset,0
16,close_over_bb_upper_192,0.08177966795726192,asset,0
17,frama_slope_over_atr,0.06705482186026768,asset,0
18,ret_16,0.057986394600585,asset,0
19,distance_from_ema96_atr,0.04712054365481974,asset,0
20,close_minus_decycler_over_atr,0.04450501738050765,asset,0
21,roofing_filter_over_atr,0.03997678448560246,asset,0
22,rolling_return_48,0.03316576451996171,asset,0
23,ret_24,0.032196411226041804,asset,0
24,lag_close_ret_1,0.018224800464822635,asset,0
25,ema_alignment_score,0.01728682699392703,asset,0
26,close_location,0.016586596462358782,asset,0
27,instantaneous_trendline_slope_over_atr,0.016325301582600017,asset,0
28,rolling_return_24,0.01571033596611634,asset,0
29,lag_close_ret_2,0.015176403594500903,asset,0
30,decycler_slope_over_atr,0.014630789966140988,asset,0
31,lag_close_ret_4,0.013189294129281296,asset,0
32,close_ret_over_vol_48,0.01314857248347746,asset,0
33,close_ret,0.012945952004714014,asset,0
34,distance_from_ema24_atr,0.012751884876081712,asset,0
35,ret_4,0.012382126288832023,asset,0
36,upper_wick_ratio,0.011838142795464301,asset,0
37,range_to_atr,0.01147834847411597,asset,0
38,supersmoother_slope_over_atr,0.010190900296953123,asset,0
39,lag_close_ret_24,0.009644001282613395,asset,0
40,lower_wick_ratio,0.007571170452834346,asset,0
41,lag_close_ret_16,0.007345000346385819,asset,0
42,lag_close_ret_48,0.006097578918673431,asset,0
43,ret_1,0.005209868001156669,asset,0
44,lag_close_ret_8,0.004747018215327813,asset,0
45,ret_8,0.004350640906083373,asset,0
46,dominant_cycle_phase_normalized,0.0030902925679732875,asset,0
47,body_ratio,0.0030889398089958375,asset,0
1,bollinger_bandwidth,0.3163418115359048,asset,1
2,ema_trend_48_192,0.2139601730783692,asset,1
3,atr_48,0.20872376365706194,asset,1
4,vol_rolling_192,0.20702134450762538,asset,1
5,atr_over_price_48,0.1845606682293455,asset,1
6,vol_rolling_96,0.15546777266510953,asset,1
7,bollinger_bandwidth_rank_192,0.1305633141766253,asset,1
8,ret_48,0.12226483329446439,asset,1
9,vol_rolling_48,0.11436934370098167,asset,1
10,atr_pct_rank_192,0.1139327296688095,asset,1
11,close_over_bb_mid_192,0.10453247379423285,asset,1
12,mama_minus_fama_over_atr,0.09162357605977103,asset,1
13,close_over_bb_upper_192,0.07862250319892229,asset,1
14,bollinger_percent_b,0.07614325489559465,asset,1
15,vol_rolling_24,0.07448070943010117,asset,1
16,frama_slope_over_atr,0.06056767300631509,asset,1
17,ret_24,0.05972419554394472,asset,1
18,ema_alignment_score,0.04503455104548479,asset,1
19,rolling_return_48,0.04404473159684098,asset,1
20,atr_pct,0.04147379136431879,asset,1
21,close_minus_decycler_over_atr,0.03827229974719906,asset,1
22,ret_16,0.03695539186050838,asset,1
23,distance_from_ema96_atr,0.03162557464697645,asset,1
24,roofing_filter_over_atr,0.029933301865943632,asset,1
25,distance_from_ema24_atr,0.0206320349373197,asset,1
26,ret_4,0.019034738495831757,asset,1
27,instantaneous_trendline_slope_over_atr,0.014561223126292695,asset,1
28,range_to_atr,0.013995433835757026,asset,1
29,rolling_return_24,0.01280767639328268,asset,1
30,lag_close_ret_2,0.010964061863164318,asset,1
31,lag_close_ret_8,0.010378764047928441,asset,1
32,close_ret_over_vol_48,0.010051622800210635,asset,1
33,lag_close_ret_1,0.009806011146917861,asset,1
34,close_ret,0.0095730740207926,asset,1
35,close_location,0.00928969032292944,asset,1
36,decycler_slope_over_atr,0.008767786120636292,asset,1
37,lag_close_ret_24,0.008690744412710566,asset,1
38,lag_close_ret_4,0.00806506572545102,asset,1
39,lag_close_ret_16,0.00787569837595235,asset,1
40,ret_8,0.007643669461502498,asset,1
41,supersmoother_slope_over_atr,0.0069094182186014395,asset,1
42,upper_wick_ratio,0.006617916824488966,asset,1
43,ret_1,0.006078723697293521,asset,1
44,lag_close_ret_48,0.005882787894696027,asset,1
45,body_ratio,0.003383853314673196,asset,1
46,lower_wick_ratio,0.0029120714590230644,asset,1
47,dominant_cycle_phase_normalized,0.002569772257859137,asset,1
1,vol_rolling_192,0.41487588043450047,asset,2
2,bollinger_bandwidth,0.34884808159987307,asset,2
3,vol_rolling_96,0.23081492584290406,asset,2
4,ema_trend_48_192,0.22829520356375216,asset,2
5,atr_48,0.17924723801609466,asset,2
6,bollinger_bandwidth_rank_192,0.17509043466209973,asset,2
7,atr_over_price_48,0.17211283216894052,asset,2
8,vol_rolling_24,0.14836454523530287,asset,2
9,vol_rolling_48,0.13431589183583767,asset,2
10,ret_48,0.09840333506629075,asset,2
11,close_over_bb_mid_192,0.09532288968264803,asset,2
12,atr_pct_rank_192,0.09287432726027936,asset,2
13,bollinger_percent_b,0.09286255368821951,asset,2
14,mama_minus_fama_over_atr,0.08872596886354862,asset,2
15,close_over_bb_upper_192,0.07787609307021506,asset,2
16,atr_pct,0.07053290632224535,asset,2
17,frama_slope_over_atr,0.06710051571630932,asset,2
18,ret_24,0.051694463171495605,asset,2
19,rolling_return_48,0.04107535363589901,asset,2
20,distance_from_ema96_atr,0.040823450743717585,asset,2
21,ema_alignment_score,0.03895256527235548,asset,2
22,close_minus_decycler_over_atr,0.03724672347623108,asset,2
23,ret_16,0.037132726032643414,asset,2
24,roofing_filter_over_atr,0.03668220891340061,asset,2
25,ret_4,0.02688105951534934,asset,2
26,rolling_return_24,0.01701167516535044,asset,2
27,instantaneous_trendline_slope_over_atr,0.014727504166895986,asset,2
28,distance_from_ema24_atr,0.013657273172079536,asset,2
29,close_location,0.011290947963745168,asset,2
30,decycler_slope_over_atr,0.008613800503563496,asset,2
31,close_ret,0.008297718447455318,asset,2
32,lag_close_ret_1,0.007863923791865393,asset,2
33,lag_close_ret_2,0.007757887844001158,asset,2
34,lag_close_ret_16,0.007610860578190507,asset,2
35,lag_close_ret_24,0.007525670261682794,asset,2
36,ret_8,0.007300725011440476,asset,2
37,range_to_atr,0.006961293309853377,asset,2
38,lag_close_ret_8,0.0066672174588041765,asset,2
39,supersmoother_slope_over_atr,0.006231346326883459,asset,2
40,close_ret_over_vol_48,0.004983457573177159,asset,2
41,lag_close_ret_4,0.004275272624425893,asset,2
42,upper_wick_ratio,0.004229242411986534,asset,2
43,lower_wick_ratio,0.0036370022205207205,asset,2
44,lag_close_ret_48,0.002958823354141668,asset,2
45,ret_1,0.0029056574300554416,asset,2
