feature,mean_importance,mean_importance_normalized,fold_count,source,rank
atr_48,1115.2,0.10292579872203271,10,feature_importances_,1
vol_rolling_192,1081.6,0.09975225055335007,10,feature_importances_,2
bollinger_bandwidth,932.1,0.08598523388728825,10,feature_importances_,3
vol_rolling_96,793.6,0.07317833735964126,10,feature_importances_,4
ema_trend_48_192,752.4,0.06942144982230228,10,feature_importances_,5
bollinger_bandwidth_rank_192,600.0,0.055355495835080204,10,feature_importances_,6
atr_over_price_48,579.7,0.053480546755417815,10,feature_importances_,7
vol_rolling_48,544.4,0.05021811560922287,10,feature_importances_,8
atr_pct_rank_192,484.5,0.044697045901644264,10,feature_importances_,9
mama_minus_fama_over_atr,411.6,0.03797699893392281,10,feature_importances_,10
vol_rolling_24,404.8,0.037359577322341936,10,feature_importances_,11
close_over_bb_mid_192,298.3,0.02751506798499097,10,feature_importances_,12
close_over_bb_upper_192,296.5,0.027371901594281427,10,feature_importances_,13
ret_48,289.8,0.026738428832058042,10,feature_importances_,14
bollinger_percent_b,243.1,0.022418188330194055,10,feature_importances_,15
distance_from_ema96_atr,193.2,0.017830238080354402,10,feature_importances_,16
ret_24,184.9,0.017051849816863206,10,feature_importances_,17
roofing_filter_over_atr,168.7,0.01556113689982167,10,feature_importances_,18
atr_pct,155.7,0.014369629695340077,10,feature_importances_,19
ret_16,144.2,0.013309168305818736,10,feature_importances_,20
