fold,train_rows_raw,train_rows,train_rows_dropped_missing,train_rows_not_labeled,train_rows_without_fit,test_rows,test_pred_rows,test_rows_missing_features,test_rows_not_candidates,test_rows_without_prediction,classification_eval_rows,regression_eval_rows,classification_accuracy,regression_rmse
0,35016,35016,,0,0,4380,4380,0,0,0,4380,4380,0.48812785388127855,2.7170836475642797
1,39396,39396,,0,0,4380,4380,0,0,0,4380,4380,0.5611872146118722,2.639799799661442
2,43752,43752,,0,0,4380,4380,0,0,0,4380,4380,0.5207762557077625,2.745082092805978
3,48108,48108,,0,0,4380,4380,0,0,0,4380,4380,0.5349315068493151,2.567071637753633
4,52464,52464,,0,0,4380,4380,0,0,0,4380,4380,0.519406392694064,2.679752891471108
5,56820,56820,,0,0,4380,4380,0,0,0,4380,4380,0.5196347031963471,2.5781890534826633
6,61176,61176,,0,0,4380,4380,0,0,0,4380,4380,0.5100456621004567,2.6349870842384426
7,65532,65532,,0,0,4380,4380,0,0,0,4380,4380,0.5292237442922374,2.6722757856962454
8,69888,69888,,0,0,4380,4380,0,0,0,4380,4380,0.5506849315068493,2.5068341177581823
9,74244,74244,,0,0,4380,4380,0,0,0,4380,4380,0.5059360730593607,2.646815188369564
