metric,value
counterfactual.baseline.avg_r,0.5813041873522228
counterfactual.baseline.median_r,0.6080387371737236
counterfactual.baseline.profit_factor,1.4640146881940455
counterfactual.baseline.trade_count,310
counterfactual.baseline.win_rate,0.5903225806451613
counterfactual.best_policy_by_avg_r,baseline
counterfactual.best_policy_by_profit_factor,exit_at_first_0_5r
counterfactual.breakeven_after_0_5r.avg_r,-0.14460139785776152
counterfactual.breakeven_after_0_5r.median_r,0.0
counterfactual.breakeven_after_0_5r.profit_factor,0.1257470436381623
counterfactual.breakeven_after_0_5r.trade_count,310
counterfactual.breakeven_after_0_5r.win_rate,0.0064516129032258064
counterfactual.breakeven_after_1_0r.avg_r,-0.08830309628110282
counterfactual.breakeven_after_1_0r.median_r,0.0
counterfactual.breakeven_after_1_0r.profit_factor,0.8346106304065188
counterfactual.breakeven_after_1_0r.trade_count,310
counterfactual.breakeven_after_1_0r.win_rate,0.12580645161290321
counterfactual.exit_at_first_0_5r.avg_r,0.31524520832989633
counterfactual.exit_at_first_0_5r.median_r,0.5
counterfactual.exit_at_first_0_5r.profit_factor,2.9059570615798314
counterfactual.exit_at_first_0_5r.trade_count,310
counterfactual.exit_at_first_0_5r.win_rate,0.9612903225806452
counterfactual.exit_at_first_1_0r.avg_r,0.32300691807589127
counterfactual.exit_at_first_1_0r.median_r,1.0
counterfactual.exit_at_first_1_0r.profit_factor,1.6049834355167165
counterfactual.exit_at_first_1_0r.trade_count,310
counterfactual.exit_at_first_1_0r.win_rate,0.8612903225806452
counterfactual.partial_50pct_at_1r.avg_r,0.45215555271405705
counterfactual.partial_50pct_at_1r.median_r,0.8040193685868618
counterfactual.partial_50pct_at_1r.profit_factor,1.575782019785755
counterfactual.partial_50pct_at_1r.trade_count,310
counterfactual.partial_50pct_at_1r.win_rate,0.6935483870967742
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.avg_r,0.5709318175989211
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.median_r,0.5370861129971596
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.profit_factor,1.461838458291037
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.trade_count,310
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.win_rate,0.5741935483870968
counterfactual.trail_0_5r_after_1_0r.avg_r,0.5062783832592912
counterfactual.trail_0_5r_after_1_0r.median_r,0.8196775421718964
counterfactual.trail_0_5r_after_1_0r.profit_factor,1.9482460544702367
counterfactual.trail_0_5r_after_1_0r.trade_count,310
counterfactual.trail_0_5r_after_1_0r.win_rate,0.8612903225806452
