rank,feature,mean_abs_shap,asset,fold
1,bollinger_bandwidth,0.37326534585904025,asset,0
2,atr_over_price_48,0.24036661753566096,asset,0
3,ema_trend_48_192,0.2329306856933864,asset,0
4,vol_rolling_192,0.2271296199360491,asset,0
5,vol_rolling_96,0.18162331412720753,asset,0
6,atr_48,0.1778663261200929,asset,0
7,bollinger_bandwidth_rank_192,0.14494248247350697,asset,0
8,atr_pct_rank_192,0.12168222514014644,asset,0
9,vol_rolling_48,0.11165793344767769,asset,0
10,ret_48,0.11038896620067248,asset,0
11,bollinger_percent_b,0.10800210120631602,asset,0
12,mama_minus_fama_over_atr,0.10325123901874303,asset,0
13,close_over_bb_mid_192,0.09958261194591671,asset,0
14,vol_rolling_24,0.09371292959275804,asset,0
15,close_over_bb_upper_192,0.0811820872071552,asset,0
16,atr_pct,0.07946549142218744,asset,0
17,frama_slope_over_atr,0.07580832602430441,asset,0
18,ret_16,0.06423857693727261,asset,0
19,close_minus_decycler_over_atr,0.04336751290926559,asset,0
20,distance_from_ema96_atr,0.04124663523525227,asset,0
21,ret_24,0.037539136114225,asset,0
22,roofing_filter_over_atr,0.03151054812069466,asset,0
23,rolling_return_48,0.03101299096816312,asset,0
24,instantaneous_trendline_slope_over_atr,0.027976041352079734,asset,0
25,close_ret_robust_z_192,0.02145381023683014,asset,0
26,distance_from_ema24_atr,0.019920607974284993,asset,0
27,ema_alignment_score,0.01726763136275522,asset,0
28,lag_close_ret_1,0.01519448081354177,asset,0
29,close_ret,0.014355550114816268,asset,0
30,lag_close_ret_2,0.013934054672397677,asset,0
31,supersmoother_slope_over_atr,0.013875804232467169,asset,0
32,lag_close_ret_4,0.01350824039108782,asset,0
33,decycler_slope_over_atr,0.013438710389721933,asset,0
34,close_location,0.012522571266415707,asset,0
35,ret_4,0.012507635067966838,asset,0
36,range_to_atr,0.01238795252158896,asset,0
37,upper_wick_ratio,0.012239657405729886,asset,0
38,lower_wick_ratio,0.010582799692757897,asset,0
39,rolling_return_24,0.009920141471462142,asset,0
40,lag_close_ret_24,0.009307354888925918,asset,0
41,lag_close_ret_16,0.007453965872714422,asset,0
42,lag_close_ret_8,0.005644092868584766,asset,0
43,lag_close_ret_48,0.005026439602280101,asset,0
44,ret_8,0.0038437836957179654,asset,0
45,dominant_cycle_phase_normalized,0.00378224130009824,asset,0
46,body_ratio,0.0031527558419508816,asset,0
47,ret_1,0.0029150446671270193,asset,0
1,bollinger_bandwidth,0.3287935114327441,asset,1
2,ema_trend_48_192,0.23604865681372303,asset,1
3,vol_rolling_192,0.19110910047573035,asset,1
4,atr_48,0.1698943284504224,asset,1
5,atr_over_price_48,0.15921362185408924,asset,1
6,vol_rolling_96,0.15450493136408436,asset,1
7,bollinger_bandwidth_rank_192,0.1310325485178114,asset,1
8,vol_rolling_48,0.1160632902130769,asset,1
9,ret_48,0.10988869414625939,asset,1
10,atr_pct_rank_192,0.10558855151508302,asset,1
11,close_over_bb_mid_192,0.09656762484008494,asset,1
12,mama_minus_fama_over_atr,0.09185368685811683,asset,1
13,close_over_bb_upper_192,0.07823961929547224,asset,1
14,bollinger_percent_b,0.07514494338649044,asset,1
15,vol_rolling_24,0.0643021393553498,asset,1
16,ret_24,0.059803213364662294,asset,1
17,frama_slope_over_atr,0.05486845436451189,asset,1
18,distance_from_ema96_atr,0.042353592059008384,asset,1
19,atr_pct,0.04230152886886267,asset,1
20,ema_alignment_score,0.037145598163415235,asset,1
21,rolling_return_48,0.035642169359488544,asset,1
22,ret_16,0.03550249426355667,asset,1
23,roofing_filter_over_atr,0.03466116812166134,asset,1
24,close_minus_decycler_over_atr,0.03225227881773646,asset,1
25,ret_4,0.020572078349429777,asset,1
26,close_ret_robust_z_192,0.019494683398089595,asset,1
27,instantaneous_trendline_slope_over_atr,0.01899429120306393,asset,1
28,distance_from_ema24_atr,0.011029865150320386,asset,1
29,rolling_return_24,0.010931854567223414,asset,1
30,lag_close_ret_1,0.010192300486310873,asset,1
31,lag_close_ret_2,0.01002610166690351,asset,1
32,close_ret,0.009903583181488165,asset,1
33,decycler_slope_over_atr,0.009060899494281958,asset,1
34,lag_close_ret_4,0.008267843966261713,asset,1
35,lag_close_ret_24,0.008071925705838052,asset,1
36,lag_close_ret_8,0.006952471162795471,asset,1
37,close_location,0.006901347339815813,asset,1
38,lag_close_ret_48,0.006856789495230366,asset,1
39,lag_close_ret_16,0.006709455853599687,asset,1
40,upper_wick_ratio,0.006636355501987645,asset,1
41,supersmoother_slope_over_atr,0.006182682599141437,asset,1
42,ret_8,0.005709796070662122,asset,1
43,lower_wick_ratio,0.004757819408409916,asset,1
44,range_to_atr,0.004481230673546072,asset,1
45,body_ratio,0.004208033077747223,asset,1
46,dominant_cycle_phase_normalized,0.002644758416728518,asset,1
47,ret_1,0.0017169796531341483,asset,1
1,vol_rolling_192,0.3710604620072383,asset,2
2,bollinger_bandwidth,0.33836214303714196,asset,2
3,ema_trend_48_192,0.22859690428091584,asset,2
4,vol_rolling_96,0.22345708477820417,asset,2
5,bollinger_bandwidth_rank_192,0.1705960208001434,asset,2
6,atr_over_price_48,0.1652635161834523,asset,2
7,atr_48,0.15310206908455426,asset,2
8,vol_rolling_24,0.1437435768659098,asset,2
9,vol_rolling_48,0.13285672248116653,asset,2
10,ret_48,0.09852873808976963,asset,2
11,close_over_bb_mid_192,0.09396456655046868,asset,2
12,bollinger_percent_b,0.09176346722028345,asset,2
13,close_over_bb_upper_192,0.09049267808585029,asset,2
14,mama_minus_fama_over_atr,0.08857832776130753,asset,2
15,atr_pct_rank_192,0.08554559164556076,asset,2
16,ret_16,0.059658082014066416,asset,2
17,frama_slope_over_atr,0.05799743257993369,asset,2
18,atr_pct,0.0567051363379228,asset,2
19,ret_24,0.04651707724842051,asset,2
20,roofing_filter_over_atr,0.042765921976231136,asset,2
21,rolling_return_48,0.04240301284639077,asset,2
22,distance_from_ema96_atr,0.03878046530411391,asset,2
23,close_minus_decycler_over_atr,0.033856955684084436,asset,2
24,ema_alignment_score,0.03115287740413286,asset,2
25,ret_4,0.02255344348974299,asset,2
26,rolling_return_24,0.021240615794305993,asset,2
27,instantaneous_trendline_slope_over_atr,0.015951856365748,asset,2
28,distance_from_ema24_atr,0.015071084156403665,asset,2
29,close_ret_robust_z_192,0.012602329314959231,asset,2
30,lag_close_ret_8,0.008717386941740896,asset,2
31,close_location,0.008612362109273913,asset,2
32,lag_close_ret_16,0.008411788431398283,asset,2
33,lag_close_ret_24,0.008289185764682315,asset,2
34,range_to_atr,0.00755016108352718,asset,2
35,close_ret,0.007392327953862771,asset,2
36,lag_close_ret_1,0.007199850715260069,asset,2
37,supersmoother_slope_over_atr,0.006731521001007431,asset,2
38,lag_close_ret_2,0.00652700114048911,asset,2
39,ret_8,0.006499937497603882,asset,2
40,upper_wick_ratio,0.006482563456441186,asset,2
41,decycler_slope_over_atr,0.005300889100937175,asset,2
42,lower_wick_ratio,0.005222830928722885,asset,2
43,lag_close_ret_4,0.004726786095008523,asset,2
44,lag_close_ret_48,0.0032938451645320166,asset,2
45,body_ratio,0.0023581365122405202,asset,2
46,dominant_cycle_phase_normalized,0.0018565229628988967,asset,2
47,ret_1,0.0014628561424129072,asset,2
1,atr_over_price_48,0.3263240676425864,asset,3
2,vol_rolling_96,0.30866734248583627,asset,3
3,bollinger_bandwidth,0.2739596139899015,asset,3
4,bollinger_bandwidth_rank_192,0.22659908866025805,asset,3
5,ema_trend_48_192,0.22091457092333966,asset,3
6,vol_rolling_192,0.20947273931052543,asset,3
7,vol_rolling_24,0.1668410909686436,asset,3
8,atr_48,0.161096220713814,asset,3
9,bollinger_percent_b,0.1285163887062747,asset,3
10,ret_48,0.1284669689583163,asset,3
11,vol_rolling_48,0.12179146953172397,asset,3
12,mama_minus_fama_over_atr,0.119041648120128,asset,3
13,close_over_bb_mid_192,0.09997517777714815,asset,3
14,atr_pct_rank_192,0.08111441411894939,asset,3
15,close_over_bb_upper_192,0.0779311378305378,asset,3
16,atr_pct,0.07563764267374833,asset,3
17,ret_16,0.05823192872542535,asset,3
18,frama_slope_over_atr,0.055181413621247836,asset,3
19,roofing_filter_over_atr,0.054501183534640125,asset,3
20,ret_24,0.04371082610171019,asset,3
21,close_minus_decycler_over_atr,0.035994525240280774,asset,3
22,distance_from_ema96_atr,0.03381915032095345,asset,3
23,ema_alignment_score,0.033673727806596915,asset,3
24,rolling_return_48,0.03208225005737462,asset,3
25,ret_4,0.02041076430638151,asset,3
26,decycler_slope_over_atr,0.017423441018119764,asset,3
27,rolling_return_24,0.015098958579090804,asset,3
28,distance_from_ema24_atr,0.013924968435217885,asset,3
29,close_ret,0.011058347038823359,asset,3
30,lag_close_ret_4,0.00986163555872107,asset,3
31,lag_close_ret_1,0.009636352999389796,asset,3
32,close_location,0.00962811522911862,asset,3
33,upper_wick_ratio,0.009514624331227019,asset,3
34,lag_close_ret_24,0.009042037437384383,asset,3
35,close_ret_robust_z_192,0.00768236675239924,asset,3
36,ret_8,0.007569533145861347,asset,3
37,lower_wick_ratio,0.007565686700842515,asset,3
38,lag_close_ret_2,0.007258576338684596,asset,3
39,supersmoother_slope_over_atr,0.007176124495477597,asset,3
40,range_to_atr,0.006823795623822159,asset,3
41,lag_close_ret_48,0.006537241309085093,asset,3
42,ret_1,0.0058243481428426665,asset,3
43,instantaneous_trendline_slope_over_atr,0.005386072361517196,asset,3
44,body_ratio,0.004751828785777852,asset,3
45,lag_close_ret_8,0.0036548420595984244,asset,3
46,lag_close_ret_16,0.003000089314961271,asset,3
47,dominant_cycle_phase_normalized,0.001906054605230467,asset,3
1,bollinger_bandwidth,0.37221012119595037,asset,4
2,vol_rolling_192,0.30869999676808785,asset,4
3,vol_rolling_96,0.28417954377995297,asset,4
4,atr_over_price_48,0.26188128447890935,asset,4
5,ema_trend_48_192,0.20765657083975048,asset,4
6,bollinger_bandwidth_rank_192,0.15758633154769877,asset,4
7,atr_48,0.15641562684218,asset,4
8,vol_rolling_24,0.15041400353973094,asset,4
9,vol_rolling_48,0.12461467342081237,asset,4
10,ret_48,0.12221201445375873,asset,4
11,bollinger_percent_b,0.09106941072239591,asset,4
12,atr_pct_rank_192,0.08981999936028436,asset,4
13,atr_pct,0.0847142741646029,asset,4
14,close_over_bb_mid_192,0.08292504927279695,asset,4
15,roofing_filter_over_atr,0.07286522014959801,asset,4
16,mama_minus_fama_over_atr,0.07126097179235523,asset,4
17,ret_24,0.07020437857720706,asset,4
18,frama_slope_over_atr,0.06097346222309808,asset,4
19,close_over_bb_upper_192,0.05641778071939043,asset,4
20,ret_16,0.04993209062068443,asset,4
21,rolling_return_48,0.03974039773283271,asset,4
22,distance_from_ema96_atr,0.03127885495892224,asset,4
23,ema_alignment_score,0.030144072700274922,asset,4
24,close_minus_decycler_over_atr,0.026281768704812913,asset,4
25,distance_from_ema24_atr,0.017741331202877034,asset,4
26,ret_4,0.013922204341905518,asset,4
27,instantaneous_trendline_slope_over_atr,0.01377731746210738,asset,4
28,rolling_return_24,0.013732663076157583,asset,4
29,close_ret_robust_z_192,0.012222414016253456,asset,4
30,supersmoother_slope_over_atr,0.010127320139194493,asset,4
31,upper_wick_ratio,0.009716834011087964,asset,4
32,lag_close_ret_24,0.009379245567211196,asset,4
33,lag_close_ret_48,0.008939141913856488,asset,4
34,lower_wick_ratio,0.00854482149442529,asset,4
35,close_ret,0.006387259206181787,asset,4
36,ret_8,0.005760784171828045,asset,4
37,lag_close_ret_1,0.005558797506885403,asset,4
38,decycler_slope_over_atr,0.005303575051819584,asset,4
39,range_to_atr,0.0037055990936916898,asset,4
40,lag_close_ret_2,0.0036038035592644646,asset,4
41,close_location,0.0035185928411489943,asset,4
42,lag_close_ret_16,0.003003107278651418,asset,4
43,ret_1,0.0027660893443636624,asset,4
44,lag_close_ret_8,0.0027305240955083267,asset,4
45,lag_close_ret_4,0.0026090861866038878,asset,4
46,dominant_cycle_phase_normalized,0.0022809412424273016,asset,4
47,body_ratio,0.0017803508757863263,asset,4
