feature,mean_importance,mean_importance_normalized,fold_count,source,rank
atr_48,1106.2,0.10227212687975448,10,feature_importances_,1
vol_rolling_192,1081.2,0.09992654074424791,10,feature_importances_,2
bollinger_bandwidth,932.4,0.08614672010907157,10,feature_importances_,3
vol_rolling_96,784.2,0.07244476840971834,10,feature_importances_,4
ema_trend_48_192,755.4,0.06983967901819257,10,feature_importances_,5
bollinger_bandwidth_rank_192,591.1,0.05463693547835411,10,feature_importances_,6
atr_over_price_48,570.3,0.05271123621473219,10,feature_importances_,7
vol_rolling_48,544.4,0.05029805468389289,10,feature_importances_,8
atr_pct_rank_192,472.0,0.04362344925254176,10,feature_importances_,9
vol_rolling_24,409.8,0.037898659895005814,10,feature_importances_,10
mama_minus_fama_over_atr,405.0,0.03743373874122417,10,feature_importances_,11
close_over_bb_upper_192,301.1,0.027846577234349263,10,feature_importances_,12
close_over_bb_mid_192,291.8,0.026957161680821944,10,feature_importances_,13
ret_48,289.5,0.026756297459235356,10,feature_importances_,14
bollinger_percent_b,256.0,0.023647470819825246,10,feature_importances_,15
distance_from_ema96_atr,193.2,0.017866635044940408,10,feature_importances_,16
ret_24,187.5,0.01732719510774952,10,feature_importances_,17
roofing_filter_over_atr,171.2,0.01581910213921981,10,feature_importances_,18
atr_pct,155.5,0.014368487944774706,10,feature_importances_,19
ret_16,138.1,0.012761483765922513,10,feature_importances_,20
