fold,train_rows_raw,train_rows,train_rows_dropped_missing,train_rows_not_labeled,train_rows_without_fit,test_rows,test_pred_rows,test_rows_missing_features,test_rows_not_candidates,test_rows_without_prediction,classification_eval_rows,regression_eval_rows,classification_accuracy,regression_rmse
0,35016,35016,,0,0,4380,4380,0,0,0,4380,4380,0.48242009132420094,2.736628696404202
1,39396,39396,,0,0,4380,4380,0,0,0,4380,4380,0.556392694063927,2.637060226269721
2,43752,43752,,0,0,4380,4380,0,0,0,4380,4380,0.515296803652968,2.7201106483812305
3,48108,48108,,0,0,4380,4380,0,0,0,4380,4380,0.5442922374429223,2.5724143945336735
4,52464,52464,,0,0,4380,4380,0,0,0,4380,4380,0.5221461187214612,2.6574978085596923
5,56820,56820,,0,0,4380,4380,0,0,0,4380,4380,0.5264840182648401,2.5841842997026294
6,61176,61176,,0,0,4380,4380,0,0,0,4380,4380,0.5121004566210046,2.6465943214807375
7,65532,65532,,0,0,4380,4380,0,0,0,4380,4380,0.5315068493150685,2.655846051004973
8,69888,69888,,0,0,4380,4380,0,0,0,4380,4380,0.541095890410959,2.5181821084792704
9,74244,74244,,0,0,4380,4380,0,0,0,4380,4380,0.5141552511415525,2.6351372974585803
