metric,value
counterfactual.baseline.avg_r,0.593614230086789
counterfactual.baseline.median_r,0.4861178009870259
counterfactual.baseline.profit_factor,1.535303967405213
counterfactual.baseline.trade_count,317
counterfactual.baseline.win_rate,0.580441640378549
counterfactual.best_policy_by_avg_r,trail_0_5r_after_1_0r
counterfactual.best_policy_by_profit_factor,exit_at_first_0_5r
counterfactual.breakeven_after_0_5r.avg_r,-0.05569745490893023
counterfactual.breakeven_after_0_5r.median_r,0.0
counterfactual.breakeven_after_0_5r.profit_factor,0.4054234283000785
counterfactual.breakeven_after_0_5r.trade_count,317
counterfactual.breakeven_after_0_5r.win_rate,0.012618296529968454
counterfactual.breakeven_after_1_0r.avg_r,-0.015206842778532348
counterfactual.breakeven_after_1_0r.median_r,0.0
counterfactual.breakeven_after_1_0r.profit_factor,0.9666860306403201
counterfactual.breakeven_after_1_0r.trade_count,317
counterfactual.breakeven_after_1_0r.win_rate,0.13564668769716087
counterfactual.exit_at_first_0_5r.avg_r,0.39370587169332927
counterfactual.exit_at_first_0_5r.median_r,0.5
counterfactual.exit_at_first_0_5r.profit_factor,5.20285429257588
counterfactual.exit_at_first_0_5r.trade_count,317
counterfactual.exit_at_first_0_5r.win_rate,0.9747634069400631
counterfactual.exit_at_first_1_0r.avg_r,0.4049379562582168
counterfactual.exit_at_first_1_0r.median_r,1.0
counterfactual.exit_at_first_1_0r.profit_factor,1.8871066048241052
counterfactual.exit_at_first_1_0r.trade_count,317
counterfactual.exit_at_first_1_0r.win_rate,0.8706624605678234
counterfactual.partial_50pct_at_1r.avg_r,0.49927609317250293
counterfactual.partial_50pct_at_1r.median_r,0.7311082646481815
counterfactual.partial_50pct_at_1r.profit_factor,1.7478213028524394
counterfactual.partial_50pct_at_1r.trade_count,317
counterfactual.partial_50pct_at_1r.win_rate,0.694006309148265
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.avg_r,0.538244508632697
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.median_r,0.34920927764034043
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.profit_factor,1.4759788498838986
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.trade_count,317
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.win_rate,0.5615141955835962
counterfactual.trail_0_5r_after_1_0r.avg_r,0.5953480961348142
counterfactual.trail_0_5r_after_1_0r.median_r,0.7953301306495049
counterfactual.trail_0_5r_after_1_0r.profit_factor,2.304242341544967
counterfactual.trail_0_5r_after_1_0r.trade_count,317
counterfactual.trail_0_5r_after_1_0r.win_rate,0.8706624605678234
