probability_bucket,decile,trade_count,avg_pred_prob,actual_win_rate,avg_realized_r,avg_trade_r,median_trade_r,avg_mfe_r,avg_mae_r,avg_giveback_r,profit_factor,expected_r_after_cost,avg_bars_held
"(0.0501, 0.166]","(0.0501, 0.166]",32,0.11636813334189355,0.625,0.17973861880916814,0.17973861880916814,0.6006177052059585,3.4991769822668943,-2.9680523338581355,3.319438363457726,1.1303505192066514,0.14400333225725204,24.0625
"(0.166, 0.222]","(0.166, 0.222]",32,0.19572010589763522,0.625,0.7528714659806026,0.7528714659806026,0.6734053684508365,4.203246538956256,-2.670164286002155,3.450375072975653,1.6300795370686603,0.7142925970030285,24.0
"(0.222, 0.266]","(0.222, 0.266]",31,0.2403877939908735,0.5483870967741935,0.48035559600350086,0.48035559600350086,0.6514524305334122,3.539816375290017,-2.780346373835307,3.059460779286515,1.4494742455494858,0.44470607405405155,24.0
"(0.266, 0.299]","(0.266, 0.299]",32,0.28020436596125364,0.65625,-0.059538441699134415,-0.059538441699134415,1.2941448307058243,3.1691145105597656,-3.8608048434794116,3.2286529522589005,0.9691030865785051,-0.10160629448249153,24.3125
"(0.299, 0.684]","(0.299, 0.684]",32,0.579757914878428,0.625,1.233956063949192,1.233956063949192,0.8577530490515377,3.4387437111832986,-2.173766598408832,2.2047876472341077,2.6349987399742325,1.1922169389708759,24.0
"(0.684, 0.71]","(0.684, 0.71]",31,0.6988048688057931,0.6774193548387096,0.7006587122556444,0.7006587122556444,0.39901606572975495,2.939855966946634,-2.0449402851345395,2.23919725469099,2.093513045808331,0.6591918365585853,24.032258064516128
"(0.71, 0.747]","(0.71, 0.747]",32,0.7271751407533884,0.5,0.37972751407804783,0.37972751407804783,0.19635675953845608,3.020380955962338,-2.5686200182907837,2.6406534418842895,1.3395043274382161,0.3427760568856128,24.03125
"(0.747, 0.777]","(0.747, 0.777]",31,0.7623401899491588,0.41935483870967744,0.15942460769052674,0.15942460769052674,-0.1903418340281413,2.7602127286059637,-3.1222590392512473,2.600788120915436,1.1228514069019422,0.11883577102129816,24.096774193548388
"(0.777, 0.829]","(0.777, 0.829]",32,0.8030516300350428,0.625,1.619221876175309,1.619221876175309,0.728503266393302,4.102589195681865,-1.9616179098229112,2.4833673195065558,3.0416876751540696,1.58509081148019,24.0625
"(0.829, 0.98]","(0.829, 0.98]",32,0.8672571498900652,0.5,0.4759636696778249,0.4759636696778249,0.005297632222192067,3.2206538670947653,-2.668157589183856,2.74469019741694,1.525861928880145,0.4279018130351117,24.375
