trade_id,asset,side,signal_timestamp,entry_timestamp,exit_timestamp,entry_price,exit_price,raw_entry_price,raw_exit_price,bars_held,position_size,gross_return,net_return,entry_cost,exit_cost,holding_cost,total_cost,entry_turnover,exit_turnover,holding_turnover,total_turnover,trade_r,gross_trade_r,total_cost_r,max_favorable_r,max_adverse_r,time_to_mfe,time_to_mae,exit_reason,risk_distance,risk_distance_source,was_ever_positive,was_ever_0_5r,lost_but_reached_0_5r,was_ever_1r,lost_but_reached_1r,was_ever_1_5r,lost_but_reached_1_5r,was_ever_2r,lost_but_reached_2r,lost_but_was_positive,giveback_r,capture_ratio,positive_mfe_capture_ratio,abs_mae_r,pred_prob,pred_is_oos
0,ETHUSD,short,2022-03-16 01:00:00,2022-03-16 01:00:00,2022-03-16 13:00:00,2626.2,2674.9,2626.2,2674.9,24,1.0,-0.019132872235749332,-0.01932914609681824,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,-2.759866432337856,-2.7304182824675634,0.029448149870292713,1.0400258550261248,-5.987857752926789,6,2,position_exit,17.836095045477272,atr_48,True,True,True,True,True,False,False,False,False,True,3.7998922873639804,-2.6536517520216165,-2.6536517520216165,5.987857752926789,0.21174180507659912,True
1,ETHUSD,long,2022-03-18 00:00:00,2022-03-18 00:00:00,2022-03-18 12:00:00,2809.1,2804.1,2809.1,2804.1,24,1.0,-0.001779929514791334,-0.001979314381474806,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,-0.3021536549755927,-0.27163199723794795,0.030521657737644783,0.3123767968236401,-2.156758058069297,17,1,position_exit,18.407257064122792,atr_48,True,False,False,False,False,False,False,False,False,True,0.6145304517992328,-0.9672730434782609,-0.9672730434782609,2.156758058069297,0.7465769052505493,True
2,ETHUSD,short,2022-03-24 05:30:00,2022-03-24 05:30:00,2022-03-24 17:30:00,3049.5,3099.45,3049.5,3099.45,24,1.0,-0.01677584747175176,-0.016971814464463608,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,-2.5205992372830193,-2.4901934517727846,0.030405785510234772,2.2608663270850045,-4.00574662362252,16,20,position_exit,20.058682575219244,atr_48,True,True,True,True,True,True,True,True,True,True,4.781465564368023,-1.1148820286659298,-1.1148820286659298,4.00574662362252,0.1763121336698532,True
3,ETHUSD,long,2022-03-25 16:30:00,2022-03-25 16:30:00,2022-03-26 05:30:00,3096.1,3127.35,3096.1,3127.35,24,1.0,0.01009334323826816,0.009891738363910108,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,1.5592568245158864,1.5907781573345978,0.03152133281871135,1.8631193778702764,-0.9468311592455481,3,1,position_exit,19.644473904746356,atr_48,True,True,False,True,False,True,False,False,False,False,0.30386255335438994,0.8369065573770512,0.8369065573770512,0.9468311592455481,0.6784273982048035,True
4,ETHUSD,long,2022-03-28 13:30:00,2022-03-28 13:30:00,2022-03-29 01:30:00,3380.3,3390.8500000000004,3380.3,3390.8500000000004,24,1.0,0.003121024761115976,0.0029208542905958534,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,0.5954139873923537,0.6361814601860376,0.04076747279368391,3.1477414428161588,-3.7899530590229387,12,20,reversal,16.58331884886281,atr_48,True,True,False,True,False,True,False,True,False,False,2.552327455423805,0.18915593869732217,0.18915593869732217,3.7899530590229387,0.9205546379089355,True
5,ETHUSD,short,2022-03-29 01:30:00,2022-03-29 01:30:00,2022-03-29 13:30:00,3390.8500000000004,3445.45,3390.8500000000004,3445.45,24,1.0,-0.016144767156005657,-0.016341152932975667,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,-2.7366606227671055,-2.703086408307003,0.03357421446010218,1.0817296340935822,-4.576929275604111,3,21,position_exit,20.19913230750049,atr_48,True,True,True,True,True,False,False,False,False,True,3.818390256860688,-2.5298933638443266,-2.5298933638443266,4.576929275604111,0.18018460273742676,True
6,ETHUSD,short,2022-03-30 11:00:00,2022-03-30 11:00:00,2022-03-30 23:00:00,3413.3,3391.65,3413.3,3391.65,24,1.0,0.005836750693178461,0.005635550367325326,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,0.9883816260852935,1.0205616069919503,0.0321799809066569,2.976834433327551,-1.6239421413797854,8,14,position_exit,21.213809976462162,atr_48,True,True,False,True,False,True,False,True,False,False,1.9884528072422576,0.33202438638163206,0.33202438638163206,1.6239421413797854,0.1541350930929184,True
7,ETHUSD,short,2022-04-02 13:30:00,2022-04-02 13:30:00,2022-04-03 01:30:00,3505.15,3441.1,3505.15,3441.1,24,1.0,0.018075744278278183,0.017871496748207205,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,2.810488407956623,2.8415897295507992,0.031101321594176286,4.041667827667085,-0.2661910753677556,24,1,position_exit,22.540199710718007,atr_48,True,True,False,True,False,True,False,True,False,False,1.2311794197104624,0.6953783754116383,0.6953783754116383,0.2661910753677556,0.28922587633132935,True
8,ETHUSD,short,2022-04-04 00:00:00,2022-04-04 00:00:00,2022-04-04 12:00:00,3490.7,3487.4,3490.7,3487.4,24,1.0,0.000739340999930338,0.0005389783281821714,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,0.11943887454474966,0.1514871230572293,0.03204824851247964,1.8912937787752535,-0.9731900026707783,21,15,position_exit,21.78402978022787,atr_48,True,True,False,True,False,True,False,False,False,False,1.7718549042305038,0.06315194174756646,0.06315194174756646,0.9731900026707783,0.2877836525440216,True
9,ETHUSD,short,2022-04-07 11:00:00,2022-04-07 11:00:00,2022-04-07 23:30:00,3229.0,3228.0,3229.0,3228.0,25,1.0,-0.0003524660134355262,-0.0005520349995077334,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,0.014047214325983794,0.03965899019193618,0.025611775865952386,2.7483680203011844,-1.552649466014305,9,2,position_exit,25.21496374870707,atr_48,True,True,False,True,False,True,False,True,False,False,2.7343208059752007,0.0051111111111110975,0.0051111111111110975,1.552649466014305,0.2714415490627289,True
10,ETHUSD,short,2022-04-08 14:00:00,2022-04-08 14:00:00,2022-04-09 02:30:00,3284.3,3189.4,3284.3,3189.4,24,1.0,0.029138897616381998,0.028933794405149982,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,3.9991301098739,4.02700342355988,0.027873313685980408,4.701706842259589,-0.9887163305473746,18,2,position_exit,23.565909938091952,atr_48,True,True,False,True,False,True,False,True,False,False,0.7025767323856891,0.8505698555956673,0.8505698555956673,0.9887163305473746,0.2310173362493515,True
11,ETHUSD,short,2022-04-11 18:00:00,2022-04-11 18:00:00,2022-04-12 06:00:00,3025.9,3015.8,3025.9,3015.8,24,1.0,0.002765569099012044,0.0025651503800907527,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,0.4622165292963629,0.49167724568693966,0.029460716390576718,3.6754091137984433,-0.6912689988865858,7,2,position_exit,20.541930887789697,atr_48,True,True,False,True,False,True,False,True,False,False,3.2131925845020803,0.12575920529801204,0.12575920529801204,0.6912689988865858,0.20764438807964325,True
12,ETHUSD,long,2022-04-12 18:00:00,2022-04-12 18:00:00,2022-04-13 06:00:00,3011.0,3056.7,3011.0,3056.7,24,1.0,0.015177681833277168,0.014974345951676904,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,2.0434484266243564,2.070735004739324,0.027286578114967746,2.6892368168770266,-1.961987433374474,23,5,position_exit,22.069458378501114,atr_48,True,True,False,True,False,True,False,True,False,False,0.6457883902526702,0.7598618365627556,0.7598618365627556,1.961987433374474,0.7014209032058716,True
13,ETHUSD,short,2022-04-13 22:30:00,2022-04-13 22:30:00,2022-04-14 10:30:00,3124.0,3079.6,3124.0,3079.6,24,1.0,0.014288395413452726,0.014086143462308742,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,2.155195461287423,2.1859563972560165,0.030760935968593608,2.257344612932161,-1.0043583446851991,24,7,position_exit,20.31147558832118,atr_48,True,True,False,True,False,True,False,True,False,False,0.10214915164473792,0.9547480916030574,0.9547480916030574,1.0043583446851991,0.21358704566955566,True
