metric,value
counterfactual.baseline.avg_r,0.5925372389530812
counterfactual.baseline.median_r,0.5068722717531943
counterfactual.baseline.profit_factor,1.543773983950645
counterfactual.baseline.trade_count,311
counterfactual.baseline.win_rate,0.5659163987138264
counterfactual.best_policy_by_avg_r,trail_0_5r_after_1_0r
counterfactual.best_policy_by_profit_factor,exit_at_first_0_5r
counterfactual.breakeven_after_0_5r.avg_r,-0.0904965912400195
counterfactual.breakeven_after_0_5r.median_r,0.0
counterfactual.breakeven_after_0_5r.profit_factor,0.41063251887926216
counterfactual.breakeven_after_0_5r.trade_count,311
counterfactual.breakeven_after_0_5r.win_rate,0.01929260450160772
counterfactual.breakeven_after_1_0r.avg_r,0.08565909873740059
counterfactual.breakeven_after_1_0r.median_r,0.0
counterfactual.breakeven_after_1_0r.profit_factor,1.2061252864196823
counterfactual.breakeven_after_1_0r.trade_count,311
counterfactual.breakeven_after_1_0r.win_rate,0.15112540192926044
counterfactual.exit_at_first_0_5r.avg_r,0.3255510112177211
counterfactual.exit_at_first_0_5r.median_r,0.5
counterfactual.exit_at_first_0_5r.profit_factor,3.1201812889152087
counterfactual.exit_at_first_0_5r.trade_count,311
counterfactual.exit_at_first_0_5r.win_rate,0.9581993569131833
counterfactual.exit_at_first_1_0r.avg_r,0.4493586771879034
counterfactual.exit_at_first_1_0r.median_r,1.0
counterfactual.exit_at_first_1_0r.profit_factor,2.081311704253135
counterfactual.exit_at_first_1_0r.trade_count,311
counterfactual.exit_at_first_1_0r.win_rate,0.8713826366559485
counterfactual.partial_50pct_at_1r.avg_r,0.5209479580704921
counterfactual.partial_50pct_at_1r.median_r,0.7462705886172167
counterfactual.partial_50pct_at_1r.profit_factor,1.8229189157414807
counterfactual.partial_50pct_at_1r.trade_count,311
counterfactual.partial_50pct_at_1r.win_rate,0.6913183279742765
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.avg_r,0.56124071021074
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.median_r,0.3478821528630853
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.profit_factor,1.5108594496375336
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.trade_count,311
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.win_rate,0.5498392282958199
counterfactual.trail_0_5r_after_1_0r.avg_r,0.6531399930086486
counterfactual.trail_0_5r_after_1_0r.median_r,0.8503467183741114
counterfactual.trail_0_5r_after_1_0r.profit_factor,2.5716797178053348
counterfactual.trail_0_5r_after_1_0r.trade_count,311
counterfactual.trail_0_5r_after_1_0r.win_rate,0.8713826366559485
