probability_bucket,decile,trade_count,avg_pred_prob,actual_win_rate,avg_realized_r,avg_trade_r,median_trade_r,avg_mfe_r,avg_mae_r,avg_giveback_r,profit_factor,expected_r_after_cost,avg_bars_held
"(0.0574, 0.196]","(0.0574, 0.196]",32,0.14226952742319554,0.5625,0.7981653881703344,0.7981653881703344,0.41294503601298205,4.081645291967412,-2.4675515400159016,3.283479903797077,1.7581923643581663,0.763440609761011,24.0
"(0.196, 0.229]","(0.196, 0.229]",31,0.21596855117428687,0.6451612903225806,1.6701184572188779,1.6701184572188779,0.9144473820338709,4.54940036879603,-2.467458934582747,2.8792819115771513,2.7057221113418066,1.6294984829791106,24.161290322580644
"(0.229, 0.261]","(0.229, 0.261]",31,0.24545055627822876,0.5483870967741935,-0.2663465644247549,-0.2663465644247549,0.5068722717531943,2.5271366205004044,-2.747119778937826,2.7934831849251593,0.8068788903296821,-0.3061103108772551,24.258064516129032
"(0.261, 0.31]","(0.261, 0.31]",31,0.28063695757619794,0.6774193548387096,0.6229306670734058,0.6229306670734058,0.8913175503576118,3.5743336332077122,-2.3979534861735208,2.9514029661343053,1.7235563673547658,0.5841281809485581,24.032258064516128
"(0.31, 0.688]","(0.31, 0.688]",31,0.6165997501342527,0.4838709677419355,-0.8873944804823088,-0.8873944804823088,-0.03831559766287486,2.5718816346815037,-3.661603449096101,3.459276115163812,0.5318283165949488,-0.9296394864776976,24.032258064516128
"(0.688, 0.72]","(0.688, 0.72]",31,0.7038361103303971,0.6129032258064516,1.5663704638386897,1.5663704638386897,0.9860550180987044,4.090941566430727,-2.5620945987924038,2.524571102592038,2.4492149188149055,1.529798047734431,24.032258064516128
"(0.72, 0.75]","(0.72, 0.75]",31,0.7337295336108054,0.4838709677419355,-0.10549638151350799,-0.10549638151350799,-0.4377118802943797,2.598969693500777,-3.2458587327461115,2.704466075014285,0.9231559897301207,-0.1470300882603116,24.06451612903226
"(0.75, 0.786]","(0.75, 0.786]",31,0.768813721595272,0.5806451612903226,1.1180446532413004,1.1180446532413004,0.7372427306232497,3.0877546384407255,-2.4656488746310736,1.9697099851994249,3.3179438587439867,1.0777201919580177,24.225806451612904
"(0.786, 0.834]","(0.786, 0.834]",31,0.8123351470116646,0.41935483870967744,0.017168759619003292,0.017168759619003292,-0.18946599214488297,2.8504699288445123,-3.0355807063472535,2.8333011692255083,1.014409527781096,-0.024090779833271632,24.161290322580644
"(0.834, 0.969]","(0.834, 0.969]",31,0.871608026566044,0.6451612903225806,1.3851782606859901,1.3851782606859901,0.5822485229903942,3.8500367316385726,-2.250529409877349,2.4648584709525823,3.297066189031516,1.3403735120148417,24.451612903225808
