rank,feature,importance,importance_normalized,importance_type,asset,fold
1,atr_48,157013.64800548553,0.12500512724321203,gain,asset,0
2,bollinger_bandwidth,125554.9367313385,0.09995953244501442,gain,asset,0
3,vol_rolling_192,124523.38657903671,0.09913827225722656,gain,asset,0
4,ema_trend_48_192,99383.5315489769,0.07912338299869065,gain,asset,0
5,vol_rolling_96,85822.47268104553,0.06832685727705896,gain,asset,0
6,vol_rolling_48_rank_384,77673.19517040253,0.06183887686835854,gain,asset,0
7,bollinger_bandwidth_rank_192,75273.7153916359,0.05992855073510572,gain,asset,0
8,atr_over_price_48,72920.94458198547,0.058055411564272685,gain,asset,0
9,vol_rolling_48,56416.64683198929,0.04491565036194681,gain,asset,0
10,atr_pct_rank_192,44299.501628398895,0.03526868465393158,gain,asset,0
11,mama_minus_fama_over_atr,41000.563014507294,0.03264226175098331,gain,asset,0
12,vol_rolling_24,37646.99320077896,0.02997234466664514,gain,asset,0
13,close_over_bb_upper_192,36494.43626213074,0.029054745919014396,gain,asset,0
14,close_over_bb_mid_192,36036.013275146484,0.028689776220219947,gain,asset,0
15,ret_48,29789.083896160126,0.023716334663902067,gain,asset,0
16,bollinger_percent_b,25043.195147514343,0.01993793428633828,gain,asset,0
17,atr_pct,21803.2357006073,0.017358467163140736,gain,asset,0
18,ret_24,15870.948773384094,0.012635525612512778,gain,asset,0
19,distance_from_ema96_atr,14801.119998931885,0.01178379021385383,gain,asset,0
20,roofing_filter_over_atr,12428.771698951721,0.009895064584767896,gain,asset,0
21,rolling_return_48,8957.606414318085,0.007131524831378506,gain,asset,0
22,ret_16,8482.32017326355,0.006753129591253302,gain,asset,0
23,ema_alignment_score,7783.237796783447,0.006196560894611534,gain,asset,0
24,distance_from_ema24_atr,6204.497755050659,0.004939659967159252,gain,asset,0
25,close_minus_decycler_over_atr,5257.99267244339,0.004186107713640914,gain,asset,0
26,frama_slope_over_atr,4146.953807353973,0.0033015632395337704,gain,asset,0
27,rolling_return_24,3626.476855278015,0.0028871897857105635,gain,asset,0
28,instantaneous_trendline_slope_over_atr,3313.9517102241516,0.0026383754563804366,gain,asset,0
29,decycler_slope_over_atr,2192.733504295349,0.0017457267836062126,gain,asset,0
30,supersmoother_slope_over_atr,1817.5575428009033,0.0014470335209443,gain,asset,0
31,ret_4,1575.069612979889,0.0012539787457239958,gain,asset,0
32,upper_wick_ratio,1311.3771877288818,0.001044042185493119,gain,asset,0
33,range_to_atr,1064.1509237289429,0.0008472150244039339,gain,asset,0
34,lag_close_ret_1,1026.3336424827576,0.0008171071063074983,gain,asset,0
35,lag_close_ret_16,1025.9238138198853,0.0008167808245810302,gain,asset,0
36,lag_close_ret_24,992.739109992981,0.0007903610949772346,gain,asset,0
37,lag_close_ret_8,940.8415031433105,0.0007490432412092959,gain,asset,0
38,close_location,927.9332070350647,0.0007387664072015417,gain,asset,0
39,lag_close_ret_48,902.1604194641113,0.0007182476138950723,gain,asset,0
40,lag_close_ret_2,883.6096892356873,0.0007034786022701871,gain,asset,0
41,ret_1,675.630081653595,0.0005378973445894252,gain,asset,0
42,lag_close_ret_4,660.9776883125305,0.0005262319618836278,gain,asset,0
43,dominant_cycle_phase_normalized,631.5139932632446,0.0005027746828796873,gain,asset,0
