feature,mean_importance,mean_importance_normalized,fold_count,source,rank
atr_48,1047.6,0.09653712698191497,10,feature_importances_,1
vol_rolling_192,1024.0,0.09432493700484082,10,feature_importances_,2
bollinger_bandwidth,939.3,0.08651423745971307,10,feature_importances_,3
vol_rolling_96,768.1,0.0707469778104736,10,feature_importances_,4
ema_trend_48_192,724.3,0.0667289344540362,10,feature_importances_,5
atr_over_price_48,567.4,0.05226859937564783,10,feature_importances_,6
bollinger_bandwidth_rank_192,560.9,0.051671113969791516,10,feature_importances_,7
vol_rolling_48_rank_384,560.6,0.05165480284518524,10,feature_importances_,8
vol_rolling_48,483.7,0.044549539581197915,10,feature_importances_,9
atr_pct_rank_192,412.3,0.03798319539840559,10,feature_importances_,10
mama_minus_fama_over_atr,389.9,0.035925351950952235,10,feature_importances_,11
vol_rolling_24,376.7,0.03471722174865216,10,feature_importances_,12
close_over_bb_upper_192,301.4,0.02777154780293063,10,feature_importances_,13
close_over_bb_mid_192,287.9,0.026522729978698444,10,feature_importances_,14
ret_48,273.4,0.025178158415226554,10,feature_importances_,15
bollinger_percent_b,242.4,0.02232192022742188,10,feature_importances_,16
ret_24,180.7,0.016649534672335604,10,feature_importances_,17
distance_from_ema96_atr,176.2,0.016227510624221675,10,feature_importances_,18
roofing_filter_over_atr,163.3,0.01504831055747794,10,feature_importances_,19
atr_pct,144.2,0.013286289856012537,10,feature_importances_,20
