trade_id,policy,counterfactual_r
0,baseline,-4.151644752149149
0,breakeven_after_0_5r,0.0
0,breakeven_after_1_0r,0.0
0,exit_at_first_0_5r,0.5
0,exit_at_first_1_0r,1.0
0,trail_0_5r_after_1_0r,0.5060843345503976
0,time_exit_after_4_bars_if_mfe_lt_0_3r,-4.151644752149149
0,partial_50pct_at_1r,-1.5758223760745746
1,baseline,3.3778912906703478
1,breakeven_after_0_5r,0.0
1,breakeven_after_1_0r,0.0
1,exit_at_first_0_5r,0.5
1,exit_at_first_1_0r,1.0
1,trail_0_5r_after_1_0r,1.873569759622654
1,time_exit_after_4_bars_if_mfe_lt_0_3r,3.3778912906703478
1,partial_50pct_at_1r,2.188945645335174
2,baseline,-2.882632877027968
2,breakeven_after_0_5r,0.0
2,breakeven_after_1_0r,0.0
2,exit_at_first_0_5r,0.5
2,exit_at_first_1_0r,1.0
2,trail_0_5r_after_1_0r,0.9260966324225224
2,time_exit_after_4_bars_if_mfe_lt_0_3r,-2.882632877027968
2,partial_50pct_at_1r,-0.941316438513984
3,baseline,4.521483412275431
3,breakeven_after_0_5r,0.0
3,breakeven_after_1_0r,0.0
3,exit_at_first_0_5r,0.5
3,exit_at_first_1_0r,1.0
3,trail_0_5r_after_1_0r,1.542342274257726
3,time_exit_after_4_bars_if_mfe_lt_0_3r,-0.5848116644350363
3,partial_50pct_at_1r,2.7607417061377153
4,baseline,-4.006105832918819
4,breakeven_after_0_5r,0.0
4,breakeven_after_1_0r,0.0
4,exit_at_first_0_5r,0.5
4,exit_at_first_1_0r,1.0
4,trail_0_5r_after_1_0r,1.1656543256198861
4,time_exit_after_4_bars_if_mfe_lt_0_3r,-4.006105832918819
4,partial_50pct_at_1r,-1.5030529164594095
5,baseline,-0.42798119156877895
5,breakeven_after_0_5r,0.0
5,breakeven_after_1_0r,0.0
5,exit_at_first_0_5r,0.5
5,exit_at_first_1_0r,1.0
5,trail_0_5r_after_1_0r,0.9631095186208527
5,time_exit_after_4_bars_if_mfe_lt_0_3r,-0.42798119156877895
5,partial_50pct_at_1r,0.2860094042156105
6,baseline,3.0121052877488466
6,breakeven_after_0_5r,0.0
6,breakeven_after_1_0r,0.0
6,exit_at_first_0_5r,0.5
6,exit_at_first_1_0r,1.0
6,trail_0_5r_after_1_0r,1.1275620265866046
6,time_exit_after_4_bars_if_mfe_lt_0_3r,3.0121052877488466
6,partial_50pct_at_1r,2.0060526438744235
7,baseline,1.4331281755254206
7,breakeven_after_0_5r,0.0
7,breakeven_after_1_0r,0.0
7,exit_at_first_0_5r,0.5
7,exit_at_first_1_0r,1.0
7,trail_0_5r_after_1_0r,0.7799604542036487
7,time_exit_after_4_bars_if_mfe_lt_0_3r,1.4331281755254206
7,partial_50pct_at_1r,1.2165640877627104
8,baseline,-20.814645691841527
8,breakeven_after_0_5r,0.0
8,breakeven_after_1_0r,0.0
8,exit_at_first_0_5r,0.5
8,exit_at_first_1_0r,1.0
8,trail_0_5r_after_1_0r,0.9980350216890292
8,time_exit_after_4_bars_if_mfe_lt_0_3r,-20.814645691841527
8,partial_50pct_at_1r,-9.907322845920763
9,baseline,9.191837722016157
9,breakeven_after_0_5r,0.0
9,breakeven_after_1_0r,0.0
9,exit_at_first_0_5r,0.5
9,exit_at_first_1_0r,1.0
9,trail_0_5r_after_1_0r,0.6635563243425608
9,time_exit_after_4_bars_if_mfe_lt_0_3r,9.191837722016157
9,partial_50pct_at_1r,5.095918861008078
10,baseline,0.021342053655548913
10,breakeven_after_0_5r,0.0
10,breakeven_after_1_0r,0.0
10,exit_at_first_0_5r,0.5
10,exit_at_first_1_0r,1.0
10,trail_0_5r_after_1_0r,0.9935082560542274
10,time_exit_after_4_bars_if_mfe_lt_0_3r,0.021342053655548913
10,partial_50pct_at_1r,0.5106710268277744
11,baseline,-0.5181820843453164
11,breakeven_after_0_5r,0.0
11,breakeven_after_1_0r,0.0
11,exit_at_first_0_5r,0.5
