probability_bucket,decile,trade_count,avg_pred_prob,actual_win_rate,avg_realized_r,avg_trade_r,median_trade_r,avg_mfe_r,avg_mae_r,avg_giveback_r,profit_factor,expected_r_after_cost,avg_bars_held
"(0.0315, 0.263]","(0.0315, 0.263]",70,0.18573732519788402,0.5,0.15891524675987584,0.15891524675987584,-0.03595806657501836,6.159585732165493,-5.3838300678631885,6.0006704854056165,1.0526788360907664,0.10778598352956585,73.1
"(0.263, 0.328]","(0.263, 0.328]",69,0.2955284408037213,0.6376811594202898,1.7540597349378961,1.7540597349378961,1.9373470753566249,6.502489525482493,-3.6180022259553177,4.748429790544597,2.0012347384683884,1.7157054073605549,57.65217391304348
"(0.328, 0.404]","(0.328, 0.404]",69,0.3729374654915022,0.4927536231884058,0.047044242590988834,0.047044242590988834,-0.019937609891519305,4.298634941163277,-4.6944297200354725,4.25159069857229,1.0270332735523584,0.013615901558800025,65.44927536231884
"(0.404, 0.457]","(0.404, 0.457]",69,0.4331083509369173,0.5942028985507246,-0.31241527708229694,-0.31241527708229694,0.3612427239738884,3.918916782404614,-4.519853762984897,4.231332059486911,0.8670778467168981,-0.3337742343966809,66.69565217391305
"(0.457, 0.505]","(0.457, 0.505]",69,0.47923071488090185,0.5652173913043478,0.6200434200035243,0.6200434200035243,0.2173800683095099,4.762264732156145,-4.254347263847267,4.1422213121526195,1.2923391515963436,0.6045489990832159,49.82608695652174
"(0.505, 0.545]","(0.505, 0.545]",69,0.5232548575470413,0.5362318840579711,0.14842829540148558,0.14842829540148558,0.11316614612329869,3.6581122564219486,-4.7363342512363955,3.5096839610204635,1.0780926535193913,0.13046907048082643,57.405797101449274
"(0.545, 0.589]","(0.545, 0.589]",69,0.5694150104038957,0.5797101449275363,0.34087501837046963,0.34087501837046963,0.638957497441335,4.50831130405635,-4.554369787858295,4.16743628568588,1.1536102918675737,0.3205467748643603,60.405797101449274
"(0.589, 0.659]","(0.589, 0.659]",69,0.6231704483861509,0.5217391304347826,0.5729636944416536,0.5729636944416536,0.04651672746774584,5.009304354614329,-4.179681798120572,4.436340660172675,1.3009853112081446,0.5434146614586954,70.52173913043478
"(0.659, 0.736]","(0.659, 0.736]",69,0.695285633854244,0.5942028985507246,0.8583211120229336,0.8583211120229336,0.9972116181641881,4.441797925197088,-4.118014000677013,3.5834768131741535,1.495274755187873,0.822516213694297,59.20289855072464
"(0.736, 0.955]","(0.736, 0.955]",69,0.8160950498304506,0.5797101449275363,1.0045652617742615,1.0045652617742615,0.6607000733198708,5.513373610335941,-4.315263829474844,4.508808348561681,1.5034440676792336,0.9551042628632197,73.56521739130434
