trade_id,asset,side,signal_timestamp,entry_timestamp,exit_timestamp,entry_price,exit_price,raw_entry_price,raw_exit_price,bars_held,position_size,gross_return,net_return,entry_cost,exit_cost,holding_cost,total_cost,entry_turnover,exit_turnover,holding_turnover,total_turnover,trade_r,gross_trade_r,total_cost_r,max_favorable_r,max_adverse_r,time_to_mfe,time_to_mae,exit_reason,risk_distance,risk_distance_source,was_ever_positive,was_ever_0_5r,lost_but_reached_0_5r,was_ever_1r,lost_but_reached_1r,was_ever_1_5r,lost_but_reached_1_5r,was_ever_2r,lost_but_reached_2r,lost_but_was_positive,giveback_r,capture_ratio,positive_mfe_capture_ratio,abs_mae_r,pred_prob,pred_is_oos
0,ETHUSD,short,2022-03-14 15:00:00,2022-03-14 15:00:00,2022-03-16 03:00:00,2582.2,2645.2,2582.2,2645.2,72,0.9089853628345526,-0.025533991807493606,-0.025739452883207448,9.089853628345526e-05,0.0001,2.158607657518823e-05,0.00021248461285864348,0.9089853628345526,0.9999999999999999,0.2158607657518823,2.1248461285864346,-4.151644752149149,-4.115799550433541,0.03584520171560806,4.765834558795652,-9.85178686040284,32,70,reversal,15.30686789480888,atr_48,True,True,True,True,True,True,True,True,True,True,8.917479310944803,-0.8711264944115661,-0.8711264944115661,9.85178686040284,0.27176225185394287,True
1,ETHUSD,long,2022-03-16 03:00:00,2022-03-16 03:00:00,2022-03-16 15:00:00,2645.2,2715.7,2645.2,2715.7,24,0.9113676751123575,0.024275960331917368,0.024089373821008397,9.113676751123575e-05,9.113676751123576e-05,0.0,0.00018227353502247152,0.9113676751123575,0.9113676751123575,0.0,1.822735350224715,3.3778912906703478,3.4011517897031744,0.02326049903282658,3.8474022018273497,-1.8115354567851527,24,2,reversal,20.728272173395908,atr_48,True,True,False,True,False,True,False,True,False,False,0.46951091115700194,0.8779667717261261,0.8779667717261261,1.8115354567851527,0.7270287871360779,True
2,ETHUSD,short,2022-03-16 15:00:00,2022-03-16 15:00:00,2022-03-17 03:00:00,2715.7,2773.8,2715.7,2773.8,24,0.025150557939043916,-0.0005504673635280399,-0.0005554946327184229,2.515055793904392e-06,2.515055793904392e-06,0.0,5.030111587808784e-06,0.025150557939043916,0.025150557939043916,0.0,0.05030111587808783,-2.882632877027968,-2.881955281521707,0.0006775955062610179,4.002991243008601,-3.648327210945279,7,10,reversal,20.159924191926695,atr_48,True,True,True,True,True,True,True,True,True,True,6.885624120036569,-0.7201197059980113,-0.7201197059980113,3.648327210945279,0.48638665676116943,True
3,ETHUSD,long,2022-03-17 03:00:00,2022-03-17 03:00:00,2022-03-18 15:00:00,2773.8,2875.2,2773.8,2875.2,72,0.8249357976238046,0.043282929001026815,0.042949484541173755,8.249357976238048e-05,0.0001,0.00013844975052865378,0.00032094333029103424,0.8249357976238046,1.0,1.3844975052865378,3.2094333029103423,4.521483412275431,4.561530982593267,0.04004757031783636,5.0248817628764195,-1.1583769507078605,72,7,reversal,22.229378773692538,atr_48,True,True,False,True,False,True,False,True,False,False,0.5033983506009889,0.8998188665213834,0.8998188665213834,1.1583769507078605,0.7086085081100464,True
4,ETHUSD,short,2022-03-18 15:00:00,2022-03-18 15:00:00,2022-03-19 04:00:00,2875.2,2948.35,2875.2,2948.35,24,0.7770000922465731,-0.019607170731848034,-0.019759503830956038,7.77000092246573e-05,7.770000922465731e-05,0.0,0.0001554000184493146,0.7770000922465731,0.7770000922465731,0.0,1.5540001844931461,-4.006105832918819,-3.9817847685978816,0.024321064320937336,0.02449491655322379,-6.023027814700714,1,10,reversal,18.371158726833603,atr_48,True,False,False,False,False,False,False,False,False,True,4.030600749472043,-163.54845807350068,-163.54845807350068,6.023027814700714,0.30045148730278015,True
5,ETHUSD,long,2022-03-19 04:00:00,2022-03-19 04:00:00,2022-03-20 00:30:00,2948.35,2940.85,2948.35,2940.85,24,0.17871836714419304,-0.00044164780363054046,-0.0004773849014562126,1.7871836714419303e-05,1.7871836714419303e-05,0.0,3.5743673428838606e-05,0.17871836714419304,0.17871836714419304,0.0,0.35743673428838607,-0.42798119156877895,-0.42205082267909216,0.005930368889686795,1.733222045135482,-1.4237181085041222,18,7,reversal,17.77037171114023,atr_48,True,True,True,True,True,True,True,False,False,True,2.161203236704261,-0.24692807985564516,-0.24692807985564516,1.4237181085041222,0.5551647543907166,True
6,ETHUSD,short,2022-03-20 00:30:00,2022-03-20 00:30:00,2022-03-20 12:30:00,2940.85,2892.4,2940.85,2892.4,24,0.4074420816241023,0.006707931577543347,0.0066258643173604526,4.074420816241023e-05,4.074420816241023e-05,0.0,8.148841632482046e-05,0.4074420816241023,0.4074420816241023,0.0,0.8148841632482046,3.0121052877488466,3.0270779342848955,0.014972646536048916,4.426593841983187,-0.153072052404517,23,1,reversal,16.005534397133204,atr_48,True,True,False,True,False,True,False,True,False,False,1.4144885542343402,0.6804566660670576,0.6804566660670576,0.153072052404517,0.3859332799911499,True
7,ETHUSD,long,2022-03-20 12:30:00,2022-03-20 12:30:00,2022-03-21 12:30:00,2892.4,2914.7,2892.4,2914.7,48,1.0,-0.0026851570121584345,-0.0028841018101821714,0.00010000000000000002,2.9375186990324472e-05,7.062481300967554e-05,0.00020000000000000004,1.0,0.2937518699032447,0.7062481300967554,2.0,1.4331281755254206,1.4712947489041692,0.038166573378748625,2.1706545847061833,-4.806449437563673,45,10,reversal,15.156718269136029,atr_48,True,True,False,True,False,True,False,True,False,False,0.7375264091807627,0.6602285714285614,0.6602285714285614,4.806449437563673,0.9181552529335022,True
8,ETHUSD,short,2022-03-21 12:30:00,2022-03-21 12:30:00,2022-03-27 22:30:00,2914.7,3270.45,2914.7,3270.45,288,0.11147999540156556,-0.07250092717401013,-0.0729279747602225,1.1147999540156556e-05,1.5673316179907462e-05,0.0004336199898919299,0.00046044130561199396,0.11147999540156554,0.1567331617990746,4.3361998989193,4.60441305611994,-20.814645691841527,-20.736418636804512,0.07822705503701531,1.777823663872207,-22.278170633834687,22,286,reversal,17.15580719269377,atr_48,True,True,True,True,True,True,True,False,False,True,22.592469355713735,-11.70793600896614,-11.70793600896614,22.278170633834687,0.46205058693885803,True
9,ETHUSD,long,2022-03-27 22:30:00,2022-03-27 22:30:00,2022-03-29 06:30:00,3270.45,3417.25,3270.45,3417.25,64,1.0,0.04492824183087807,0.04471928214568743,0.0001,8.720842501953523e-05,1.279157498046477e-05,0.00019999999999999998,1.0,0.8720842501953523,0.1279157498046477,2.0,9.191837722016157,9.232976670999358,0.04113894898320138,10.192124451876335,-0.16981632841755148,42,1,reversal,15.899531129662309,atr_48,True,True,False,True,False,True,False,True,False,False,1.0002867298601785,0.901856896019747,0.901856896019747,0.16981632841755148,0.8528083562850952,True
10,ETHUSD,short,2022-03-29 06:30:00,2022-03-29 06:30:00,2022-03-29 18:30:00,3417.25,3416.15,3417.25,3416.15,24,1.0,-0.00021437616827402195,-0.00041439215919425454,9.999999999999999e-05,0.0001,0.0,0.00019999999999999998,0.9999999999999999,1.0,0.0,2.0,0.021342053655548913,0.05635880211524903,0.03501674845970012,2.4259902546884153,-3.384089890647742,19,11,reversal,19.51780305320367,atr_48,True,True,False,True,False,True,False,True,False,False,2.4046482010328663,0.008797254487854487,0.008797254487854487,3.384089890647742,0.19943691790103912,True
11,ETHUSD,long,2022-03-29 18:30:00,2022-03-29 18:30:00,2022-03-30 06:30:00,3416.15,3405.55,3416.15,3405.55,24,0.9487460856369796,-0.002934090732540029,-0.003123473160131951,9.487460856369796e-05,9.487460856369796e-05,0.0,0.0001897492171273959,0.9487460856369796,0.9487460856369796,0.0,1.8974921712739592,-0.5181820843453164,-0.48832029459797033,0.029861789747346063,1.3014196530559226,-3.7798754879022547,1,14,reversal,21.707064230715197,atr_48,True,True,True,True,True,False,False,False,False,True,1.819601737401239,-0.39816678895892615,-0.39816678895892615,3.7798754879022547,0.7359271049499512,True
