rank,feature,importance,importance_normalized,importance_type,asset,fold
1,atr_48,155451.74297237396,0.12715198138072942,gain,asset,0
2,vol_rolling_192,127066.55849218369,0.10393427806327521,gain,asset,0
3,bollinger_bandwidth,120431.84052801132,0.09850740076414606,gain,asset,0
4,ema_trend_48_192,97092.42395305634,0.07941689071239863,gain,asset,0
5,vol_rolling_96,88378.73496055603,0.07228951600854107,gain,asset,0
6,bollinger_bandwidth_rank_192,77825.48872709274,0.06365747275881022,gain,asset,0
7,atr_over_price_48,75546.78160858154,0.06179360092588671,gain,asset,0
8,vol_rolling_48,64317.17903137207,0.05260833101183961,gain,asset,0
9,atr_pct_rank_192,61073.67878484726,0.04995530522345841,gain,asset,0
10,mama_minus_fama_over_atr,40905.869698524475,0.03345901617322919,gain,asset,0
11,close_over_bb_upper_192,40602.557693481445,0.03321092167341624,gain,asset,0
12,vol_rolling_24,39576.49484872818,0.032371652063202146,gain,asset,0
13,ret_48,38479.070048332214,0.03147401183660464,gain,asset,0
14,close_over_bb_mid_192,32635.451944351196,0.026694215829521372,gain,asset,0
15,bollinger_percent_b,30098.608500480652,0.024619201010303956,gain,asset,0
16,atr_pct,20411.77262735367,0.01669583938677481,gain,asset,0
17,distance_from_ema96_atr,20070.057127952576,0.01641633269237206,gain,asset,0
18,ret_24,13839.47540473938,0.011320019224842088,gain,asset,0
19,roofing_filter_over_atr,11117.309586524963,0.009093419697460978,gain,asset,0
20,ret_16,10130.163645744324,0.008285982225984645,gain,asset,0
21,ema_alignment_score,7988.209524154663,0.006533967707658232,gain,asset,0
22,close_minus_decycler_over_atr,6137.702259063721,0.005020342573473899,gain,asset,0
23,rolling_return_48,5723.684569358826,0.004681696196366343,gain,asset,0
24,frama_slope_over_atr,4750.704426765442,0.003885845660313881,gain,asset,0
25,distance_from_ema24_atr,4621.179153442383,0.0037799002728450873,gain,asset,0
26,rolling_return_24,4599.553258895874,0.0037622113406521047,gain,asset,0
27,instantaneous_trendline_slope_over_atr,3751.577428817749,0.0030686082655385382,gain,asset,0
28,decycler_slope_over_atr,2171.667776107788,0.0017763188456617058,gain,asset,0
29,ret_4,1535.3910307884216,0.0012558753477189585,gain,asset,0
30,lag_close_ret_16,1407.0920844078064,0.0011509330361730897,gain,asset,0
31,range_to_atr,1386.5942330360413,0.0011341667885509527,gain,asset,0
32,lag_close_ret_24,1329.0177145004272,0.0010870719906874854,gain,asset,0
33,upper_wick_ratio,1266.8074111938477,0.0010361869817678139,gain,asset,0
34,ret_8,1235.3986825942993,0.001010496166099109,gain,asset,0
35,close_location,1137.3757810592651,0.0009303181898825107,gain,asset,0
36,lag_close_ret_1,1058.6917157173157,0.0008659584431211144,gain,asset,0
37,lag_close_ret_2,977.6780004501343,0.000799693155783249,gain,asset,0
38,lag_close_ret_8,969.6106300354004,0.0007930944383089265,gain,asset,0
39,supersmoother_slope_over_atr,901.9391994476318,0.0007377424923122037,gain,asset,0
40,close_ret,877.7803497314453,0.000717981725719588,gain,asset,0
41,lag_close_ret_48,839.5499472618103,0.000686711111894044,gain,asset,0
42,lag_close_ret_4,769.5771431922913,0.00062947675407931,gain,asset,0
43,dominant_cycle_phase_normalized,630.1208724975586,0.0005154082927308009,gain,asset,0
44,body_ratio,598.0071811676025,0.0004891408517618133,gain,asset,0
45,lower_wick_ratio,544.4263691902161,0.00044531434794368784,gain,asset,0
46,ret_1,305.82543087005615,0.0002501503601580948,gain,asset,0
1,atr_48,1164.0,0.11255076387545929,split,asset,0
2,vol_rolling_192,984.0,0.09514600657513053,split,asset,0
3,bollinger_bandwidth,838.0,0.08102881454264166,split,asset,0
4,ema_trend_48_192,714.0,0.0690388706246374,split,asset,0
5,vol_rolling_96,709.0,0.06855540514407271,split,asset,0
6,bollinger_bandwidth_rank_192,572.0,0.05530845097660027,split,asset,0
7,atr_over_price_48,559.0,0.05405144072713208,split,asset,0
8,vol_rolling_48,510.0,0.049313479017598146,split,asset,0
9,atr_pct_rank_192,453.0,0.043801972539160704,split,asset,0
10,vol_rolling_24,411.0,0.039740862502417325,split,asset,0
11,mama_minus_fama_over_atr,385.0,0.037226842003480955,split,asset,0
12,close_over_bb_upper_192,311.0,0.030071552891123572,split,asset,0
13,ret_48,308.0,0.029781473602784762,split,asset,0
14,close_over_bb_mid_192,266.0,0.025720363566041383,split,asset,0
15,bollinger_percent_b,221.0,0.021369174240959195,split,asset,0
16,distance_from_ema96_atr,178.0,0.01721137110810288,split,asset,0
17,ret_24,160.0,0.015470895378070006,split,asset,0
18,roofing_filter_over_atr,150.0,0.01450396441694063,split,asset,0
19,atr_pct,135.0,0.013053567975246568,split,asset,0
20,ret_16,118.0,0.011409785341326629,split,asset,0
21,frama_slope_over_atr,91.0,0.008799071746277316,split,asset,0
22,close_minus_decycler_over_atr,85.0,0.00821891316959969,split,asset,0
23,ret_4,62.0,0.005994971959002127,split,asset,0
24,lag_close_ret_16,61.0,0.00589827886288919,split,asset,0
25,rolling_return_48,58.0,0.005608199574550377,split,asset,0
26,distance_from_ema24_atr,57.0,0.005511506478437439,split,asset,0
27,lag_close_ret_1,54.0,0.005221427190098627,split,asset,0
28,range_to_atr,52.0,0.0050280409978727516,split,asset,0
29,upper_wick_ratio,52.0,0.0050280409978727516,split,asset,0
30,lag_close_ret_2,51.0,0.004931347901759814,split,asset,0
31,close_location,49.0,0.004737961709533939,split,asset,0
32,rolling_return_24,48.0,0.004641268613421002,split,asset,0
33,instantaneous_trendline_slope_over_atr,47.0,0.004544575517308064,split,asset,0
