metric,value
counterfactual.baseline.avg_r,0.43802644126108925
counterfactual.baseline.median_r,0.1596211191494869
counterfactual.baseline.profit_factor,1.3364346202836257
counterfactual.baseline.trade_count,198
counterfactual.baseline.win_rate,0.5252525252525253
counterfactual.best_policy_by_avg_r,trail_0_5r_after_1_0r
counterfactual.best_policy_by_profit_factor,exit_at_first_0_5r
counterfactual.breakeven_after_0_5r.avg_r,0.05638703195709011
counterfactual.breakeven_after_0_5r.median_r,0.0
counterfactual.breakeven_after_0_5r.profit_factor,1.597257790441904
counterfactual.breakeven_after_0_5r.trade_count,198
counterfactual.breakeven_after_0_5r.win_rate,0.025252525252525252
counterfactual.breakeven_after_1_0r.avg_r,0.2649889814815525
counterfactual.breakeven_after_1_0r.median_r,0.0
counterfactual.breakeven_after_1_0r.profit_factor,1.7882097105482708
counterfactual.breakeven_after_1_0r.trade_count,198
counterfactual.breakeven_after_1_0r.win_rate,0.13636363636363635
counterfactual.exit_at_first_0_5r.avg_r,0.38538810711072696
counterfactual.exit_at_first_0_5r.median_r,0.5
counterfactual.exit_at_first_0_5r.profit_factor,5.082074216828829
counterfactual.exit_at_first_0_5r.trade_count,198
counterfactual.exit_at_first_0_5r.win_rate,0.9595959595959596
counterfactual.exit_at_first_1_0r.avg_r,0.5595054117043097
counterfactual.exit_at_first_1_0r.median_r,1.0
counterfactual.exit_at_first_1_0r.profit_factor,2.664248815720463
counterfactual.exit_at_first_1_0r.trade_count,198
counterfactual.exit_at_first_1_0r.win_rate,0.898989898989899
counterfactual.partial_50pct_at_1r.avg_r,0.4987659264826994
counterfactual.partial_50pct_at_1r.median_r,0.5627798933091435
counterfactual.partial_50pct_at_1r.profit_factor,1.7410967764095462
counterfactual.partial_50pct_at_1r.trade_count,198
counterfactual.partial_50pct_at_1r.win_rate,0.6818181818181818
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.avg_r,0.4142802775388255
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.median_r,0.06613419478114516
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.profit_factor,1.3196924361168043
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.trade_count,198
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.win_rate,0.51010101010101
counterfactual.trail_0_5r_after_1_0r.avg_r,0.7426419376024739
counterfactual.trail_0_5r_after_1_0r.median_r,0.895878105334628
counterfactual.trail_0_5r_after_1_0r.profit_factor,3.20898840172871
counterfactual.trail_0_5r_after_1_0r.trade_count,198
counterfactual.trail_0_5r_after_1_0r.win_rate,0.898989898989899
