trade_id,asset,side,signal_timestamp,entry_timestamp,exit_timestamp,entry_price,exit_price,raw_entry_price,raw_exit_price,bars_held,position_size,gross_return,net_return,entry_cost,exit_cost,holding_cost,total_cost,entry_turnover,exit_turnover,holding_turnover,total_turnover,trade_r,gross_trade_r,total_cost_r,max_favorable_r,max_adverse_r,time_to_mfe,time_to_mae,exit_reason,risk_distance,risk_distance_source,was_ever_positive,was_ever_0_5r,lost_but_reached_0_5r,was_ever_1r,lost_but_reached_1r,was_ever_1_5r,lost_but_reached_1_5r,was_ever_2r,lost_but_reached_2r,lost_but_was_positive,giveback_r,capture_ratio,positive_mfe_capture_ratio,abs_mae_r,pred_prob,pred_is_oos
0,ETHUSD,long,2022-03-18 00:00:00,2022-03-18 00:00:00,2022-03-18 12:00:00,2809.1,2804.1,2809.1,2804.1,24,1.0,-0.001779929514791334,-0.001979314381474806,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,-0.3021536549755927,-0.27163199723794795,0.030521657737644783,0.3123767968236401,-2.156758058069297,17,1,position_exit,18.407257064122792,atr_48,True,False,False,False,False,False,False,False,False,True,0.6145304517992328,-0.9672730434782609,-0.9672730434782609,2.156758058069297,0.7908576130867004,True
1,ETHUSD,short,2022-03-24 12:00:00,2022-03-24 12:00:00,2022-03-25 00:00:00,3039.0,3098.1000000000004,3039.0,3098.1000000000004,24,1.0,-0.019717811184947087,-0.019913406425474567,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,-3.079696000140589,-3.048346005183725,0.0313499949568639,1.7975441333443636,-4.685993816767188,3,7,position_exit,19.387562927404097,atr_48,True,True,True,True,True,True,True,False,False,True,4.8772401334849524,-1.7132797704447782,-1.7132797704447782,4.685993816767188,0.2723688781261444,True
2,ETHUSD,short,2022-03-25 22:00:00,2022-03-25 22:00:00,2022-03-26 10:30:00,3109.95,3125.0,3109.95,3125.0,24,1.0,-0.004990494252963051,-0.005189553151947912,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,-0.7880842375690943,-0.7568067472870309,0.03127749028206343,1.171667588823083,-1.5538424246623948,5,18,position_exit,19.886186340107024,atr_48,True,True,True,True,True,False,False,False,False,True,1.9597518263921772,-0.6726175965665393,-0.6726175965665393,1.5538424246623948,0.2731088697910309,True
3,ETHUSD,long,2022-03-28 13:30:00,2022-03-28 13:30:00,2022-03-29 01:30:00,3380.3,3390.8500000000004,3380.3,3390.8500000000004,24,1.0,0.003121024761115976,0.0029208542905958534,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,0.5954139873923537,0.6361814601860376,0.04076747279368391,3.1477414428161588,-3.7899530590229387,12,20,position_exit,16.58331884886281,atr_48,True,True,False,True,False,True,False,True,False,False,2.552327455423805,0.18915593869732217,0.18915593869732217,3.7899530590229387,0.9180877804756165,True
4,ETHUSD,short,2022-04-03 06:00:00,2022-04-03 06:00:00,2022-04-03 18:00:00,3502.35,3496.9,3502.35,3496.9,24,1.0,0.0013701430416444005,0.0011697929798717421,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,0.21266649223514628,0.24403096362830698,0.03136447139316072,1.3612002374863856,-0.7970185601071658,6,18,position_exit,22.333231484103486,atr_48,True,True,False,True,False,False,False,False,False,False,1.1485337452512394,0.15623453947367777,0.15623453947367777,0.7970185601071658,0.2603893280029297,True
5,ETHUSD,long,2022-04-04 15:00:00,2022-04-04 15:00:00,2022-04-05 03:00:00,3433.8,3524.05,3433.8,3524.05,24,1.0,0.02628283534276954,0.02607782927310942,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,4.254043492537447,4.286662979158688,0.03261948662124123,5.376734063609559,-1.166067325632649,15,6,position_exit,21.053672854335915,atr_48,True,True,False,True,False,True,False,True,False,False,1.1226905710721127,0.7911946996466444,0.7911946996466444,1.166067325632649,0.7807443737983704,True
6,ETHUSD,short,2022-04-08 07:30:00,2022-04-08 07:30:00,2022-04-08 19:30:00,3286.3,3238.45,3286.3,3238.45,24,1.0,0.013975260949121715,0.013773205797526389,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,2.0459758659310374,2.0744704627194803,0.028494596788442954,3.2255089326296416,-1.166212235050216,12,2,position_exit,23.066127409340158,atr_48,True,True,False,True,False,True,False,True,False,False,1.1795330666986041,0.6343110215053804,0.6343110215053804,1.166212235050216,0.13196416199207306,True
7,ETHUSD,short,2022-04-11 18:00:00,2022-04-11 18:00:00,2022-04-12 06:00:00,3025.9,3015.8,3025.9,3015.8,24,1.0,0.002765569099012044,0.0025651503800907527,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,0.4622165292963629,0.49167724568693966,0.029460716390576718,3.6754091137984433,-0.6912689988865858,7,2,position_exit,20.541930887789697,atr_48,True,True,False,True,False,True,False,True,False,False,3.2131925845020803,0.12575920529801204,0.12575920529801204,0.6912689988865858,0.26753661036491394,True
8,ETHUSD,long,2022-04-13 11:30:00,2022-04-13 11:30:00,2022-04-13 23:30:00,3014.2,3118.6,3014.2,3118.6,24,1.0,0.034636056001592586,0.03442913581945506,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,5.248996657599533,5.279482127000308,0.03048546940077455,5.823106962874381,-0.8470433489200677,23,3,position_exit,19.774666811746176,atr_48,True,True,False,True,False,True,False,True,False,False,0.5741103052748482,0.9014082501085541,0.9014082501085541,0.8470433489200677,0.7691942453384399,True
9,ETHUSD,long,2022-04-20 07:00:00,2022-04-20 07:00:00,2022-04-20 19:00:00,3092.2,3071.75,3092.2,3071.75,24,1.0,-0.006613414397515616,-0.006811372001163218,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,-1.3666582220823353,-1.3265415304400208,0.04011669164231461,4.852093226254996,-3.528795073639965,9,23,position_exit,15.416026962394797,atr_48,True,True,True,True,True,True,True,True,True,True,6.218751448337331,-0.2816636363636333,-0.2816636363636333,3.528795073639965,0.9148426651954651,True
