rank,feature,mean_abs_shap,asset,fold
1,bollinger_bandwidth,0.3244680799683979,asset,0
2,atr_over_price_48,0.26719791089769596,asset,0
3,ema_trend_48_192,0.23752309247768147,asset,0
4,vol_rolling_192,0.2357365265133724,asset,0
5,vol_rolling_96,0.18601405772697654,asset,0
6,atr_48,0.17736157061847949,asset,0
7,bollinger_bandwidth_rank_192,0.13865981470437436,asset,0
8,ret_48,0.12846459884098402,asset,0
9,atr_pct_rank_192,0.12290787793210475,asset,0
10,bollinger_percent_b,0.10999942156446751,asset,0
11,mama_minus_fama_over_atr,0.10988808908138155,asset,0
12,vol_rolling_48,0.10933308311796999,asset,0
13,close_over_bb_mid_192,0.09670360991813062,asset,0
14,close_over_bb_upper_192,0.08489836256996235,asset,0
15,atr_pct,0.0838393767305619,asset,0
16,vol_rolling_24,0.08242947851436938,asset,0
17,frama_slope_over_atr,0.07637079941883583,asset,0
18,ret_16,0.05384351584581121,asset,0
19,close_minus_decycler_over_atr,0.0430557703916086,asset,0
20,distance_from_ema96_atr,0.03850446113840218,asset,0
21,roofing_filter_over_atr,0.03734257182829477,asset,0
22,ret_24,0.031066555368511297,asset,0
23,ema_alignment_score,0.02714082264613013,asset,0
24,instantaneous_trendline_slope_over_atr,0.02580439943469063,asset,0
25,close_location,0.01767478794023235,asset,0
26,rolling_return_48,0.015420531620818877,asset,0
27,ret_4,0.014763406658382178,asset,0
28,range_to_atr,0.014703410396850978,asset,0
29,rolling_return_24,0.014508585619912496,asset,0
30,lag_close_ret_1,0.014506694231365323,asset,0
31,close_ret,0.014364983142420448,asset,0
32,lag_close_ret_2,0.012818894160968658,asset,0
33,lag_close_ret_4,0.012742690860658532,asset,0
34,upper_wick_ratio,0.01159422366869284,asset,0
35,distance_from_ema24_atr,0.0107000483077837,asset,0
36,supersmoother_slope_over_atr,0.010555782231588545,asset,0
37,decycler_slope_over_atr,0.00948700181482466,asset,0
38,lower_wick_ratio,0.009130465009431935,asset,0
39,lag_close_ret_24,0.008246028411384176,asset,0
40,lag_close_ret_16,0.007423141201501317,asset,0
41,lag_close_ret_8,0.005946257831999707,asset,0
42,ret_8,0.005748860905062306,asset,0
43,lag_close_ret_48,0.005650793777264975,asset,0
44,ret_1,0.005347331754545662,asset,0
45,dominant_cycle_phase_normalized,0.004326423340356058,asset,0
46,body_ratio,0.0039689038639732195,asset,0
1,bollinger_bandwidth,0.31534773216722717,asset,1
2,ema_trend_48_192,0.21308349267548252,asset,1
3,vol_rolling_192,0.19222177046932662,asset,1
4,atr_48,0.18019898223167488,asset,1
5,atr_over_price_48,0.17601862032183846,asset,1
6,vol_rolling_96,0.15855674630142114,asset,1
7,ret_48,0.14535270220336227,asset,1
8,bollinger_bandwidth_rank_192,0.1307768346853198,asset,1
9,vol_rolling_48,0.1127409403128535,asset,1
10,atr_pct_rank_192,0.11042567295716299,asset,1
11,close_over_bb_mid_192,0.10242015586805772,asset,1
12,mama_minus_fama_over_atr,0.08882991242263723,asset,1
