metric,value
counterfactual.baseline.avg_r,0.18831208796000604
counterfactual.baseline.median_r,-0.043074347578100775
counterfactual.baseline.profit_factor,1.155690650426959
counterfactual.baseline.trade_count,865
counterfactual.baseline.win_rate,0.48786127167630056
counterfactual.best_policy_by_avg_r,trail_0_5r_after_1_0r
counterfactual.best_policy_by_profit_factor,exit_at_first_0_5r
counterfactual.breakeven_after_0_5r.avg_r,-0.0906953668625623
counterfactual.breakeven_after_0_5r.median_r,0.0
counterfactual.breakeven_after_0_5r.profit_factor,0.45963489367840876
counterfactual.breakeven_after_0_5r.trade_count,865
counterfactual.breakeven_after_0_5r.win_rate,0.019653179190751446
counterfactual.breakeven_after_1_0r.avg_r,-0.27266640642150003
counterfactual.breakeven_after_1_0r.median_r,0.0
counterfactual.breakeven_after_1_0r.profit_factor,0.5220543553867985
counterfactual.breakeven_after_1_0r.trade_count,865
counterfactual.breakeven_after_1_0r.win_rate,0.11213872832369942
counterfactual.exit_at_first_0_5r.avg_r,0.2957429130136889
counterfactual.exit_at_first_0_5r.median_r,0.5
counterfactual.exit_at_first_0_5r.profit_factor,2.762043157912029
counterfactual.exit_at_first_0_5r.trade_count,865
counterfactual.exit_at_first_0_5r.win_rate,0.9271676300578034
counterfactual.exit_at_first_1_0r.avg_r,0.20826105356504324
counterfactual.exit_at_first_1_0r.median_r,1.0
counterfactual.exit_at_first_1_0r.profit_factor,1.3650521705270124
counterfactual.exit_at_first_1_0r.trade_count,865
counterfactual.exit_at_first_1_0r.win_rate,0.7895953757225433
counterfactual.partial_50pct_at_1r.avg_r,0.19828657076252465
counterfactual.partial_50pct_at_1r.median_r,0.44243565287102193
counterfactual.partial_50pct_at_1r.profit_factor,1.2564225134368836
counterfactual.partial_50pct_at_1r.trade_count,865
counterfactual.partial_50pct_at_1r.win_rate,0.6115606936416185
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.avg_r,0.17236917862070128
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.median_r,-0.18501770163149234
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.profit_factor,1.1496024303829424
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.trade_count,865
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.win_rate,0.4554913294797688
counterfactual.trail_0_5r_after_1_0r.avg_r,0.3689209096396513
counterfactual.trail_0_5r_after_1_0r.median_r,0.7337881093213878
counterfactual.trail_0_5r_after_1_0r.profit_factor,1.646666174550458
counterfactual.trail_0_5r_after_1_0r.trade_count,865
counterfactual.trail_0_5r_after_1_0r.win_rate,0.7895953757225433
