trade_id,asset,side,signal_timestamp,entry_timestamp,exit_timestamp,entry_price,exit_price,raw_entry_price,raw_exit_price,bars_held,position_size,gross_return,net_return,entry_cost,exit_cost,holding_cost,total_cost,entry_turnover,exit_turnover,holding_turnover,total_turnover,trade_r,gross_trade_r,total_cost_r,max_favorable_r,max_adverse_r,time_to_mfe,time_to_mae,exit_reason,risk_distance,risk_distance_source,was_ever_positive,was_ever_0_5r,lost_but_reached_0_5r,was_ever_1r,lost_but_reached_1r,was_ever_1_5r,lost_but_reached_1_5r,was_ever_2r,lost_but_reached_2r,lost_but_was_positive,giveback_r,capture_ratio,positive_mfe_capture_ratio,abs_mae_r,pred_prob,pred_is_oos
0,ETHUSD,long,2022-03-14 15:00:00,2022-03-14 15:00:00,2022-03-15 03:00:00,2582.2,2552.6,2582.2,2552.6,24,1.0,-0.011463093486174358,-0.011661185954611852,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,-1.9675115906771168,-1.9337724871878168,0.033739103489299975,1.3425346152604767,-4.439183800824736,19,7,reversal,15.30686789480888,atr_48,True,True,True,True,True,False,False,False,False,True,3.3100462059375935,-1.4655201946471845,-1.4655201946471845,4.439183800824736,0.27176225185394287,True
1,ETHUSD,short,2022-03-15 03:00:00,2022-03-15 03:00:00,2022-03-15 15:00:00,2552.6,2575.05,2552.6,2575.05,24,1.0,-0.008996984694135346,-0.009195798829987112,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,-1.3366035456162537,-1.3068845827134972,0.029718962902756635,2.523538826754089,-1.3418124557481506,8,24,position_exit,17.17825758827694,atr_48,True,True,True,True,True,True,True,True,True,True,3.8601423723703427,-0.5296544405997766,-0.5296544405997766,1.3418124557481506,0.2857271134853363,True
2,ETHUSD,long,2022-03-16 03:00:00,2022-03-16 03:00:00,2022-03-16 18:00:00,2645.2,2654.7,2645.2,2654.7,30,1.0,0.003591410857402222,0.0033887880135718973,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,0.43278860509724243,0.4583112340734774,0.025522628976234994,3.8474022018273497,-1.8115354567851527,24,2,position_exit,20.728272173395908,atr_48,True,True,False,True,False,True,False,True,False,False,3.4146135967301072,0.11248852664576803,0.11248852664576803,1.8115354567851527,0.7270287871360779,True
3,ETHUSD,long,2022-03-17 06:00:00,2022-03-17 06:00:00,2022-03-18 00:00:00,2762.4,2809.1,2762.4,2809.1,36,1.0,0.016905589342600447,0.016702030170503868,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,2.189244871313186,2.215454600600981,0.026209729287795185,3.5319185227996424,-0.68076602823606,16,1,position_exit,21.079195207760797,atr_48,True,True,False,True,False,True,False,True,False,False,1.3426736514864563,0.6198458025520474,0.6198458025520474,0.68076602823606,0.7753289341926575,True
4,ETHUSD,long,2022-03-18 12:30:00,2022-03-18 12:30:00,2022-03-19 05:30:00,2807.05,2934.85,2807.05,2934.85,32,1.0,0.04552822357991482,0.045318836298069876,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,7.481205610653704,7.514214650143037,0.03300903948933343,10.512844909589823,-0.9877840854648252,15,2,position_exit,17.007765408666756,atr_48,True,True,False,True,False,True,False,True,False,False,3.0316392989361196,0.7116252237136442,0.7116252237136442,0.9877840854648252,0.35567331314086914,True
5,ETHUSD,short,2022-03-20 08:30:00,2022-03-20 08:30:00,2022-03-20 21:00:00,2926.7,2882.45,2926.7,2882.45,25,1.0,0.01488112343668102,0.014677867024174507,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,2.978270159544939,3.018194910022511,0.03992475047757235,7.308465188901943,-0.11595325078054446,18,1,position_exit,14.661080983557143,atr_48,True,True,False,True,False,True,False,True,False,False,4.330195029357004,0.40750965935604433,0.40750965935604433,0.11595325078054446,0.8088623285293579,True
6,ETHUSD,long,2022-03-21 09:30:00,2022-03-21 09:30:00,2022-03-21 21:30:00,2913.8,2922.25,2913.8,2922.25,24,1.0,0.00289999313611089,0.0026997543160132143,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,0.4566669955622995,0.49049426641381694,0.03382727085151741,2.7891419528028996,-1.439557136930534,13,6,position_exit,17.227520439292512,atr_48,True,True,False,True,False,True,False,True,False,False,2.3324749572406,0.1637302809573317,0.1637302809573317,1.439557136930534,0.6221817135810852,True
7,ETHUSD,long,2022-03-22 09:30:00,2022-03-22 09:30:00,2022-03-22 21:30:00,3007.0,3016.35,3007.0,3016.35,24,1.0,0.003109411373461546,0.0029090056872296266,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,0.4302949673810074,0.45987448791948676,0.029579520538479363,1.1238643902631373,-1.1705896056132594,10,20,position_exit,20.33163449075017,atr_48,True,True,False,True,False,False,False,False,False,False,0.6935694228821299,0.38287089715535855,0.38287089715535855,1.1705896056132594,0.5053154826164246,True
8,ETHUSD,short,2022-03-23 09:30:00,2022-03-23 09:30:00,2022-03-23 21:30:00,2956.75,2999.5,2956.75,2999.5,24,1.0,-0.014888789793146229,-0.015086471219159847,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,-2.3616470883620075,-2.329424741672233,0.032222346689774854,0.9263209499047477,-4.868633933764066,5,13,reversal,18.35217048880098,atr_48,True,True,True,False,False,False,False,False,False,True,3.2879680382667553,-2.5494911764705877,-2.5494911764705877,4.868633933764066,0.3183029592037201,True
9,ETHUSD,long,2022-03-23 21:30:00,2022-03-23 21:30:00,2022-03-24 11:30:00,2999.5,3049.6,2999.5,3049.6,28,1.0,0.016702783797299503,0.016499225059009692,0.0001,0.0001,0.0,0.0002,1.0,1.0,0.0,2.0,2.57334963904462,2.6045364941916374,0.031186855147017287,4.281109387159335,-0.28592716004099866,5,3,position_exit,19.23566827023835,atr_48,True,True,False,True,False,True,False,True,False,False,1.7077597481147144,0.6010941105039429,0.6010941105039429,0.28592716004099866,0.0969630777835846,True
