rank,feature,importance,importance_normalized,importance_type,asset,fold
1,atr_48,1672.6418326348066,0.132871241717559,gain,asset,0
2,vol_rolling_192,1295.9987701773643,0.10295148817762051,gain,asset,0
3,bollinger_bandwidth,1284.413488317281,0.10203117711259571,gain,asset,0
4,ema_trend_48_192,1028.984811667353,0.08174044614164619,gain,asset,0
5,vol_rolling_96,937.3478903919458,0.07446099678227103,gain,asset,0
6,atr_over_price_48,880.7259762138128,0.06996306787813593,gain,asset,0
7,bollinger_bandwidth_rank_192,822.0412913374603,0.065301276694161,gain,asset,0
8,vol_rolling_48,675.2546004131436,0.05364084257719137,gain,asset,0
9,atr_pct_rank_192,601.0869958549738,0.047749119961754107,gain,asset,0
10,mama_minus_fama_over_atr,445.8483900874853,0.0354172830386414,gain,asset,0
11,vol_rolling_24,444.88784762471914,0.03534097951253077,gain,asset,0
12,close_over_bb_upper_192,357.77525636553764,0.028420933664096714,gain,asset,0
13,ret_48,344.53897930681705,0.02736947092162815,gain,asset,0
14,close_over_bb_mid_192,283.7523006722331,0.02254070165825243,gain,asset,0
15,bollinger_percent_b,224.54697623848915,0.017837551934075914,gain,asset,0
16,distance_from_ema96_atr,216.73622500151396,0.017217081851745714,gain,asset,0
17,atr_pct,184.19603945314884,0.014632156152069612,gain,asset,0
18,ret_24,143.04100365191698,0.011362884390985905,gain,asset,0
19,roofing_filter_over_atr,105.00500698760152,0.008341382711339728,gain,asset,0
20,ret_16,83.26864255219698,0.006614690435320247,gain,asset,0
21,rolling_return_48,76.26240099221468,0.006058128954144338,gain,asset,0
22,distance_from_ema24_atr,67.39899868518114,0.005354038426572945,gain,asset,0
23,frama_slope_over_atr,54.85715290158987,0.0043577398824483785,gain,asset,0
24,close_minus_decycler_over_atr,53.94835003092885,0.004285546443575098,gain,asset,0
25,ema_alignment_score,52.218956023454666,0.004148166925313241,gain,asset,0
26,instantaneous_trendline_slope_over_atr,40.779171608388424,0.0032394138793508287,gain,asset,0
27,rolling_return_24,38.260799288749695,0.0030393595397493717,gain,asset,0
28,range_to_atr,15.116825934499502,0.0012008496939127377,gain,asset,0
29,supersmoother_slope_over_atr,13.985228255391121,0.001110957891726378,gain,asset,0
30,ret_4,12.721741575747728,0.001010589097438027,gain,asset,0
31,decycler_slope_over_atr,11.948782347142696,0.0009491867992903034,gain,asset,0
32,close_ret,11.81905622035265,0.0009388816214491808,gain,asset,0
33,lag_close_ret_16,11.465395256876945,0.0009107875187864352,gain,asset,0
34,close_location,10.553460985422134,0.0008383453278470115,gain,asset,0
35,lag_close_ret_2,10.172608643770218,0.0008080911977882072,gain,asset,0
36,lag_close_ret_24,9.440053321421146,0.0007498985032087578,gain,asset,0
37,upper_wick_ratio,8.687474753707647,0.0006901152030239255,gain,asset,0
38,lag_close_ret_1,8.656128089874983,0.000687625088245086,gain,asset,0
39,lag_close_ret_4,8.148483984172344,0.0006472988801117778,gain,asset,0
40,lag_close_ret_48,7.827670469880104,0.0006218141115426237,gain,asset,0
41,body_ratio,6.8641351237893105,0.0005452728369099247,gain,asset,0
42,lag_close_ret_8,5.903538756072521,0.0004689650287004107,gain,asset,0
43,ret_8,5.888555020093918,0.0004677747514000344,gain,asset,0
44,dominant_cycle_phase_normalized,5.678367529064417,0.00045107788756362354,gain,asset,0
45,lower_wick_ratio,5.36053666844964,0.000425830054894317,gain,asset,0
46,ret_1,2.385146349668503,0.00018947114138556333,gain,asset,0
1,atr_48,1186.0,0.11299542682926829,split,asset,0
2,vol_rolling_192,1014.0,0.09660823170731707,split,asset,0
3,bollinger_bandwidth,900.0,0.0857469512195122,split,asset,0
4,vol_rolling_96,737.0,0.0702172256097561,split,asset,0
5,ema_trend_48_192,732.0,0.06974085365853659,split,asset,0
6,atr_over_price_48,604.0,0.057545731707317076,split,asset,0
7,bollinger_bandwidth_rank_192,602.0,0.05735518292682927,split,asset,0
8,vol_rolling_48,539.0,0.051352896341463415,split,asset,0
9,atr_pct_rank_192,473.0,0.045064786585365856,split,asset,0
10,vol_rolling_24,442.0,0.04211128048780488,split,asset,0
11,mama_minus_fama_over_atr,376.0,0.035823170731707314,split,asset,0
12,close_over_bb_upper_192,307.0,0.02924923780487805,split,asset,0
13,ret_48,297.0,0.028296493902439025,split,asset,0
14,close_over_bb_mid_192,242.0,0.02305640243902439,split,asset,0
15,bollinger_percent_b,195.0,0.018578506097560975,split,asset,0
16,distance_from_ema96_atr,190.0,0.018102134146341462,split,asset,0
17,ret_24,175.0,0.016673018292682928,split,asset,0
18,atr_pct,129.0,0.012290396341463415,split,asset,0
19,roofing_filter_over_atr,128.0,0.012195121951219513,split,asset,0
20,ret_16,111.0,0.010575457317073171,split,asset,0
21,frama_slope_over_atr,89.0,0.008479420731707318,split,asset,0
22,close_minus_decycler_over_atr,78.0,0.00743140243902439,split,asset,0
23,rolling_return_48,68.0,0.0064786585365853655,split,asset,0
24,distance_from_ema24_atr,65.0,0.006192835365853659,split,asset,0
25,close_ret,59.0,0.005621189024390244,split,asset,0
26,instantaneous_trendline_slope_over_atr,59.0,0.005621189024390244,split,asset,0
27,supersmoother_slope_over_atr,50.0,0.004763719512195122,split,asset,0
28,lag_close_ret_1,46.0,0.004382621951219513,split,asset,0
29,range_to_atr,45.0,0.00428734756097561,split,asset,0
30,ret_4,44.0,0.004192073170731708,split,asset,0
31,lag_close_ret_16,44.0,0.004192073170731708,split,asset,0
32,rolling_return_24,43.0,0.004096798780487805,split,asset,0
33,lag_close_ret_2,40.0,0.0038109756097560975,split,asset,0
34,lag_close_ret_4,39.0,0.003715701219512195,split,asset,0
35,close_location,39.0,0.003715701219512195,split,asset,0
36,upper_wick_ratio,39.0,0.003715701219512195,split,asset,0
37,lag_close_ret_24,38.0,0.003620426829268293,split,asset,0
38,lag_close_ret_48,36.0,0.003429878048780488,split,asset,0
39,ema_alignment_score,34.0,0.0032393292682926828,split,asset,0
40,decycler_slope_over_atr,34.0,0.0032393292682926828,split,asset,0
41,lower_wick_ratio,27.0,0.002572408536585366,split,asset,0
42,lag_close_ret_8,26.0,0.0024771341463414634,split,asset,0
43,body_ratio,24.0,0.0022865853658536584,split,asset,0
44,dominant_cycle_phase_normalized,22.0,0.002096036585365854,split,asset,0
45,ret_8,20.0,0.0019054878048780487,split,asset,0
46,ret_1,9.0,0.000857469512195122,split,asset,0
1,atr_48,1663.197024129331,0.11900058576864268,gain,asset,1
2,vol_rolling_192,1445.0951482877135,0.10339554883925117,gain,asset,1
3,bollinger_bandwidth,1409.773095086217,0.10086828059589338,gain,asset,1
4,ema_trend_48_192,1247.4319053217769,0.089252881821079,gain,asset,1
5,vol_rolling_96,1158.1559158824384,0.08286524711260666,gain,asset,1
6,atr_over_price_48,942.7347946092486,0.06745201630078072,gain,asset,1
7,bollinger_bandwidth_rank_192,936.4513273611665,0.06700243860653775,gain,asset,1
8,vol_rolling_48,727.0377148464322,0.05201904085170679,gain,asset,1
9,atr_pct_rank_192,691.3895803168416,0.049468441717006324,gain,asset,1
10,vol_rolling_24,540.6948963068426,0.03868634229688619,gain,asset,1
11,mama_minus_fama_over_atr,509.88666555285454,0.03648203489792406,gain,asset,1
12,close_over_bb_upper_192,418.53748197853565,0.029946064596677344,gain,asset,1
13,ret_48,341.84480994939804,0.024458757462751102,gain,asset,1
14,close_over_bb_mid_192,316.8483680151403,0.022670279495827304,gain,asset,1
15,bollinger_percent_b,272.3743848092854,0.01948819705088543,gain,asset,1
16,atr_pct,236.68144784867764,0.01693439233352846,gain,asset,1
17,distance_from_ema96_atr,180.6209719106555,0.012923304423732648,gain,asset,1
18,ret_24,156.0901354327798,0.011168140202109439,gain,asset,1
19,roofing_filter_over_atr,107.5960070900619,0.007698419179644199,gain,asset,1
20,ret_16,102.721773725003,0.007349671185750502,gain,asset,1
21,distance_from_ema24_atr,74.00350246578455,0.005294898929349431,gain,asset,1
22,frama_slope_over_atr,59.54634154587984,0.004260499160073263,gain,asset,1
23,rolling_return_48,57.8850574195385,0.004141635440805693,gain,asset,1
24,close_minus_decycler_over_atr,54.40717900544405,0.0038927956686650375,gain,asset,1
25,ema_alignment_score,51.19715053960681,0.0036631203732991023,gain,asset,1
26,rolling_return_24,43.97202993929386,0.0031461680392024113,gain,asset,1
27,decycler_slope_over_atr,33.89384500682354,0.0024250809442585607,gain,asset,1
28,instantaneous_trendline_slope_over_atr,25.79333709180355,0.0018454952590235042,gain,asset,1
29,supersmoother_slope_over_atr,16.353132847696543,0.0011700552368695172,gain,asset,1
30,ret_4,13.696691006422043,0.0009799886779556792,gain,asset,1
31,upper_wick_ratio,13.661698028445244,0.0009774849548148756,gain,asset,1
32,ret_8,12.67701143026352,0.000907031316260839,gain,asset,1
33,lag_close_ret_24,12.47494724392891,0.0008925737648175454,gain,asset,1
34,lag_close_ret_48,12.179887719452381,0.0008714624618631013,gain,asset,1
35,lag_close_ret_1,11.753209974616766,0.000840933967142843,gain,asset,1
36,lag_close_ret_16,9.854883953928947,0.000705110065846504,gain,asset,1
37,lag_close_ret_2,9.595720954239368,0.0006865671341762389,gain,asset,1
38,range_to_atr,9.571592684835196,0.0006848407733476515,gain,asset,1
39,lag_close_ret_4,9.374663136899471,0.000670750601696597,gain,asset,1
40,close_ret,8.968447901308537,0.0006416861852250886,gain,asset,1
41,close_location,7.137191668152809,0.0005106610803959783,gain,asset,1
42,lower_wick_ratio,6.096249908208847,0.00043618242429736034,gain,asset,1
43,lag_close_ret_8,5.620717499405146,0.0004021584124823815,gain,asset,1
44,body_ratio,4.8262759745121,0.0003453166760857591,gain,asset,1
45,dominant_cycle_phase_normalized,4.431319996714592,0.00031705785164772563,gain,asset,1
46,ret_1,2.241249840706587,0.00016035986117614735,gain,asset,1
1,atr_48,1159.0,0.10624255202126684,split,asset,1
2,vol_rolling_192,1033.0,0.09469245577046476,split,asset,1
3,bollinger_bandwidth,945.0,0.08662572188101568,split,asset,1
4,vol_rolling_96,795.0,0.07287560729672747,split,asset,1
5,ema_trend_48_192,793.0,0.07269227243560362,split,asset,1
6,bollinger_bandwidth_rank_192,646.0,0.05921716014300119,split,asset,1
7,atr_over_price_48,603.0,0.05527546062883858,split,asset,1
8,vol_rolling_48,555.0,0.050875423961866346,split,asset,1
9,atr_pct_rank_192,532.0,0.04876707305894216,split,asset,1
10,vol_rolling_24,468.0,0.04290035750297919,split,asset,1
11,mama_minus_fama_over_atr,426.0,0.039050325419378494,split,asset,1
12,close_over_bb_upper_192,304.0,0.02786689889082409,split,asset,1
13,ret_48,269.0,0.024658538821156845,split,asset,1
14,close_over_bb_mid_192,259.0,0.023741864515537628,split,asset,1
15,bollinger_percent_b,193.0,0.01769181409845082,split,asset,1
16,distance_from_ema96_atr,168.0,0.015400128334402787,split,asset,1
17,ret_24,164.0,0.0150334586121551,split,asset,1
18,roofing_filter_over_atr,159.0,0.014575121459345494,split,asset,1
19,ret_16,140.0,0.012833440278668989,split,asset,1
20,atr_pct,133.0,0.01219176826473554,split,asset,1
21,close_minus_decycler_over_atr,100.0,0.009166743056192136,split,asset,1
22,frama_slope_over_atr,95.0,0.008708405903382527,split,asset,1
23,distance_from_ema24_atr,81.0,0.007425061875515629,split,asset,1
24,rolling_return_48,56.0,0.005133376111467596,split,asset,1
25,ema_alignment_score,56.0,0.005133376111467596,split,asset,1
26,lag_close_ret_48,55.0,0.0050417086809056745,split,asset,1
27,upper_wick_ratio,52.0,0.0047667063892199105,split,asset,1
28,ret_4,51.0,0.004675038958657989,split,asset,1
29,lag_close_ret_1,50.0,0.004583371528096068,split,asset,1
30,rolling_return_24,49.0,0.004491704097534146,split,asset,1
31,close_ret,49.0,0.004491704097534146,split,asset,1
32,supersmoother_slope_over_atr,47.0,0.004308369236410303,split,asset,1
33,lag_close_ret_24,46.0,0.004216701805848382,split,asset,1
34,instantaneous_trendline_slope_over_atr,43.0,0.003941699514162618,split,asset,1
35,lag_close_ret_16,42.0,0.003850032083600697,split,asset,1
36,lag_close_ret_2,40.0,0.003666697222476854,split,asset,1
37,decycler_slope_over_atr,39.0,0.0035750297919149325,split,asset,1
38,lag_close_ret_4,36.0,0.0033000275002291685,split,asset,1
39,close_location,28.0,0.002566688055733798,split,asset,1
40,range_to_atr,28.0,0.002566688055733798,split,asset,1
41,ret_8,27.0,0.0024750206251718766,split,asset,1
42,lower_wick_ratio,25.0,0.002291685764048034,split,asset,1
43,lag_close_ret_8,24.0,0.002200018333486112,split,asset,1
44,dominant_cycle_phase_normalized,18.0,0.0016500137501145842,split,asset,1
45,body_ratio,17.0,0.001558346319552663,split,asset,1
46,ret_1,11.0,0.0010083417361811348,split,asset,1
1,atr_48,1814.1538581624627,0.12189773224627737,gain,asset,2
2,vol_rolling_192,1711.415000770241,0.11499444029375766,gain,asset,2
3,bollinger_bandwidth,1473.4856125600636,0.09900734375998203,gain,asset,2
4,vol_rolling_96,1207.7828555852175,0.08115408209692578,gain,asset,2
5,ema_trend_48_192,1088.8618860058486,0.07316347179503184,gain,asset,2
6,bollinger_bandwidth_rank_192,1027.5828867033124,0.06904597590806973,gain,asset,2
7,atr_over_price_48,886.7360407710075,0.059582108752624055,gain,asset,2
8,vol_rolling_48,825.1550794318318,0.05544432324837,gain,asset,2
9,atr_pct_rank_192,698.0343236476183,0.046902747911852546,gain,asset,2
10,vol_rolling_24,586.6270816549659,0.03941700457557792,gain,asset,2
11,mama_minus_fama_over_atr,530.9686440005898,0.03567716889410416,gain,asset,2
12,close_over_bb_upper_192,477.7253203615546,0.03209961102620265,gain,asset,2
13,ret_48,378.2261545397341,0.025414002405133824,gain,asset,2
14,close_over_bb_mid_192,377.830060467124,0.025387387810682463,gain,asset,2
15,bollinger_percent_b,356.85699738562107,0.023978152967457617,gain,asset,2
16,atr_pct,209.57313276827335,0.01408176572745395,gain,asset,2
17,distance_from_ema96_atr,191.8260092958808,0.012889290185511467,gain,asset,2
18,ret_24,153.25584211945534,0.010297659993831757,gain,asset,2
19,roofing_filter_over_atr,121.54800179600716,0.008167127452468184,gain,asset,2
20,ema_alignment_score,87.52107726037502,0.005880769590621758,gain,asset,2
21,frama_slope_over_atr,80.40033762156963,0.005402308510829032,gain,asset,2
22,ret_16,78.15951226651669,0.005251741607194086,gain,asset,2
23,distance_from_ema24_atr,78.11628044396639,0.005248836748212007,gain,asset,2
24,rolling_return_48,71.71243387460709,0.004818545584678239,gain,asset,2
25,close_minus_decycler_over_atr,66.52257389575243,0.004469825348380926,gain,asset,2
26,rolling_return_24,61.566417552530766,0.004136808269273503,gain,asset,2
27,instantaneous_trendline_slope_over_atr,37.964341163635254,0.002550923160816444,gain,asset,2
28,decycler_slope_over_atr,30.13786018639803,0.002025041478675011,gain,asset,2
29,ret_8,24.300054371356964,0.0016327840706575763,gain,asset,2
30,supersmoother_slope_over_atr,18.111106052994728,0.0012169324814423643,gain,asset,2
31,ret_4,16.166004694998264,0.0010862360449399593,gain,asset,2
32,range_to_atr,13.373684905469418,0.0008986127909813707,gain,asset,2
33,lag_close_ret_24,12.606578201055527,0.0008470688895431087,gain,asset,2
34,lag_close_ret_48,9.773543626070023,0.0006567099028936406,gain,asset,2
35,lag_close_ret_2,8.839766062796116,0.0005939669514766993,gain,asset,2
36,lag_close_ret_8,8.301042586565018,0.000557768715166733,gain,asset,2
37,close_ret,8.278806578367949,0.0005562746197452025,gain,asset,2
38,upper_wick_ratio,7.618348628282547,0.0005118967264385226,gain,asset,2
39,lag_close_ret_4,7.092442035675049,0.0004765596899882878,gain,asset,2
