fold,train_rows_raw,train_rows,train_rows_dropped_missing,train_rows_not_labeled,train_rows_without_fit,test_rows,test_pred_rows,test_rows_missing_features,test_rows_not_candidates,test_rows_without_prediction,classification_eval_rows,regression_eval_rows,classification_accuracy,regression_rmse
0,35016,35016,,0,0,4380,4380,0,0,0,4380,4380,0.4922374429223744,0.2780181272405882
1,39396,39396,,0,0,4380,4380,0,0,0,4380,4380,0.5570776255707762,0.2718997564503859
2,43752,43752,,0,0,4380,4380,0,0,0,4380,4380,0.4812785388127854,0.294556759444979
3,48108,48108,,0,0,4380,4380,0,0,0,4380,4380,0.5493150684931507,0.2731868419982242
4,52464,52464,,0,0,4380,4380,0,0,0,4380,4380,0.5255707762557078,0.27870449369944905
5,56820,56820,,0,0,4380,4380,0,0,0,4380,4380,0.5073059360730594,0.2663233007460837
6,61176,61176,,0,0,4380,4380,0,0,0,4380,4380,0.5034246575342466,0.26538568202428536
7,65532,65532,,0,0,4380,4380,0,0,0,4380,4380,0.5198630136986301,0.25807019805314824
8,69888,69888,,0,0,4380,4380,0,0,0,4380,4380,0.5353881278538812,0.25997585931369394
9,74244,74244,,0,0,4380,4380,0,0,0,4380,4380,0.5189497716894977,0.2742130757868677
