metric,value
counterfactual.baseline.avg_r,0.41014055576464037
counterfactual.baseline.median_r,0.5452365778760393
counterfactual.baseline.profit_factor,1.3216555118686917
counterfactual.baseline.trade_count,265
counterfactual.baseline.win_rate,0.5509433962264151
counterfactual.best_policy_by_avg_r,trail_0_5r_after_1_0r
counterfactual.best_policy_by_profit_factor,exit_at_first_0_5r
counterfactual.breakeven_after_0_5r.avg_r,-0.09009912476884512
counterfactual.breakeven_after_0_5r.median_r,0.0
counterfactual.breakeven_after_0_5r.profit_factor,0.5288716831337787
counterfactual.breakeven_after_0_5r.trade_count,265
counterfactual.breakeven_after_0_5r.win_rate,0.011320754716981131
counterfactual.breakeven_after_1_0r.avg_r,0.08816308607595841
counterfactual.breakeven_after_1_0r.median_r,0.0
counterfactual.breakeven_after_1_0r.profit_factor,1.1551161353752073
counterfactual.breakeven_after_1_0r.trade_count,265
counterfactual.breakeven_after_1_0r.win_rate,0.1471698113207547
counterfactual.exit_at_first_0_5r.avg_r,0.2785701629993254
counterfactual.exit_at_first_0_5r.median_r,0.5
counterfactual.exit_at_first_0_5r.profit_factor,2.4566433620718438
counterfactual.exit_at_first_0_5r.trade_count,265
counterfactual.exit_at_first_0_5r.win_rate,0.939622641509434
counterfactual.exit_at_first_1_0r.avg_r,0.2755727077926109
counterfactual.exit_at_first_1_0r.median_r,1.0
counterfactual.exit_at_first_1_0r.profit_factor,1.4848488789383196
counterfactual.exit_at_first_1_0r.trade_count,265
counterfactual.exit_at_first_1_0r.win_rate,0.8490566037735849
counterfactual.partial_50pct_at_1r.avg_r,0.3428566317786256
counterfactual.partial_50pct_at_1r.median_r,0.7663977347042159
counterfactual.partial_50pct_at_1r.profit_factor,1.4257919079428774
counterfactual.partial_50pct_at_1r.trade_count,265
counterfactual.partial_50pct_at_1r.win_rate,0.6641509433962264
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.avg_r,0.40553909635958246
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.median_r,0.43513900542007106
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.profit_factor,1.3208378746840752
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.trade_count,265
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.win_rate,0.539622641509434
counterfactual.trail_0_5r_after_1_0r.avg_r,0.49029764732116443
counterfactual.trail_0_5r_after_1_0r.median_r,0.8227168337238817
counterfactual.trail_0_5r_after_1_0r.profit_factor,1.8626408128509757
counterfactual.trail_0_5r_after_1_0r.trade_count,265
counterfactual.trail_0_5r_after_1_0r.win_rate,0.8490566037735849
