probability_bucket,decile,trade_count,avg_pred_prob,actual_win_rate,avg_realized_r,avg_trade_r,median_trade_r,avg_mfe_r,avg_mae_r,avg_giveback_r,profit_factor,expected_r_after_cost,avg_bars_held
"(0.0584, 0.168]","(0.0584, 0.168]",27,0.13135406430120822,0.5555555555555556,-0.14760056857737125,-0.14760056857737125,0.5945492501103102,3.185363822242311,-3.0771316205998893,3.332964390819681,0.914098459258703,-0.18359209424189318,24.037037037037038
"(0.168, 0.218]","(0.168, 0.218]",26,0.19196177216676566,0.6538461538461539,0.46135324162376273,0.46135324162376273,0.9443501248351083,3.167746304246455,-2.664438957047155,2.706393062622692,1.4843021409496044,0.4229310007069671,24.0
"(0.218, 0.285]","(0.218, 0.285]",27,0.24673734605312347,0.6666666666666666,1.9648956243598117,1.9648956243598117,2.0005741250551865,5.333981188239325,-2.2519941039473244,3.3690855638795143,3.440438901369535,1.9202800595148772,24.296296296296298
"(0.285, 0.714]","(0.285, 0.714]",26,0.5302544545668822,0.46153846153846156,-1.4219827188418772,-1.4219827188418772,-0.16223658396572388,3.1407936857523118,-4.580134647527239,4.562776404594188,0.5224535116714999,-1.4662867976934242,24.346153846153847
"(0.714, 0.75]","(0.714, 0.75]",27,0.7294464177555509,0.48148148148148145,0.7795953323907955,0.7795953323907955,-0.03831559766287486,3.101071975210744,-2.759889305563915,2.321476642819948,1.6744647136517552,0.7367139145843173,24.0
"(0.75, 0.776]","(0.75, 0.776]",26,0.7629477198307331,0.6538461538461539,0.5616805157209037,0.5616805157209037,0.7397901281800037,3.949691413351093,-2.8776401924949826,3.38801089763019,1.3592439716506919,0.5223488005547883,24.0
"(0.776, 0.802]","(0.776, 0.802]",26,0.7906720569500556,0.5,0.15312322913235105,0.15312322913235105,0.2153072187947342,2.865434908741491,-3.1439942226141544,2.7123116796091407,1.1367830520104094,0.11417929223483135,24.076923076923077
"(0.802, 0.827]","(0.802, 0.827]",27,0.8124401017471596,0.5925925925925926,0.6672587532923885,0.6672587532923885,0.5327954694084319,3.1864088243705067,-3.350933352212366,2.519150071078118,1.6175916894824245,0.6233181790912646,24.37037037037037
"(0.827, 0.87]","(0.827, 0.87]",26,0.8436275353798499,0.5,0.6977160422083711,0.6977160422083711,-0.05085379757024277,2.2708371520273047,-2.6559412229959887,1.5731211098189337,2.1158890134944572,0.664117960161617,24.192307692307693
"(0.87, 0.985]","(0.87, 0.985]",27,0.901201914857935,0.4444444444444444,0.3261508297083897,0.3261508297083897,-0.25503744176640974,2.948256279917868,-2.364720511839804,2.6221054502094776,1.4156470051846972,0.2844176227289678,24.074074074074073
