timestamp,asset,event_type,side,position_before,position_after,price,signal,target,target_hit_type,target_hit_step,target_exit_timestamp,take_profit,stop_loss,upper_barrier,lower_barrier,trade_r,target_entry_price,target_exit_price,target_lookup_timestamp
2022-03-18 00:00:00,ETHUSD,entry,long,0.0,1.0,2809.1,1.0,-0.028264556246467135,,,,,,,,,,,2022-03-18 00:00:00
2022-03-18 12:00:00,ETHUSD,exit,long,1.0,0.0,2804.1,0.0,0.5232968881412943,,,,,,,,,,,2022-03-18 12:00:00
2022-03-24 05:30:00,ETHUSD,entry,short,0.0,-1.0,3049.5,-1.0,0.1797732589526726,,,,,,,,,,,2022-03-24 05:30:00
2022-03-24 17:30:00,ETHUSD,exit,short,-1.0,0.0,3099.45,0.0,0.16385185185185372,,,,,,,,,,,2022-03-24 17:30:00
2022-03-28 13:30:00,ETHUSD,entry,long,0.0,1.0,3380.3,1.0,0.033004849053652946,,,,,,,,,,,2022-03-28 13:30:00
2022-03-29 01:30:00,ETHUSD,exit,long,1.0,0.0,3390.8500000000004,0.0,0.24473330345136526,,,,,,,,,,,2022-03-29 01:30:00
2022-03-30 11:00:00,ETHUSD,entry,short,0.0,-1.0,3413.3,-1.0,-0.0735019521303685,,,,,,,,,,,2022-03-30 11:00:00
2022-03-30 23:00:00,ETHUSD,exit,short,-1.0,0.0,3391.65,0.0,0.09073420968259206,,,,,,,,,,,2022-03-30 23:00:00
2022-04-04 03:30:00,ETHUSD,entry,short,0.0,-1.0,3490.4,-1.0,-0.28434365460096095,,,,,,,,,,,2022-04-04 03:30:00
2022-04-04 15:30:00,ETHUSD,exit,short,-1.0,0.0,3425.2,0.0,0.41468502294534826,,,,,,,,,,,2022-04-04 15:30:00
2022-04-07 19:00:00,ETHUSD,entry,short,0.0,-1.0,3224.65,-1.0,0.12218045112781944,,,,,,,,,,,2022-04-07 19:00:00
2022-04-08 07:00:00,ETHUSD,exit,short,-1.0,0.0,3250.65,0.0,0.032570046935001686,,,,,,,,,,,2022-04-08 07:00:00
2022-04-11 18:00:00,ETHUSD,entry,short,0.0,-1.0,3025.9,-1.0,-0.03463648834019174,,,,,,,,,,,2022-04-11 18:00:00
2022-04-12 06:00:00,ETHUSD,exit,short,-1.0,0.0,3015.8,0.0,-0.015878266622560963,,,,,,,,,,,2022-04-12 06:00:00
2022-04-12 18:00:00,ETHUSD,entry,long,0.0,1.0,3011.0,1.0,0.17251793129482837,,,,,,,,,,,2022-04-12 18:00:00
2022-04-13 06:00:00,ETHUSD,exit,long,1.0,0.0,3056.7,0.0,0.15591836734693845,,,,,,,,,,,2022-04-13 06:00:00
2022-04-14 01:30:00,ETHUSD,entry,short,0.0,-1.0,3140.2,-1.0,-0.5076335877862588,,,,,,,,,,,2022-04-14 01:30:00
2022-04-14 13:30:00,ETHUSD,exit,short,-1.0,0.0,3047.1,0.0,-0.12250262881177547,,,,,,,,,,,2022-04-14 13:30:00
2022-04-18 13:30:00,ETHUSD,entry,short,0.0,-1.0,2923.5,-1.0,0.4591439688715918,,,,,,,,,,,2022-04-18 13:30:00
2022-04-19 01:30:00,ETHUSD,exit,short,-1.0,0.0,3053.3,0.0,0.2730819245773713,,,,,,,,,,,2022-04-19 01:30:00
2022-04-20 07:00:00,ETHUSD,entry,long,0.0,1.0,3092.2,1.0,-0.07511478420569263,,,,,,,,,,,2022-04-20 07:00:00
2022-04-20 19:00:00,ETHUSD,exit,long,1.0,0.0,3071.75,0.0,0.11868583162217598,,,,,,,,,,,2022-04-20 19:00:00
2022-04-21 07:00:00,ETHUSD,entry,long,0.0,1.0,3086.2,1.0,-0.09684080115630747,,,,,,,,,,,2022-04-21 07:00:00
2022-04-21 19:00:00,ETHUSD,exit,long,1.0,0.0,3062.75,0.0,-0.3614425881728994,,,,,,,,,,,2022-04-21 19:00:00
2022-04-28 19:00:00,ETHUSD,entry,long,0.0,1.0,2967.3,1.0,-0.272838002436055,,,,,,,,,,,2022-04-28 19:00:00
2022-04-29 07:00:00,ETHUSD,exit,long,1.0,0.0,2922.5,0.0,-0.44968238047475845,,,,,,,,,,,2022-04-29 07:00:00
2022-05-06 08:00:00,ETHUSD,entry,long,0.0,1.0,2727.05,1.0,-0.16395045632333818,,,,,,,,,,,2022-05-06 08:00:00
2022-05-06 20:00:00,ETHUSD,exit,long,1.0,0.0,2676.75,0.0,-0.021374927787405254,,,,,,,,,,,2022-05-06 20:00:00
2022-05-07 21:00:00,ETHUSD,entry,long,0.0,1.0,2651.7,1.0,-0.3292358803986713,,,,,,,,,,,2022-05-07 21:00:00
2022-05-08 09:00:00,ETHUSD,exit,long,1.0,0.0,2552.6,0.0,-0.02890173410404394,,,,,,,,,,,2022-05-08 09:00:00
2022-05-12 21:30:00,ETHUSD,entry,long,0.0,1.0,1908.9,1.0,0.4434291857027698,,,,,,,,,,,2022-05-12 21:30:00
2022-05-13 09:30:00,ETHUSD,exit,long,1.0,0.0,2073.9,0.0,-0.0013982102908277373,,,,,,,,,,,2022-05-13 09:30:00
2022-05-13 23:30:00,ETHUSD,entry,short,0.0,-1.0,2005.65,-1.0,-0.10453648915187422,,,,,,,,,,,2022-05-13 23:30:00
2022-05-14 11:30:00,ETHUSD,exit,short,-1.0,0.0,1981.8,0.0,0.2691367312394209,,,,,,,,,,,2022-05-14 11:30:00
2022-05-18 20:00:00,ETHUSD,entry,long,0.0,1.0,1953.3,1.0,-0.015929203539822606,,,,,,,,,,,2022-05-18 20:00:00
2022-05-19 08:00:00,ETHUSD,exit,long,1.0,0.0,1949.7,0.0,0.209198209198209,,,,,,,,,,,2022-05-19 08:00:00
2022-05-20 15:00:00,ETHUSD,entry,long,0.0,1.0,1965.5,1.0,-0.06631621512333243,,,,,,,,,,,2022-05-20 15:00:00
2022-05-21 03:00:00,ETHUSD,exit,long,1.0,0.0,1949.1,0.0,0.13175425610658958,,,,,,,,,,,2022-05-21 03:00:00
2022-05-23 22:00:00,ETHUSD,entry,long,0.0,1.0,1968.2,1.0,0.017415215398715503,,,,,,,,,,,2022-05-23 22:00:00
2022-05-24 10:00:00,ETHUSD,exit,long,1.0,0.0,1970.1,0.0,0.05066404328578552,,,,,,,,,,,2022-05-24 10:00:00
2022-05-25 23:00:00,ETHUSD,entry,long,0.0,1.0,1950.9,1.0,-0.5682967959527837,,,,,,,,,,,2022-05-25 23:00:00
2022-05-26 11:00:00,ETHUSD,exit,long,1.0,0.0,1816.1,0.0,-0.015678254942058285,,,,,,,,,,,2022-05-26 11:00:00
2022-05-31 06:00:00,ETHUSD,entry,long,0.0,1.0,1968.8,1.0,-0.03786574870912203,,,,,,,,,,,2022-05-31 06:00:00
