fold,cumulative_return,annualized_return,annualized_vol,sharpe,sortino,calmar,max_drawdown,profit_factor,hit_rate,avg_turnover,total_turnover,gross_pnl,net_pnl,total_cost,cost_drag,cost_to_gross_pnl,trade_count,trade_rate
0,0.0728156431207152,0.32464770072964133,0.3457613498445397,0.9389357742720769,1.3658731326991074,2.0125257770115463,-0.16131356151458565,1.0481217846231965,0.4804232804232804,0.017351598173515982,76.0,0.09282508223826025,0.08522508223826028,0.0076,0.007599999999999968,0.08187442248090425,74.0,0.016894977168949773
1,0.6178528430960193,5.8510331004416765,0.5085821882866484,11.504596966230958,19.902370682689497,44.96497068365933,-0.13012425031043096,1.257199908652314,0.47692307692307695,0.014155251141552512,62.0,0.5193364178427717,0.5131364178427718,0.006200000000000001,0.006199999999999983,0.011938311635747911,62.0,0.014155251141552512
2,0.29000370466082503,1.7692606211556012,0.3438140570753145,5.14598104628408,8.704020474838803,23.73801552191815,-0.07453279401228718,1.210109618490239,0.48527679623085984,0.015525114155251141,68.0,0.2760410300999998,0.26924103009999983,0.0068000000000000005,0.006799999999999973,0.02463401907150036,67.0,0.015296803652968037
3,0.2110876384827478,1.151306479709413,0.2614370470398234,4.403761795603667,7.040268082583294,12.505921166698428,-0.09206090973731595,1.189949232570729,0.49510337323177367,0.016894977168949773,74.0,0.2074288142080165,0.20002881420801655,0.0074,0.007399999999999962,0.035674889374718376,73.0,0.016666666666666666
4,0.08030474355238648,0.3620251664935643,0.17330134707313471,2.088992224283095,3.091408361290149,6.661081002729941,-0.05434931152243816,1.1061733884539275,0.4852374839537869,0.014155251141552512,62.0,0.08719519392265329,0.08099519392265331,0.006200000000000001,0.006199999999999983,0.07110483641449007,62.0,0.014155251141552512
5,-0.07768494264298564,-0.2763689471418057,0.18133335541708986,-1.5240932728902625,-2.101726171725943,-1.9419222520759052,-0.14231720494801925,0.9107013617778094,0.47091108671789245,0.01643835616438356,72.0,-0.06955715531121287,-0.07675715531121285,0.0072,0.007199999999999984,0.10351199625381076,71.0,0.016210045662100457
6,-0.08241435704476774,-0.29109761258798694,0.19933634897166216,-1.4603338231572087,-1.9460128598577462,-2.4777067804402813,-0.11748670782434545,0.923274954185475,0.4849137931034483,0.016894977168949773,74.0,-0.0736353495704033,-0.08103534957040327,0.0074,0.007399999999999976,0.10049521110679058,74.0,0.016894977168949773
7,0.02593055088903351,0.10782675861786806,0.22856571516271526,0.4717538609896349,0.6856710663873916,1.1540225548608398,-0.0934355729562587,1.032780766972585,0.46859903381642515,0.01141552511415525,50.0,0.037124846531575884,0.03212484653157591,0.005,0.004999999999999977,0.13468069142716424,49.0,0.011187214611872146
8,0.15325346135896356,0.7688828327645574,0.2956561204203499,2.600598396784062,3.931044819937577,8.116897477107232,-0.0947261974089364,1.1412337694198702,0.4992272024729521,0.011872146118721462,52.0,0.15867243988881463,0.15347243988881462,0.0052,0.00520000000000001,0.03277191680952128,51.0,0.011643835616438357
9,0.5118806468522146,4.224804336021516,0.3083740082991572,13.700260794752147,27.5538688730923,81.10301707494722,-0.05209182701695769,1.4737874005771356,0.51994301994302,0.012785388127853882,56.0,0.4306423562464031,0.4250423562464031,0.005600000000000001,0.005600000000000049,0.01300383001990593,55.0,0.012557077625570776
