rank,feature,importance,importance_normalized,importance_type,asset,fold
1,atr_48,914.6153952851892,0.14725882403881896,gain,asset,0
2,vol_rolling_192,665.2041053771973,0.10710203962081388,gain,asset,0
3,bollinger_bandwidth,601.5354308579117,0.09685098307163255,gain,asset,0
4,ema_trend_48_192,542.8382055815309,0.0874003610800289,gain,asset,0
5,vol_rolling_96,412.86373626440763,0.06647365505105257,gain,asset,0
6,atr_over_price_48,408.41553458198905,0.06575746663763077,gain,asset,0
7,bollinger_bandwidth_rank_192,348.07763524353504,0.05604268581570636,gain,asset,0
8,vol_rolling_48,335.8633472006768,0.05407610871353341,gain,asset,0
9,atr_pct_rank_192,262.017252471298,0.042186423578376965,gain,asset,0
10,vol_rolling_24,238.9513634815812,0.03847267055656553,gain,asset,0
11,mama_minus_fama_over_atr,222.28360859118402,0.03578905731631187,gain,asset,0
12,close_over_bb_upper_192,199.87088466249406,0.0321804679723544,gain,asset,0
13,bollinger_percent_b,166.10582442581654,0.026744081170115393,gain,asset,0
14,close_over_bb_mid_192,161.78867170214653,0.026048992462270718,gain,asset,0
15,ret_48,147.95436065644026,0.02382158148003734,gain,asset,0
16,atr_pct,101.79848253540695,0.016390195162225507,gain,asset,0
17,distance_from_ema96_atr,76.49309640750289,0.012315869033173808,gain,asset,0
18,ret_24,59.25089902058244,0.009539766942467814,gain,asset,0
19,ret_16,52.396702440455556,0.008436198236623262,gain,asset,0
20,roofing_filter_over_atr,51.94592163898051,0.008363619695887248,gain,asset,0
21,ema_alignment_score,37.94542798399925,0.006109452269640697,gain,asset,0
22,rolling_return_48,32.26612386666238,0.005195048630702309,gain,asset,0
23,distance_from_ema24_atr,27.038433860987425,0.004353357700674677,gain,asset,0
24,frama_slope_over_atr,17.796512685716152,0.002865350335889893,gain,asset,0
25,decycler_slope_over_atr,17.52631278708577,0.0028218464548784533,gain,asset,0
26,instantaneous_trendline_slope_over_atr,16.82242352515459,0.002708515862041431,gain,asset,0
27,close_minus_decycler_over_atr,15.340172050520778,0.002469864063471695,gain,asset,0
28,rolling_return_24,13.306085091084242,0.0021423632853485347,gain,asset,0
29,ret_8,6.3718241434544325,0.0010259037133905646,gain,asset,0
30,lag_close_ret_1,5.624415526166558,0.0009055662309628026,gain,asset,0
31,supersmoother_slope_over_atr,5.374076584354043,0.000865260088760879,gain,asset,0
32,upper_wick_ratio,5.327554404735565,0.0008577697256009592,gain,asset,0
33,ret_4,4.623992092907429,0.0007444917737843504,gain,asset,0
34,range_to_atr,4.302468977868557,0.0006927245325308192,gain,asset,0
35,lower_wick_ratio,4.054541470482945,0.0006528066464196887,gain,asset,0
36,close_ret,3.9370441287755966,0.0006338888363142549,gain,asset,0
37,lag_close_ret_2,3.4543260019272566,0.0005561681855704055,gain,asset,0
38,lag_close_ret_48,3.2891255132853985,0.000529569869148613,gain,asset,0
39,dominant_cycle_phase_normalized,3.0664188023656607,0.0004937126896995751,gain,asset,0
40,lag_close_ret_24,2.6314423140138388,0.0004236787426553627,gain,asset,0
41,body_ratio,2.3943139128386974,0.00038549958048155267,gain,asset,0
42,lag_close_ret_4,2.1278354972600937,0.0003425948816189264,gain,asset,0
43,close_location,1.796418309211731,0.0002892346324586373,gain,asset,0
44,lag_close_ret_16,1.5943129863590002,0.0002566944059014418,gain,asset,0
45,lag_close_ret_8,1.3475049939006567,0.00021695676872612984,gain,asset,0
46,ret_1,1.308225091546774,0.0002106324577000851,gain,asset,0
1,atr_48,1227.0,0.11594065954833223,split,asset,0
2,vol_rolling_192,1048.0,0.09902674099971652,split,asset,0
3,bollinger_bandwidth,866.0,0.08182934895587263,split,asset,0
4,ema_trend_48_192,795.0,0.07512047623547198,split,asset,0
