rank,feature,mean_abs_shap,asset,fold
1,bollinger_bandwidth,0.02597159627466003,asset,0
2,ema_trend_48_192,0.017240227077783353,asset,0
3,vol_rolling_192,0.01639496677684086,asset,0
4,vol_rolling_96,0.015489933729252723,asset,0
5,atr_48,0.014545035060245435,asset,0
6,atr_over_price_48,0.01218183331289241,asset,0
7,ret_48,0.009269765847070614,asset,0
8,bollinger_percent_b,0.008747473483864877,asset,0
9,bollinger_bandwidth_rank_192,0.008466185487178708,asset,0
10,atr_pct_rank_192,0.008085529132328169,asset,0
11,mama_minus_fama_over_atr,0.007906284691639072,asset,0
12,vol_rolling_48,0.007176211024037674,asset,0
13,vol_rolling_24,0.0071106520044601105,asset,0
14,close_over_bb_mid_192,0.005514089632537714,asset,0
15,ret_16,0.004594656045182585,asset,0
16,close_over_bb_upper_192,0.004500902843104426,asset,0
17,atr_pct,0.0033900395844305643,asset,0
18,frama_slope_over_atr,0.003008752813637793,asset,0
19,ema_alignment_score,0.002885509157801476,asset,0
20,ret_24,0.0026652931388456264,asset,0
21,distance_from_ema96_atr,0.0024405583218845735,asset,0
22,close_minus_decycler_over_atr,0.0023793607275157417,asset,0
23,roofing_filter_over_atr,0.0019124856281363533,asset,0
24,lower_wick_ratio,0.0015005758788472483,asset,0
25,lag_close_ret_1,0.0013919155847801803,asset,0
26,rolling_return_48,0.0012951718269205523,asset,0
27,distance_from_ema24_atr,0.0012834576474505285,asset,0
28,ret_4,0.0012055580545606553,asset,0
29,ret_8,0.001009597763826119,asset,0
30,instantaneous_trendline_slope_over_atr,0.000978572320463681,asset,0
31,range_to_atr,0.0009150704666043147,asset,0
32,decycler_slope_over_atr,0.0008511317861521257,asset,0
33,supersmoother_slope_over_atr,0.0008407818374968408,asset,0
34,lag_close_ret_48,0.000773580888623165,asset,0
35,close_ret,0.0007508813038724347,asset,0
36,lag_close_ret_2,0.0007482061208854942,asset,0
37,rolling_return_24,0.0006123633822730022,asset,0
38,upper_wick_ratio,0.0005279499506422569,asset,0
39,lag_close_ret_4,0.00040114771838714564,asset,0
40,ret_1,0.0003958817061837271,asset,0
41,dominant_cycle_phase_normalized,0.0003486338905970983,asset,0
42,lag_close_ret_24,0.00032670402579857615,asset,0
43,lag_close_ret_16,0.00023604176863726667,asset,0
44,body_ratio,0.00022760457704090658,asset,0
45,close_location,0.00020734428214803593,asset,0
46,lag_close_ret_8,0.0001586742931031329,asset,0
1,bollinger_bandwidth,0.021391135663886694,asset,1
2,ema_trend_48_192,0.015049509671673001,asset,1
3,vol_rolling_192,0.01428367917604489,asset,1
4,atr_48,0.01409026809507139,asset,1
5,vol_rolling_96,0.010949743033001636,asset,1
6,bollinger_bandwidth_rank_192,0.009300107418007665,asset,1
7,atr_over_price_48,0.009183280002391487,asset,1
8,vol_rolling_48,0.008217073377865664,asset,1
9,ema_alignment_score,0.006571055047621443,asset,1
10,ret_48,0.006537477799858048,asset,1
11,mama_minus_fama_over_atr,0.006441881398534176,asset,1
12,close_over_bb_mid_192,0.006367585915564184,asset,1
13,atr_pct_rank_192,0.006219073909904902,asset,1
14,vol_rolling_24,0.005973628328639081,asset,1
15,close_over_bb_upper_192,0.004685358279632297,asset,1
16,bollinger_percent_b,0.004182164124088809,asset,1
17,ret_24,0.002964427569985299,asset,1
18,distance_from_ema96_atr,0.0028439201757130992,asset,1
19,close_minus_decycler_over_atr,0.0022031793655006068,asset,1
20,atr_pct,0.0021045592169316625,asset,1
21,ret_16,0.0018362687733703093,asset,1
22,roofing_filter_over_atr,0.0017878254946572247,asset,1
23,frama_slope_over_atr,0.0015980840272956471,asset,1
24,lower_wick_ratio,0.0012914201522916835,asset,1
25,rolling_return_48,0.0012123861732952364,asset,1
26,lag_close_ret_1,0.000766236723140239,asset,1
27,rolling_return_24,0.0006138178153110496,asset,1
28,upper_wick_ratio,0.0006071500841264165,asset,1
29,close_ret,0.0005483862752259435,asset,1
30,distance_from_ema24_atr,0.0005197380973851812,asset,1
31,lag_close_ret_2,0.0005064127455200667,asset,1
32,instantaneous_trendline_slope_over_atr,0.0004914380137367718,asset,1
33,supersmoother_slope_over_atr,0.00047308346064663624,asset,1
34,decycler_slope_over_atr,0.0004477161636799244,asset,1
35,ret_4,0.0003817156681449617,asset,1
36,ret_8,0.0003602854758015224,asset,1
37,lag_close_ret_48,0.0003564426049989039,asset,1
38,lag_close_ret_16,0.0003463261337909529,asset,1
39,lag_close_ret_8,0.00032092343358304846,asset,1
40,dominant_cycle_phase_normalized,0.00031937450782135705,asset,1
41,ret_1,0.00028919078047977276,asset,1
42,lag_close_ret_4,0.0002718889383148283,asset,1
43,body_ratio,0.00024800278716870656,asset,1
44,range_to_atr,0.0002471010494596208,asset,1
45,lag_close_ret_24,0.0002343296748201092,asset,1
46,close_location,0.00017276221266010946,asset,1
1,vol_rolling_192,0.029885572626718857,asset,2
2,bollinger_bandwidth,0.029205061896361597,asset,2
3,vol_rolling_96,0.02739019940446052,asset,2
4,atr_over_price_48,0.022251146326113184,asset,2
5,atr_48,0.02071084106887701,asset,2
6,ema_trend_48_192,0.015652583342791085,asset,2
7,vol_rolling_24,0.015108004465722741,asset,2
8,vol_rolling_48,0.014690887006659674,asset,2
9,bollinger_bandwidth_rank_192,0.010486584975591797,asset,2
10,mama_minus_fama_over_atr,0.008336522813239697,asset,2
11,close_over_bb_mid_192,0.008190054154339458,asset,2
12,ret_48,0.00796717398681637,asset,2
13,ema_alignment_score,0.006814868458084199,asset,2
14,bollinger_percent_b,0.006519204097974426,asset,2
15,close_over_bb_upper_192,0.005958694982446798,asset,2
16,atr_pct_rank_192,0.005839392510446974,asset,2
17,atr_pct,0.005227218469979917,asset,2
18,ret_16,0.003376452088009276,asset,2
19,distance_from_ema96_atr,0.0022283577691302988,asset,2
20,roofing_filter_over_atr,0.0020969199715976288,asset,2
21,ret_24,0.001899154478702987,asset,2
22,close_minus_decycler_over_atr,0.0018725084961561964,asset,2
23,frama_slope_over_atr,0.001821191612505649,asset,2
24,ret_4,0.0016641867065800436,asset,2
25,rolling_return_48,0.0016313168211123947,asset,2
26,distance_from_ema24_atr,0.0012283697079031601,asset,2
27,lower_wick_ratio,0.0012201249724384231,asset,2
28,instantaneous_trendline_slope_over_atr,0.0008707653983802303,asset,2
29,decycler_slope_over_atr,0.000789299355675,asset,2
30,lag_close_ret_1,0.0007863640978459244,asset,2
31,upper_wick_ratio,0.00066337038920583,asset,2
32,rolling_return_24,0.0006581646037403555,asset,2
33,range_to_atr,0.000604895645566192,asset,2
34,dominant_cycle_phase_normalized,0.00047739032642216714,asset,2
35,supersmoother_slope_over_atr,0.000467937372900619,asset,2
36,ret_8,0.0004624600574789002,asset,2
37,lag_close_ret_2,0.0004562371241197655,asset,2
38,lag_close_ret_48,0.00039080378863531884,asset,2
39,lag_close_ret_16,0.00036092948739337117,asset,2
40,close_ret,0.0003432365373331739,asset,2
41,lag_close_ret_4,0.0002372483848016489,asset,2
42,lag_close_ret_24,0.0002340227580981302,asset,2
43,body_ratio,0.00020742418293166718,asset,2
44,lag_close_ret_8,0.00019545362768193833,asset,2
45,close_location,0.00011977879148546089,asset,2
46,ret_1,0.00010790563138863281,asset,2
1,vol_rolling_96,0.050656629192313535,asset,3
2,atr_over_price_48,0.04060943189324601,asset,3
3,bollinger_bandwidth,0.02440731039778228,asset,3
4,atr_48,0.021750922389374296,asset,3
5,ema_trend_48_192,0.014966281902106521,asset,3
6,bollinger_bandwidth_rank_192,0.013840948581103745,asset,3
7,vol_rolling_24,0.013753206320954716,asset,3
8,vol_rolling_48,0.013578298334009675,asset,3
9,vol_rolling_192,0.013399429210608932,asset,3
10,atr_pct,0.008694617017691718,asset,3
11,mama_minus_fama_over_atr,0.008455245397139896,asset,3
12,atr_pct_rank_192,0.008306808897994466,asset,3
13,ret_48,0.007643995807573061,asset,3
14,bollinger_percent_b,0.007022336734988795,asset,3
15,close_over_bb_mid_192,0.006989997009351592,asset,3
16,ema_alignment_score,0.00673381555207165,asset,3
17,close_over_bb_upper_192,0.004414150608967024,asset,3
18,ret_16,0.003286545125035976,asset,3
