fold,train_rows_raw,train_rows,train_rows_dropped_missing,train_rows_not_labeled,train_rows_without_fit,test_rows,test_pred_rows,test_rows_missing_features,test_rows_not_candidates,test_rows_without_prediction,classification_eval_rows,regression_eval_rows,classification_accuracy,regression_rmse
0,35016,35016,,0,0,4380,4380,0,0,0,4380,4380,0.5004566210045662,0.18707427198445903
1,39396,39396,,0,0,4380,4380,0,0,0,4380,4380,0.5449771689497717,0.17194774401655982
2,43752,43752,,0,0,4380,4380,0,0,0,4380,4380,0.5102739726027398,0.20881623096269886
3,48108,48108,,0,0,4380,4380,0,0,0,4380,4380,0.5248858447488585,0.22261264337449752
4,52464,52464,,0,0,4380,4380,0,0,0,4380,4380,0.5255707762557078,0.20740606594594518
5,56820,56820,,0,0,4380,4380,0,0,0,4380,4380,0.4968036529680365,0.22505307590767099
6,61176,61176,,0,0,4380,4380,0,0,0,4380,4380,0.517351598173516,0.1998783550124206
7,65532,65532,,0,0,4380,4380,0,0,0,4380,4380,0.5034246575342466,0.190943280793527
8,69888,69888,,0,0,4380,4380,0,0,0,4380,4380,0.5232876712328767,0.21706591718074816
9,74244,74244,,0,0,4380,4380,0,0,0,4380,4380,0.5114155251141552,0.19175326582898575
